,Unnamed: 0,Unnamed: 0.1,品番,日付,日量数,当月必要数,当月稼働日数,仕入先名/工場名,箱種類,収容数,基準在庫日数,基準在庫枚数,A,B,C,日量数（箱）,日量数（箱）_切り上げ,平均日量数（箱）,検収数,入庫数（箱）,出庫数（箱）,在庫数（箱）,不等ピッチ係数日,設計値MIN,設計値MAX,入庫数（箱）＞検収数,入庫数（箱）＞日量数（箱）,入庫数（箱）＜検収数,入庫数（箱）＜日量数（箱）
40,40,40,36108ECB010,4,411.0,8236,21.0,（株）オーハシテクニカ,TP-331-5 ﾊﾝﾖｳ,150,0.64,1,1,1,1.97,2.74,3,2.614603174603175,2,2.0,1.0,7.0,0.0,0.7765371428571428,3.3911403174603176,0,0,0,0
41,41,41,35501ECB010,4,411.0,8236,21.0,大橋鉄工（株）,TP-331 ﾊﾝﾖｳ,100,0.6,1,1,1,1.38,4.11,5,3.921904761904762,4,0.0,2.0,5.0,0.0,0.9334133333333334,4.855318095238095,0,0,1,1
42,42,42,9036345A004,4,946.0,18814,21.0,岡谷鋼機（株）,ｻﾝﾎﾞｯｸｽ#9T,90,0.64,1,1,1,2.29,10.511111111111113,11,9.954497354497354,10,0.0,6.0,16.0,0.0,3.2750296296296297,13.229526984126984,0,0,1,1
43,43,43,35557ECB010,4,411.0,8236,21.0,小川工業（株）,TP-131 ﾊﾝﾖｳ,46,0.89,1,1,2,4.94,8.934782608695652,9,8.525879917184268,4,4.0,5.0,12.0,0.05,2.532186335403728,7.221420289855075,0,0,0,1
44,44,44,41310ECB010,4,411.0,8236,21.0,（株）オンド,ｻﾝﾎﾞｯｸｽ#24-A,2,0.69,2,1,4,4.0,205.5,206,196.09523809523807,204,142.0,112.0,52.0,0.05,24.51190476190476,83.3404761904762,0,0,0,0
45,45,45,41310ECE010,4,535.0,10578,21.0,（株）オンド,ｻﾝﾎﾞｯｸｽ#24-A,2,0.7,3,1,4,4.0,267.5,268,251.85714285714286,254,224.0,148.0,202.0,0.05,31.482142857142854,107.03928571428571,0,0,0,0
46,46,46,35556ECB010,4,411.0,8236,21.0,（株）ギフ加藤製作所,TP-131 ﾊﾝﾖｳ,100,0.75,1,1,2,3.8,4.11,5,3.921904761904762,2,3.0,2.0,6.0,0.12,0.9412571428571428,3.3728380952380954,0,0,0,0
47,47,47,9025006A007,4,822.0,16472,21.0,（株）ギフ加藤製作所,AW-131 ｾﾝﾖｳ,200,0.76,1,1,2,3.8,4.11,5,3.921904761904762,3,3.0,1.0,3.0,0.12,0.9412571428571428,3.3728380952380954,0,0,0,0
48,48,48,33490ECB010,4,411.0,8236,21.0,マレリ（株）,TP-332 ﾊﾝﾖｳ,4,0.82,3,1,2,3.92,102.75,103,98.04761904761904,95,50.0,58.0,55.0,0.23,24.119714285714284,95.6944761904762,0,0,1,1
49,49,49,33490ECE010,4,535.0,10578,21.0,マレリ（株）,TP-332 ﾊﾝﾖｳ,4,0.81,3,1,2,3.92,133.75,134,125.92857142857143,134,67.0,74.0,96.0,0.23,30.97842857142857,122.90628571428572,0,0,1,1
