LINE_DATE,JIKANWARI_KBN,KUMI_CD,TYOKU_KBN(1),PRODUCT_CNT,PLAN_PRODUCT_CNT
2023/10/11 0:00,8,NH11,1,,
2023/10/11 0:00,8,NH11,2,130,130
2023/10/11 0:00,8,NH12,1,108,108
2023/10/11 0:00,8,NH12,2,,
2023/10/11 0:00,9,NH11,1,,
2023/10/11 0:00,9,NH11,2,106,106
2023/10/11 0:00,9,NH12,1,118,118
2023/10/11 0:00,9,NH12,2,,
2023/10/11 0:00,10,NH11,1,,
2023/10/11 0:00,10,NH11,2,98,98
2023/10/11 0:00,10,NH12,1,0,0
2023/10/11 0:00,10,NH12,2,,
2023/10/11 0:00,11,NH11,1,,
2023/10/11 0:00,11,NH11,2,0,0
2023/10/11 0:00,11,NH12,1,0,0
2023/10/11 0:00,11,NH12,2,,
2023/10/11 0:00,12,NH11,1,,
2023/10/11 0:00,12,NH11,2,0,0
2023/10/11 0:00,12,NH12,1,0,0
2023/10/11 0:00,12,NH12,2,,
2023/10/11 0:00,13,NH11,1,,
2023/10/11 0:00,13,NH11,2,0,0
2023/10/11 0:00,13,NH12,1,0,0
2023/10/11 0:00,13,NH12,2,,
2023/10/12 0:00,1,NH11,1,,
2023/10/12 0:00,1,NH11,2,0,0
2023/10/12 0:00,1,NH12,1,120,120
2023/10/12 0:00,1,NH12,2,,
2023/10/12 0:00,2,NH11,1,,
2023/10/12 0:00,2,NH11,2,121,124
2023/10/12 0:00,2,NH12,1,88,130
2023/10/12 0:00,2,NH12,2,,
2023/10/12 0:00,3,NH11,1,,
2023/10/12 0:00,3,NH11,2,132,134
2023/10/12 0:00,3,NH12,1,108,108
2023/10/12 0:00,3,NH12,2,,
2023/10/12 0:00,4,NH11,1,,
2023/10/12 0:00,4,NH11,2,93,111
2023/10/12 0:00,4,NH12,1,130,130
2023/10/12 0:00,4,NH12,2,,
2023/10/12 0:00,5,NH11,1,,
2023/10/12 0:00,5,NH11,2,44,133
2023/10/12 0:00,5,NH12,1,0,0
2023/10/12 0:00,5,NH12,2,,
2023/10/12 0:00,6,NH11,1,,
2023/10/12 0:00,6,NH11,2,0,0
2023/10/12 0:00,6,NH12,1,98,98
2023/10/12 0:00,6,NH12,2,,
2023/10/12 0:00,7,NH11,1,,
2023/10/12 0:00,7,NH11,2,116,125
2023/10/12 0:00,7,NH12,1,128,130
2023/10/12 0:00,7,NH12,2,,
2023/10/12 0:00,8,NH11,1,,
2023/10/12 0:00,8,NH11,2,130,133
2023/10/12 0:00,8,NH12,1,106,106
2023/10/12 0:00,8,NH12,2,,
2023/10/12 0:00,9,NH11,1,,
2023/10/12 0:00,9,NH11,2,111,111
2023/10/12 0:00,9,NH12,1,118,120
2023/10/12 0:00,9,NH12,2,,
2023/10/12 0:00,10,NH11,1,,
2023/10/12 0:00,10,NH11,2,99,100
2023/10/12 0:00,10,NH12,1,0,0
2023/10/12 0:00,10,NH12,2,,
2023/10/12 0:00,11,NH11,1,,
2023/10/12 0:00,11,NH11,2,0,0
2023/10/12 0:00,11,NH12,1,0,0
2023/10/12 0:00,11,NH12,2,,
2023/10/12 0:00,12,NH11,1,,
2023/10/12 0:00,12,NH11,2,0,0
2023/10/12 0:00,12,NH12,1,0,0
2023/10/12 0:00,12,NH12,2,,
2023/10/12 0:00,13,NH11,1,,
