,KOTEI_ID,WORK_ID,JISEKI_DT,JISEKI_DT2,TYOKU
513,02,04,2023-11-14 21:24:03.953,2023-11-15 01:43:22.277,0
516,02,05,2023-11-15 01:43:23.833,2023-11-15 02:30:46.717,0
518,02,06,2023-11-15 05:03:17.303,2023-11-15 05:34:20.633,0
520,02,01,2023-11-15 09:15:42.467,2023-11-15 09:51:21.357,0
522,02,02,2023-11-15 13:46:20.613,2023-11-15 14:33:48.300,0
526,02,03,2023-11-15 17:49:52.550,2023-11-15 17:50:03.153,0
529,02,04,2023-11-15 21:17:09.713,2023-11-15 21:41:53.667,0
532,02,05,2023-11-16 01:46:08.840,2023-11-16 02:20:56.133,0
534,02,06,2023-11-16 05:03:03.553,2023-11-16 05:43:17.247,0
536,02,01,2023-11-16 09:16:52.777,2023-11-16 09:49:40.797,0
538,02,02,2023-11-16 13:50:52.057,2023-11-16 14:38:48.220,0
542,02,03,2023-11-16 17:09:09.207,2023-11-16 17:47:42.450,0
545,02,04,2023-11-16 21:18:54.437,2023-11-17 01:45:35.437,0
548,02,05,2023-11-17 01:45:37.437,2023-11-17 02:23:31.020,0
550,02,06,2023-11-17 04:59:00.970,2023-11-17 05:37:37.823,0
552,02,01,2023-11-17 09:19:53.863,2023-11-17 09:49:18.233,0
554,02,02,2023-11-17 13:53:27.717,2023-11-17 14:38:19.647,0
558,02,03,2023-11-17 17:46:24.993,2023-11-17 17:46:34.743,0
561,02,04,2023-11-17 21:14:47.443,2023-11-17 21:40:14.670,0
564,02,05,2023-11-18 01:42:35.353,2023-11-18 02:14:23.723,0
566,02,06,2023-11-18 05:04:07.487,2023-11-18 05:35:22.983,0
568,02,01,2023-11-20 09:14:03.120,2023-11-20 09:45:44.020,0
570,02,02,2023-11-20 13:46:33.880,2023-11-20 14:30:10.817,0
574,02,03,2023-11-20 17:04:45.927,2023-11-20 17:45:15.777,0
577,02,04,2023-11-20 21:20:45.460,2023-11-20 21:51:28.670,0
580,02,05,2023-11-21 01:50:30.223,2023-11-21 02:39:09.820,0
583,02,01,2023-11-21 09:13:58.287,2023-11-21 09:45:38.173,0
585,02,02,2023-11-21 13:46:49.423,2023-11-21 14:26:41.190,0
589,02,03,2023-11-21 17:03:11.763,2023-11-21 17:39:29.153,0
592,02,04,2023-11-21 21:19:56.957,2023-11-21 21:46:04.230,0
595,02,05,2023-11-22 01:53:15.550,2023-11-22 02:33:11.807,0
597,02,06,2023-11-22 05:06:28.610,2023-11-22 05:48:12.577,0
599,02,01,2023-11-22 09:07:59.157,2023-11-22 09:49:09.537,0
601,02,02,2023-11-22 13:46:20.723,2023-11-22 14:23:44.427,0
605,02,03,2023-11-22 17:08:00.757,2023-11-22 17:45:24.237,0
608,02,04,2023-11-22 21:16:53.927,2023-11-22 21:47:44.137,0
611,02,05,2023-11-23 01:50:44.960,2023-11-23 02:35:09.493,0
613,02,06,2023-11-23 05:10:19.090,2023-11-23 05:47:49.363,0
615,02,01,2023-11-23 09:13:42.483,2023-11-23 09:47:20.680,0
617,02,02,2023-11-23 13:44:30.880,2023-11-23 14:30:14.920,0
621,02,03,2023-11-23 17:02:41.907,2023-11-23 17:46:02.040,0
624,02,04,2023-11-23 21:18:15.417,2023-11-23 21:53:10.317,0
627,02,05,2023-11-24 01:55:39.397,2023-11-24 02:35:58.933,0
629,02,06,2023-11-24 05:08:01.927,2023-11-24 05:46:34.167,0
631,02,01,2023-11-24 09:14:18.523,2023-11-24 09:43:55.950,0
633,02,02,2023-11-24 13:47:10.983,2023-11-24 14:29:02.477,0
637,02,03,2023-11-24 16:59:43.287,2023-11-24 17:34:47.613,0
640,02,04,2023-11-24 21:19:30.570,2023-11-24 21:53:21.537,0
643,02,05,2023-11-25 01:55:39.647,2023-11-25 02:35:46.553,0
645,02,06,2023-11-25 05:06:14.233,2023-11-25 05:49:53.420,0
647,02,01,2023-11-27 09:20:38.553,2023-11-27 09:50:05.547,0
649,02,02,2023-11-27 13:46:20.357,2023-11-27 14:37:05.687,0
653,02,03,2023-11-27 17:46:32.130,2023-11-27 17:46:41.557,0
656,02,04,2023-11-27 21:13:48.127,2023-11-28 01:45:23.727,0
659,02,05,2023-11-28 01:45:24.413,2023-11-28 02:30:52.340,0
661,02,06,2023-11-28 05:04:17.570,2023-11-28 05:44:07.067,0
