,Unnamed: 0,品番,日付,日量数,仕入先名/工場名,箱種類,収容数,基準在庫日数,基準在庫枚数,A,B,C,日量数（箱）,日量数（箱）_切り上げ,検収数,入庫数（箱）,出庫数（箱）,在庫数（箱）,不等ピッチ係数日
11,11,9015905A007,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.53,3,1,6,5.76,0.0,0,1,2.0,2.0,4.0,0.08
12,12,9015906A021,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.52,3,1,6,5.76,0.0,0,3,4.0,4.0,4.0,0.08
13,13,9015906A022,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.51,3,1,6,5.76,0.0,0,7,6.0,5.0,8.0,0.08
14,14,9015906A023,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.52,3,1,6,5.76,0.0,0,1,2.0,1.0,6.0,0.08
15,15,9034118A024,4,535.0,（株）青山製作所,TP-131 ﾊﾝﾖｳ,200.0,0.52,3,1,6,5.76,2.675,3,1,2.0,2.0,5.0,0.08
16,16,9093003179,4,946.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500.0,0.5,1,1,6,5.76,1.892,2,1,1.0,1.0,6.0,0.08
17,17,9155180614,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.54,3,1,6,5.76,0.0,0,2,2.0,1.0,3.0,0.08
18,18,9155180640,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.54,3,1,6,5.76,0.0,0,1,1.0,1.0,5.0,0.08
19,19,9161140614,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.52,3,1,6,5.76,0.0,0,4,2.0,3.0,3.0,0.08
20,20,9167180618,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.53,3,1,6,5.76,0.0,0,2,2.0,1.0,4.0,0.08
21,21,G1163ECB010,4,765.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,80.0,0.54,1,1,6,5.76,9.5625,10,6,5.0,2.0,1.0,0.08
22,22,G1163ECE010,4,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,100.0,0.53,1,1,6,5.76,0.0,0,13,10.0,10.0,11.0,0.08
23,23,35145ECE020,4,535.0,（株）浅賀井製作所,TP-131 ﾊﾝﾖｳ,100.0,0.65,1,1,4,6.88,5.35,6,5,4.0,3.0,8.0,0.13
24,24,35174ECB010,4,411.0,（株）浅賀井製作所,TP-332 ﾊﾝﾖｳ,20.0,0.87,1,1,4,6.88,20.55,21,18,8.0,12.0,18.0,0.13
25,25,35174ECE010,4,535.0,（株）浅賀井製作所,TP-332 ﾊﾝﾖｳ,40.0,0.87,1,1,4,6.88,13.375,14,13,6.0,7.0,20.0,0.13
26,26,35174ECE020,4,535.0,（株）浅賀井製作所,TP-331 ﾊﾝﾖｳ,90.0,0.63,3,1,4,6.88,5.9444444444444455,6,7,5.0,4.0,13.0,0.13
27,27,35312ECB010,4,411.0,（株）旭工業所,TP-331 ﾊﾝﾖｳ,63.0,0.59,1,1,1,1.9,6.523809523809524,7,5,5.0,4.0,10.0,0.0
28,28,01912ECB040,4,946.0,愛産樹脂工業（株）,TP-342 ﾊﾝﾖｳ,50.0,0.25,1,1,1,2.12,18.92,19,19,19.0,11.0,39.0,0.0
29,29,019128GA010,4,946.0,石黒ゴム工業（株）,TP-342 ﾊﾝﾖｳ,50.0,1.07,1,1,2,3.64,18.92,19,17,17.0,11.0,54.0,0.29
30,30,01912ECB010,4,,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,300.0,0.85,1,1,2,3.64,0.0,0,6,6.0,4.0,16.0,0.29
31,31,82821CWA030,4,946.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,200.0,0.83,1,1,2,3.64,4.73,5,5,5.0,3.0,14.0,0.29
32,32,82821ECB010,4,946.0,石黒ゴム工業（株）,TP-332 ｾﾝﾖｳ,400.0,0.83,1,1,2,3.64,2.365,3,3,3.0,1.0,6.0,0.29
33,33,82821ECB020,4,946.0,石黒ゴム工業（株）,TP-131 ﾊﾝﾖｳ,200.0,0.87,1,1,2,3.64,4.73,5,4,4.0,3.0,13.0,0.29
34,34,82821ECB040,4,411.0,石黒ゴム工業（株）,TP-342 ｾﾝﾖｳ,100.0,0.83,1,1,2,3.64,4.11,5,3,3.0,2.0,7.0,0.29
35,35,82821ECB050,4,946.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,100.0,0.83,1,1,2,3.64,9.46,10,9,9.0,6.0,25.0,0.29
36,36,82821ECE010,4,535.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,50.0,1.07,1,1,2,3.64,10.7,11,10,10.0,6.0,41.0,0.29
37,37,82821XAE010,4,946.0,石黒ゴム工業（株）,TP-131 ﾊﾝﾖｳ,100.0,0.87,1,1,2,3.64,9.46,10,9,9.0,6.0,26.0,0.29
38,38,82821XAE020,4,411.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,400.0,0.81,1,1,2,3.64,1.0275,2,1,1.0,0.0,3.0,0.29
39,39,2030045013L,4,,伊藤金属工業（株）,TP-331 ﾊﾝﾖｳ,,0.53,3,1,1,1.96,0.0,0,2,0.0,0.0,2.0,0.0
40,40,36108ECB010,4,411.0,（株）オーハシテクニカ,TP-331-5 ﾊﾝﾖｳ,150.0,0.64,1,1,1,1.97,2.74,3,2,2.0,1.0,7.0,0.0
41,41,35501ECB010,4,411.0,大橋鉄工（株）,TP-331 ﾊﾝﾖｳ,100.0,0.6,1,1,1,1.38,4.11,5,4,0.0,2.0,5.0,0.0
42,42,9036345A004,4,946.0,岡谷鋼機（株）,ｻﾝﾎﾞｯｸｽ#9T,90.0,0.64,1,1,1,2.29,10.511111111111113,11,10,0.0,6.0,16.0,0.0
43,43,35557ECB010,4,411.0,小川工業（株）,TP-131 ﾊﾝﾖｳ,46.0,0.89,1,1,2,4.94,8.934782608695652,9,4,4.0,5.0,12.0,0.05
44,44,41310ECB010,4,411.0,（株）オンド,ｻﾝﾎﾞｯｸｽ#24-A,2.0,0.69,2,1,4,4.0,205.5,206,204,142.0,112.0,52.0,0.05
45,45,41310ECE010,4,535.0,（株）オンド,ｻﾝﾎﾞｯｸｽ#24-A,2.0,0.7,3,1,4,4.0,267.5,268,254,224.0,148.0,202.0,0.05
46,46,35556ECB010,4,411.0,（株）ギフ加藤製作所,TP-131 ﾊﾝﾖｳ,100.0,0.75,1,1,2,3.8,4.11,5,2,3.0,2.0,6.0,0.12
47,47,9025006A007,4,822.0,（株）ギフ加藤製作所,AW-131 ｾﾝﾖｳ,200.0,0.76,1,1,2,3.8,4.11,5,3,3.0,1.0,3.0,0.12
48,48,33490ECB010,4,411.0,マレリ（株）,TP-332 ﾊﾝﾖｳ,4.0,0.82,3,1,2,3.92,102.75,103,95,50.0,58.0,55.0,0.23
49,49,33490ECE010,4,535.0,マレリ（株）,TP-332 ﾊﾝﾖｳ,4.0,0.81,3,1,2,3.92,133.75,134,134,67.0,74.0,96.0,0.23
50,50,9036628A005,4,411.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,60.0,0.62,1,1,1,1.9,6.85,7,6,6.0,4.0,11.0,0.0
51,51,9036628A006,4,411.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,80.0,0.62,1,1,1,1.9,5.1375,6,5,4.0,2.0,10.0,0.0
52,52,9036628A007,4,535.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,72.0,0.57,1,1,1,1.9,7.4305555555555545,8,7,7.0,4.0,14.0,0.0
53,53,9036628A008,4,535.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,100.0,0.58,1,1,1,1.9,5.35,6,6,6.0,3.0,12.0,0.0
54,54,9036630A017,4,946.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,72.0,0.6,1,1,1,1.9,13.138888888888891,14,13,13.0,7.0,21.0,0.0
55,55,9036630A018,4,946.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,38.0,0.34,3,1,1,1.9,24.894736842105264,25,24,24.0,14.0,34.0,0.0
56,56,9036652A003,4,535.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,60.0,0.57,1,1,1,1.9,8.916666666666666,9,9,9.0,4.0,17.0,0.0
57,57,9036652A004,4,535.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,63.0,0.57,1,1,1,1.9,8.492063492063492,9,9,9.0,5.0,15.0,0.0
58,58,9036658A001,4,411.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,45.0,0.57,1,1,1,1.9,9.133333333333333,10,8,8.0,5.0,13.0,0.0
59,59,9036658A002,4,411.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,36.0,0.59,1,1,1,1.9,11.416666666666664,12,10,10.0,7.0,15.0,0.0
60,60,9036659A009,4,946.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,36.0,0.59,1,1,1,1.9,26.277777777777782,27,25,25.0,14.0,38.0,0.0
61,61,9036659A010,4,946.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,36.0,0.59,1,1,1,1.9,26.277777777777782,27,25,25.0,14.0,39.0,0.0
62,62,35352ECB010,4,411.0,五興商事（株）,TP-331 ﾊﾝﾖｳ,504.0,0.64,1,1,1,1.97,0.8154761904761905,1,1,0.0,0.0,2.0,0.0
63,63,G9201ECB030,4,411.0,佐藤工業（株）,ｻﾝﾎﾞｯｸｽ#20B,8.0,0.78,2,1,2,5.82,51.375,52,78,35.0,28.0,9.0,0.05
64,64,G9201ECE010,4,535.0,佐藤工業（株）,ｻﾝﾎﾞｯｸｽ#20B,8.0,0.86,2,1,2,5.82,66.875,67,104,35.0,37.0,23.0,0.05
65,65,35198ECE010,4,535.0,サトープレス工業（株）,AW-331 ｾﾝﾖｳ,200.0,0.58,1,1,1,1.78,2.675,3,3,3.0,1.0,8.0,0.0
66,66,3548255A010,4,535.0,サトープレス工業（株）,AW-131 ｾﾝﾖｳ,300.0,0.57,1,1,1,1.78,1.7833333333333334,2,2,2.0,1.0,8.0,0.0
67,67,35595ECB010,4,411.0,サトープレス工業（株）,TP-131 ｾﾝﾖｳ,40.0,0.57,1,1,1,1.78,10.275,11,10,10.0,6.0,16.0,0.0
68,68,5040056001E,4,,サトープレス工業（株）,AW-131 ｾﾝﾖｳ,300.0,0.58,3,1,1,1.78,0.0,0,4,4.0,4.0,5.0,0.0
69,69,9033904A002,4,946.0,サトープレス工業（株）,AW-131 ｾﾝﾖｳ,,0.61,1,1,1,1.78,0.0,0,1,1.0,0.0,3.0,0.0
70,70,35145ECB010,4,411.0,三共鋼業（株）,AW-131 ｾﾝﾖｳ,100.0,0.62,3,1,1,1.74,4.11,5,4,4.0,2.0,9.0,0.0
71,71,35145ECE010,4,535.0,三共鋼業（株）,AW-131 ｾﾝﾖｳ,100.0,0.65,1,1,1,1.74,5.35,6,6,6.0,2.0,11.0,0.0
72,72,35195ECE010,4,,三共鋼業（株）,TP-131 ﾊﾝﾖｳ,400.0,0.62,3,1,1,1.74,0.0,0,3,3.0,2.0,8.0,0.0
73,73,35195TFG010,4,,三共鋼業（株）,TP-131 ﾊﾝﾖｳ,400.0,0.62,1,1,1,1.74,0.0,0,3,3.0,2.0,7.0,0.0
74,74,35771ECB010,4,411.0,アイシン機工（株）,TP-341 ﾊﾝﾖｳ,4.0,0.78,3,1,6,4.92,102.75,103,65,46.0,56.0,29.0,0.12
75,75,35771ECE010,4,535.0,アイシン機工（株）,TP-341 ﾊﾝﾖｳ,6.0,0.78,2,1,6,4.92,89.16666666666669,90,57,44.0,47.0,56.0,0.12
76,76,01912ECB060,4,411.0,新光ゴム工業（株）,TP-331 ﾊﾝﾖｳ,400.0,0.78,1,1,1,3.25,1.0275,2,1,1.0,1.0,3.0,0.0
77,77,2030052002N,4,946.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,300.0,0.5,3,1,2,1.06,3.1533333333333333,4,4,2.0,2.0,3.0,0.12
78,78,9034108A006,4,,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,,0.53,3,1,2,1.06,0.0,0,3,1.0,2.0,4.0,0.12
79,79,9034108A010,4,822.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,,0.47,1,1,2,1.06,0.0,0,1,0.0,1.0,1.0,0.12
80,80,9034118090,4,946.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,300.0,0.54,3,1,2,1.06,3.1533333333333333,4,4,2.0,1.0,6.0,0.12
81,81,3559850A010,4,411.0,アイコー（株）,AW-131 ｾﾝﾖｳ,100.0,0.9,1,1,2,3.92,4.11,5,4,4.0,2.0,1.0,0.32
82,82,9034118060,4,535.0,住友商事（株）鉄鋼部輸送機材,TP-331 ﾊﾝﾖｳ,300.0,0.74,1,1,1,3.0,1.7833333333333334,2,1,0.0,1.0,7.0,0.0
83,83,G1174ECB010,4,411.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50.0,0.85,1,1,1,2.28,8.22,9,7,0.0,4.0,10.0,0.0
84,83,G1174ECB010,4,411.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50.0,0.85,1,1,1,2.28,8.22,9,7,0.0,4.0,10.0,0.0
85,84,G1174ECE010,4,535.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50.0,0.87,1,1,1,2.28,10.7,11,11,0.0,6.0,17.0,0.0
86,84,G1174ECE010,4,535.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50.0,0.87,1,1,1,2.28,10.7,11,11,0.0,6.0,17.0,0.0
87,85,82824ECE010,4,535.0,住友電装（株）,TP-332 ﾊﾝﾖｳ,45.0,0.36,1,1,1,3.25,11.888888888888891,12,12,11.0,6.0,23.0,0.0
88,85,82824ECE010,4,535.0,住友電装（株）,TP-332 ﾊﾝﾖｳ,45.0,0.36,1,1,1,3.25,11.888888888888891,12,12,11.0,6.0,23.0,0.0
89,86,G1144ECB010,4,411.0,住友電気工業（株）,TP-331 ﾊﾝﾖｳ,6.0,0.63,2,1,1,2.28,68.5,69,61,0.0,37.0,40.0,0.0
90,87,G117362010,4,946.0,多摩川精機販売（株）,TP-331-5 ﾊﾝﾖｳ,18.0,0.85,1,1,1,3.05,52.555555555555564,53,53,53.0,29.0,59.0,0.0
91,88,3519510A010,4,411.0,中庸スプリング（株）,AW-131 ｾﾝﾖｳ,600.0,0.63,1,1,2,2.34,0.685,1,1,0.0,0.0,3.0,0.1
92,89,35505ECB010,4,411.0,中庸スプリング（株）,AW-131 ｾﾝﾖｳ,24.0,0.81,1,1,2,2.34,17.125,18,15,6.0,10.0,12.0,0.1
93,90,9094906A012,4,,中庸スプリング（株）,TP-131 ﾊﾝﾖｳ,500.0,0.59,3,1,2,2.34,0.0,0,4,3.0,4.0,8.0,0.1
94,91,34989ECB020,4,946.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,500.0,0.81,1,1,1,2.33,1.892,2,1,0.0,1.0,8.0,0.0
95,92,34989ECB030,4,946.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,,0.8,1,1,1,2.33,0.0,0,1,0.0,0.0,4.0,0.0
96,93,34989ECC010,4,156.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,500.0,0.78,1,1,1,2.33,0.312,1,1,0.0,1.0,3.0,0.0
97,94,34989ECE020,4,234.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,500.0,0.82,1,1,1,2.33,0.46799999999999997,1,1,0.0,1.0,2.0,0.0
98,95,34989ECE030,4,132.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,500.0,0.8,3,1,1,2.33,0.264,1,1,0.0,0.0,2.0,0.0
99,96,9050827A011,4,411.0,（株）東郷製作所,TP-331 ﾊﾝﾖｳ,200.0,0.78,1,1,8,11.12,2.055,3,1,1.0,1.0,4.0,0.08
100,97,2030044001J,4,411.0,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,400.0,0.54,1,1,2,3.52,1.0275,2,1,0.0,0.0,2.0,0.03
101,98,9030106A018,4,,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,,0.56,3,1,2,3.52,0.0,0,2,2.0,2.0,2.0,0.03
102,99,9030111A014,4,,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,,0.56,3,1,2,3.52,0.0,0,4,3.0,2.0,6.0,0.03
103,100,9030115A011,4,,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,,0.56,1,1,2,3.52,0.0,0,1,1.0,1.0,2.0,0.03
104,101,9030117A010,4,,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,,0.54,3,1,2,3.52,0.0,0,1,0.0,1.0,3.0,0.03
105,102,9030119A010,4,,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,,0.58,1,1,2,3.52,0.0,0,1,1.0,1.0,3.0,0.03
106,103,9030119A011,4,822.0,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,200.0,0.54,1,1,2,3.52,4.11,5,4,2.0,2.0,4.0,0.03
107,104,9031150A014,4,946.0,ＮＯＫ（株）,B-24,84.0,0.54,1,1,2,3.52,11.261904761904766,12,10,6.0,6.0,5.0,0.03
108,105,9031150A015,4,946.0,ＮＯＫ（株）,B-24,84.0,0.53,1,1,2,3.52,11.261904761904766,12,12,5.0,6.0,3.0,0.03
109,106,G1250ECB010,4,255.0,（株）バルカー,TP-332.5ｾﾝﾖｳ,60.0,0.87,1,1,2,6.2,4.25,5,4,4.0,2.0,9.0,0.24
110,107,G1250ECC010,4,156.0,（株）バルカー,TP-332.5ｾﾝﾖｳ,60.0,0.87,1,1,2,6.2,2.6,3,3,3.0,1.0,7.0,0.24
111,108,G1250ECE010,4,535.0,（株）バルカー,TP-332.5ｾﾝﾖｳ,60.0,0.88,1,1,2,6.2,8.916666666666666,9,9,9.0,4.0,20.0,0.24
112,109,9036324A003,4,411.0,日本精工（株）,T-10 ﾊﾝﾖｳ,22.0,0.73,1,1,8,9.0,18.681818181818183,19,11,11.0,10.0,8.0,0.09
113,110,9036324A004,4,946.0,日本精工（株）,T-10 ﾊﾝﾖｳ,30.0,0.73,1,1,8,9.0,31.53333333333333,32,18,17.0,17.0,20.0,0.09
114,111,9036324A005,4,535.0,日本精工（株）,T-10 ｾﾝﾖｳ,22.0,0.68,1,1,8,9.0,24.318181818181817,25,12,14.0,13.0,22.0,0.09
115,112,9036340A010,4,,日本精工（株）,T-10 ｾﾝﾖｳ,80.0,0.73,3,1,8,9.0,0.0,0,13,13.0,12.0,16.0,0.09
116,113,35165ECE010,4,535.0,（株）松尾製作所,TP-131 ﾊﾝﾖｳ,200.0,0.63,1,1,1,1.21,2.675,3,3,3.0,2.0,10.0,0.0
117,114,3539450A010,4,,ミズショー（株）,TP-331 ﾊﾝﾖｳ,,0.71,3,1,1,1.88,0.0,0,1,2.0,1.0,4.0,0.0
118,115,82125ECB010,4,411.0,矢崎総業（株）,TP-332 ﾊﾝﾖｳ,100.0,0.58,1,1,1,1.79,4.11,5,3,3.0,3.0,8.0,0.0
119,116,82125ECE010,4,535.0,矢崎総業（株）,TP-332 ﾊﾝﾖｳ,100.0,0.58,1,1,1,1.79,5.35,6,6,6.0,3.0,11.0,0.0
120,117,82824ECB010,4,411.0,矢崎総業（株）,TP-331 ﾊﾝﾖｳ,32.0,0.57,1,1,1,1.79,12.84375,13,11,11.0,7.0,16.0,0.0
121,118,82824ECB020,4,946.0,矢崎総業（株）,TP-331 ｾﾝﾖｳ,40.0,0.58,1,1,1,1.79,23.65,24,23,23.0,12.0,37.0,0.0
122,119,G1144ECE010,4,535.0,矢崎総業（株）,TP-331 ﾊﾝﾖｳ,8.0,0.58,2,1,1,1.79,66.875,67,67,67.0,35.0,111.0,0.0
123,120,35847ECB010,4,411.0,（株）メタルテック,TP-332 ﾊﾝﾖｳ,80.0,0.51,1,1,1,1.9,5.1375,6,6,4.0,4.0,8.0,0.0
124,121,35847ECB020,4,411.0,（株）メタルテック,TP-332 ﾊﾝﾖｳ,70.0,0.5,1,1,1,1.9,5.871428571428571,6,5,5.0,4.0,10.0,0.0
125,122,35847ECE010,4,535.0,（株）メタルテック,TP-332 ﾊﾝﾖｳ,40.0,0.5,1,1,1,1.9,13.375,14,14,14.0,7.0,24.0,0.0
126,123,35847ECE020,4,535.0,（株）メタルテック,TP-332 ﾊﾝﾖｳ,60.0,0.49,1,1,1,1.9,8.916666666666666,9,9,9.0,5.0,17.0,0.0
127,124,35882ECB010,4,411.0,（株）メタルテック,TP-332 ﾊﾝﾖｳ,50.0,0.5,1,1,1,1.9,8.22,9,8,7.0,5.0,12.0,0.0
128,125,35441ECB010,4,946.0,（株）ニフコ,TP-331 ﾊﾝﾖｳ,48.0,0.67,3,1,1,2.14,19.70833333333333,20,19,0.0,11.0,24.0,0.0
129,126,35441TFA010,4,411.0,（株）ニフコ,TP-331 ﾊﾝﾖｳ,100.0,0.67,1,1,1,2.14,4.11,5,3,0.0,2.0,7.0,0.0
130,127,35409ECB010,4,411.0,サンコール（株）,AW-131 ｾﾝﾖｳ,200.0,0.66,1,1,1,2.26,2.055,3,1,0.0,1.0,6.0,0.0
131,128,35300ECB010,5,945.0,アイシン精機（株）,TP-341 ﾊﾝﾖｳ,12.0,0.91,3,1,4,8.04,78.75,79,68,48.0,80.0,95.0,0.14
132,129,35580ECB011,5,411.0,アイシン精機（株）,TP-342 ｾﾝﾖｳ,6.0,0.9,3,1,4,8.04,68.5,69,63,34.0,67.0,51.0,0.14
133,130,1040052001Z,5,534.0,（株）青山製作所,TP-131 ﾊﾝﾖｳ,200.0,0.53,3,1,6,5.76,2.67,3,3,2.0,5.0,2.0,0.08
134,131,1040183011P,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500.0,0.54,1,1,6,5.76,0.0,0,4,3.0,0.0,1.0,0.08
135,132,3040052001B,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500.0,0.52,3,1,6,5.76,0.0,0,9,7.0,8.0,4.0,0.08
136,133,9010506A089,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.5,3,1,6,5.76,0.0,0,2,1.0,1.0,3.0,0.08
137,134,9010508A014,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500.0,0.54,3,1,6,5.76,0.0,0,83,77.0,89.0,34.0,0.08
138,135,9010508A042,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,300.0,0.53,1,1,6,5.76,0.0,0,8,6.0,6.0,1.0,0.08
139,136,9010512A018,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,200.0,0.74,3,1,6,5.76,0.0,0,72,57.0,66.0,31.0,0.08
140,137,9011906908,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.54,3,1,6,5.76,0.0,0,1,0.0,1.0,3.0,0.08
141,138,9011906A065,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.53,1,1,6,5.76,0.0,0,2,1.0,3.0,2.0,0.08
142,139,9014908A008,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,800.0,0.52,1,1,6,5.76,0.0,0,6,5.0,3.0,6.0,0.08
143,140,9015905A007,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.53,3,1,6,5.76,0.0,0,4,3.0,2.0,5.0,0.08
144,141,9015906A021,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.52,3,1,6,5.76,0.0,0,8,6.0,6.0,4.0,0.08
145,142,9015906A022,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.51,3,1,6,5.76,0.0,0,10,8.0,10.0,6.0,0.08
146,143,9015906A023,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.52,3,1,6,5.76,0.0,0,3,2.0,3.0,5.0,0.08
147,144,9034114A004,5,411.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,500.0,0.5,1,1,6,5.76,0.8220000000000001,1,1,1.0,1.0,1.0,0.08
148,145,9034118A024,5,534.0,（株）青山製作所,TP-131 ﾊﾝﾖｳ,200.0,0.52,3,1,6,5.76,2.67,3,3,1.0,2.0,4.0,0.08
149,146,9155180614,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.54,3,1,6,5.76,0.0,0,2,1.0,3.0,1.0,0.08
150,147,9155180640,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.54,3,1,6,5.76,0.0,0,2,2.0,2.0,5.0,0.08
151,148,9161140614,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.52,3,1,6,5.76,0.0,0,6,5.0,6.0,2.0,0.08
152,149,9167180618,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,,0.53,3,1,6,5.76,0.0,0,3,2.0,3.0,3.0,0.08
153,150,G1163ECB010,5,765.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,80.0,0.54,1,1,6,5.76,9.5625,10,13,5.0,4.0,1.0,0.08
154,151,G1163ECE010,5,,（株）青山製作所,TP-331 ﾊﾝﾖｳ,100.0,0.53,1,1,6,5.76,0.0,0,23,18.0,21.0,8.0,0.08
155,152,35145ECE020,5,534.0,（株）浅賀井製作所,TP-131 ﾊﾝﾖｳ,100.0,0.65,1,1,4,6.88,5.34,6,4,3.0,5.0,6.0,0.13
156,153,35174ECB010,5,411.0,（株）浅賀井製作所,TP-332 ﾊﾝﾖｳ,20.0,0.87,1,1,4,6.88,20.55,21,18,10.0,20.0,8.0,0.13
157,154,35174ECE010,5,534.0,（株）浅賀井製作所,TP-332 ﾊﾝﾖｳ,40.0,0.87,1,1,4,6.88,13.35,14,8,7.0,13.0,14.0,0.13
