,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT
103,9036628A005    ,2023,36,8.0,0.0,0.0,0.62,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,60,1.0,1.6800000000000002,6.85,（株）ジェイテクト,30,2.709677419354839,4.027183488547697,0.0,0.7130325920660655,97.81,480.0
104,9036628A006    ,2023,36,7.0,0.0,0.0,0.62,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,80,1.0,2.04,5.1375,（株）ジェイテクト,21,3.2903225806451615,4.698380736638979,0.0,0.6935667703309633,97.81,480.0
105,9036628A007    ,2023,36,11.0,0.0,0.0,0.57,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,72,1.0,2.2100000000000004,7.347222222222222,（株）ジェイテクト,33,3.8771929824561413,5.162636073267714,0.0,0.8542216803700062,97.81,480.0
106,9036628A008    ,2023,36,8.0,0.0,0.0,0.58,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,100,1.0,2.625,5.29,（株）ジェイテクト,24,4.525862068965518,5.21478391239163,0.0,0.7428534770816874,97.81,480.0
107,9036630A017    ,2023,36,15.0,0.0,0.0,0.6,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,72,1.0,1.7900000000000005,13.125,（株）ジェイテクト,60,2.9833333333333343,3.940886699507389,0.0,0.8463990688220425,97.81,480.0
108,9036630A018    ,2023,36,22.0,0.0,1.0,0.34,3.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,38,1.0,1.13,24.86842105263158,（株）ジェイテクト,115,3.323529411764705,3.050538222952016,0.0,0.7543965805395717,97.81,480.0
109,9036652A003    ,2023,36,12.0,0.0,0.0,0.57,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,60,1.0,2.13,8.816666666666666,（株）ジェイテクト,41,3.736842105263158,4.693305521152467,0.0,0.8601653848450098,97.81,480.0
110,9036652A004    ,2023,36,10.0,0.0,0.0,0.57,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,63,1.0,1.6200000000000003,8.396825396825397,（株）ジェイテクト,38,2.8421052631578956,4.106642331008408,0.0,0.7737956278689164,97.81,480.0
111,9036658A001    ,2023,36,9.0,0.0,0.0,0.57,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,45,1.0,1.1300000000000001,9.133333333333333,（株）ジェイテクト,40,1.9824561403508776,3.397936068462119,0.0,0.6929507469515652,97.81,480.0
112,9036658A002    ,2023,36,10.0,0.0,0.0,0.59,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,36,1.0,1.28,11.416666666666666,（株）ジェイテクト,48,2.169491525423729,3.020387616410773,0.0,0.6663162901796543,97.81,480.0
113,9036659A009    ,2023,36,27.0,0.0,1.0,0.59,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,36,1.0,1.13,26.25,（株）ジェイテクト,121,1.9152542372881356,3.54679802955665,0.0,0.8679077224547964,97.81,480.0
114,9036659A010    ,2023,36,28.0,0.0,1.0,0.59,1.0,サンボックス＃９Ｆフタナシ,1.0,1.0,1.9,36,1.0,1.38,26.25,（株）ジェイテクト,121,2.3389830508474576,3.6781609195402294,0.0,0.8962678501621174,97.81,480.0
115,9050827A011    ,2023,36,3.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,8.0,11.12,200,4.0,1.47,2.055,（株）東郷製作所,10,1.8846153846153846,9.63600009636,0.08,0.3001313045536769,97.81,480.0
116,9052409A003    ,2023,36,2.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,8.0,11.12,500,4.0,6.630000000000001,0.744,（株）東郷製作所,3,8.5,17.743709854856455,0.08,0.11189493604034192,97.81,480.0
117,9056439A005    ,2023,36,10.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,4.735,3.31,（株）ムロコーポレーション,22,5.091397849462366,17.463283446553618,0.0,0.4775826649874414,97.81,480.0
118,9056439A006    ,2023,36,6.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,6.595000000000001,1.19,（株）ムロコーポレーション,2,7.091397849462366,29.144605819206294,0.0,0.19740669574850755,97.81,480.0
119,9056450A002    ,2023,36,6.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,2.49,0.91,（株）ムロコーポレーション,17,2.67741935483871,38.11217684050054,0.0,0.15357964653224382,97.81,480.0
120,9056450A003    ,2023,36,10.5,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,17.3,2.26,（株）ムロコーポレーション,1,18.602150537634408,26.855593636503148,0.0,0.3592372637076424,97.81,480.0
121,9056451A084    ,2023,36,8.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,10.129999999999999,0.89,（株）ムロコーポレーション,3,10.892473118279568,51.958173670195485,0.0,0.15124968062463295,97.81,480.0
122,9056451A085    ,2023,36,9.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,17.549999999999997,0.715,（株）ムロコーポレーション,5,18.87096774193548,72.75961033186466,0.0,0.12243172199631777,97.81,480.0
123,9056451A086    ,2023,36,10.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,20.755000000000003,0.53,（株）ムロコーポレーション,2,22.31720430107527,109.06314756243864,0.0,0.09122452244981051,97.81,480.0
124,9056451A087    ,2023,36,5.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,18.18,0.16,（株）ムロコーポレーション,1,19.548387096774192,180.63583815028903,0.0,0.027654280192015972,97.81,480.0
125,9056455A043    ,2023,36,9.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,20.919999999999998,0.55,（株）ムロコーポレーション,2,22.494623655913976,94.58749343142405,0.0,0.09457259098625805,97.81,480.0
126,9056455A044    ,2023,36,6.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,19.06,0.46,（株）ムロコーポレーション,4,20.494623655913976,75.39582809751192,0.0,0.07907344051610019,97.81,480.0
127,9056457A134    ,2023,36,7.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,16.57,1.14,（株）ムロコーポレーション,1,17.817204301075268,35.49335767163574,0.0,0.190785820695651,97.81,480.0
128,9056457A135    ,2023,36,11.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,18.32,1.75,（株）ムロコーポレーション,4,19.698924731182796,36.33360858794384,0.0,0.2881760684172085,97.81,480.0
129,9056457A136    ,2023,36,5.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,5.65,1.0,（株）ムロコーポレーション,7,6.075268817204301,28.90173410404624,0.0,0.16693524263506798,97.81,480.0
130,9056457A137    ,2023,36,2.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,1.52,0.51,（株）ムロコーポレーション,7,1.6344086021505375,22.66802674827156,0.0,0.08619379380115053,97.81,480.0
131,9056457A138    ,2023,36,1.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,5.05,0.12,（株）ムロコーポレーション,4,5.43010752688172,48.16955684007707,0.0,0.020705838495895978,97.81,480.0
132,9056463A032    ,2023,36,5.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,16.49,0.36,（株）ムロコーポレーション,3,17.73118279569892,80.28259473346178,0.0,0.06198813703918509,97.81,480.0
133,9056463A033    ,2023,36,2.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,4.94,0.13,（株）ムロコーポレーション,6,5.311827956989247,88.92841262783458,0.0,0.02245553204949712,97.81,480.0
134,9056463A034    ,2023,36,2.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,4.1,0.06,（株）ムロコーポレーション,6,4.408602150537634,192.67822736030828,0.0,0.010376607160756649,97.81,480.0
135,9056463A035    ,2023,36,1.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,3.695,0.0,（株）ムロコーポレーション,5,3.973118279569892,inf,0.0,0.0,97.81,480.0
136,9056463A036    ,2023,36,1.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,4.78,0.0,（株）ムロコーポレーション,2,5.139784946236559,inf,0.0,0.0,97.81,480.0
137,9056463A037    ,2023,36,1.0,0.0,0.0,0.93,3.0,TP131ﾌﾀﾅｼ,1.0,1.0,0.73,100,1.0,12.63,0.0,（株）ムロコーポレーション,1,13.580645161290322,inf,0.0,0.0,97.81,480.0
138,9094906A012    ,2023,36,7.0,0.0,0.0,0.59,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,2.34,500,1.0,1.6750000000000003,6.492,中庸スプリング（株）,30,2.838983050847458,6.456587748716983,0.1,0.6981020177761882,97.81,480.0
139,G1144ECB010    ,2023,36,44.0,0.0,3.0,0.63,2.0,ＴＰ３３１フタナシ,1.0,1.0,2.28,6,1.0,1.4850000000000003,68.5,住友電気工業（株）,318,2.3571428571428577,1.9583407512907245,0.0,0.5955334389671779,97.81,480.0
140,G1144ECE010    ,2023,36,79.0,0.0,3.0,0.58,2.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,8,1.0,1.7200000000000002,66.125,矢崎総業（株）,311,2.965517241379311,4.282103922325887,0.0,1.0717189735152306,97.81,480.0
141,G1163ECB010    ,2023,36,2.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,80,4.0,0.6900000000000002,9.5625,（株）青山製作所,50,1.277777777777778,1.8563638473140736,0.08,0.5091340108729632,97.81,480.0
142,G1163ECE010    ,2023,36,9.0,0.0,1.0,0.53,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,100,4.0,0.8400000000000003,20.55,（株）青山製作所,103,1.584905660377359,3.887185245972444,0.08,1.0791774191174,97.81,480.0
143,G117362010     ,2023,36,65.5,0.0,2.0,0.85,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,3.05,18,1.0,2.21,52.5,多摩川精機販売（株）,234,2.6,3.0805408583186358,0.0,1.1253224183490917,97.81,480.0
144,G1174ECB010    ,2023,36,10.0,0.0,0.0,0.85,1.0,ＴＰ３６２フタナシ,1.0,1.0,2.28,50,1.0,1.8800000000000008,8.22,住友電装（株）,35,2.211764705882354,3.7089786956263717,0.0,0.810374170544093,97.81,480.0
145,G1174ECE010    ,2023,36,18.0,0.0,0.0,0.87,1.0,ＴＰ３６２フタナシ,1.0,1.0,2.28,50,1.0,2.7750000000000004,10.58,住友電装（株）,48,3.1896551724137936,5.186961132371248,0.0,1.104568172063429,97.81,480.0
146,G1250ECB010    ,2023,36,6.0,0.0,0.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,2.0,6.2,60,1.0,1.7199999999999998,4.25,（株）バルカー,18,1.9770114942528734,3.92156862745098,0.24,0.9586090770254925,97.81,480.0
147,G1250ECC010    ,2023,36,5.0,0.0,0.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,2.0,6.2,60,2.0,3.8899999999999997,2.6,（株）バルカー,11,4.471264367816092,5.341880341880341,0.24,0.7383473640368039,97.81,480.0
148,G1250ECE010    ,2023,36,15.0,0.0,0.0,0.88,1.0,ＴＰ３３２フタナシ,1.0,2.0,6.2,60,1.0,2.3600000000000003,8.816666666666666,（株）バルカー,41,2.681818181818182,4.725897920604915,0.24,1.5665690673188717,97.81,480.0
149,G9201ECB030    ,2023,36,43.0,0.0,2.0,0.78,2.0,Ｔ２０３フタナシ,1.0,2.0,5.82,8,1.0,4.055,51.375,佐藤工業（株）,316,5.198717948717948,2.454495508415923,0.05,1.400161386125138,97.81,480.0
150,G9201ECE010    ,2023,36,36.0,0.0,3.0,0.86,2.0,サンボックス＃２０Ｂフタナシ,1.0,2.0,5.82,8,1.0,3.6700000000000004,66.0,佐藤工業（株）,405,4.267441860465117,1.5995734470807785,0.05,0.9498787644738759,97.81,480.0
151,019128GA010    ,2023,37,40.0,0.0,1.0,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.5,3.53,17.54,石黒ゴム工業（株）,92,3.2990654205607473,9.829748751621906,0.29,2.0537308618651786,93.505,462.0
152,01912ECB010    ,2023,37,13.0,0.0,0.0,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.0,3.25,5.846666666666667,石黒ゴム工業（株）,30,3.823529411764706,9.584005032831358,0.29,1.0156510499023057,93.505,462.0
153,01912ECB040    ,2023,37,26.0,0.0,1.0,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,1.5299999999999998,17.54,愛産樹脂工業（株）,93,6.119999999999999,4.751045229950589,0.0,1.1222353781659746,93.505,462.0
154,01912ECB060    ,2023,37,2.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,5.01,0.945,新光ゴム工業（株）,5,6.4230769230769225,4.979769685652039,0.0,0.33489507826055254,93.505,462.0
155,1040043104R    ,2023,37,3.0,0.0,0.0,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,5.9,1.754,（株）ギフ加藤製作所,10,7.866666666666667,7.126567844925884,0.12,0.3707700767663167,93.505,462.0
156,1040052001Z    ,2023,37,3.0,0.0,0.0,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,3.0,3.4200000000000004,2.435,（株）青山製作所,12,6.452830188679246,10.93520284801283,0.08,0.2617164756053826,93.505,462.0
157,1040183011P    ,2023,37,1.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,1.1600000000000001,2.232,（株）青山製作所,12,2.1481481481481484,3.9765858624419415,0.08,0.22420590326083456,93.505,462.0
158,2030044001J    ,2023,37,1.0,0.0,0.0,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,3.72,0.945,ＮＯＫ（株）,5,6.888888888888888,4.68230556726132,0.03,0.19223170284712301,93.505,462.0
159,2030045013L    ,2023,37,2.0,0.0,0.0,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,7.220000000000001,1.1235,伊藤金属工業（株）,6,13.622641509433963,6.01402470561349,0.0,0.2780210575706033,93.505,462.0
160,2030052002N    ,2023,37,2.0,0.0,0.0,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.0,2.27,2.925,（株）杉浦製作所,18,4.54,6.638453240394988,0.12,0.2425064523939406,93.505,462.0
161,3040052001B    ,2023,37,2.0,0.0,0.0,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,0.7,8.628,（株）青山製作所,32,1.346153846153846,2.0574268996222567,0.08,0.5093170774073059,93.505,462.0
162,33490ECB010    ,2023,37,39.0,0.0,4.0,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,0.9199999999999999,94.5,マレリ（株）,504,1.121951219512195,1.6776358239772875,0.23,0.7268981178846566,93.505,462.0
163,33490ECE010    ,2023,37,74.5,0.0,6.0,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,1.1400000000000001,124.75,マレリ（株）,667,1.4074074074074074,2.427619466575427,0.23,1.0487031913713556,93.505,462.0
164,34989ECB010    ,2023,37,2.0,0.0,0.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,8.055,0.234,（株）槌屋,2,9.944444444444443,25.666692333359,0.0,0.0771831475176164,93.505,462.0
165,34989ECB020    ,2023,37,6.0,0.0,0.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.12,1.754,（株）槌屋,10,8.790123456790123,10.272530226920193,0.0,0.4952852874355009,93.505,462.0
166,34989ECB030    ,2023,37,4.0,0.0,0.0,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,7.029999999999999,0.877,（株）槌屋,5,8.787499999999998,13.696706969226923,0.0,0.27364353759118937,93.505,462.0
167,34989ECC010    ,2023,37,3.0,0.0,0.0,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,16.28,0.0,（株）槌屋,1,20.871794871794872,inf,0.0,0.0,93.505,462.0
168,34989ECE020    ,2023,37,2.0,0.0,0.0,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,9.450000000000001,0.43,（株）槌屋,3,11.524390243902442,13.967455827920944,0.0,0.1387062991154456,93.505,462.0
169,35145ECB010    ,2023,37,7.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.625,3.78,三共鋼業（株）,21,4.233870967741936,6.758583400919166,0.0,0.6525234750820229,93.505,462.0
170,35145ECE010    ,2023,37,7.0,0.0,0.0,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,1.9300000000000002,4.99,三共鋼業（株）,26,2.9692307692307693,5.119728508111113,0.0,0.6757259958614785,93.505,462.0
171,35145ECE020    ,2023,37,5.0,0.0,0.0,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.0,1.8150000000000002,4.99,（株）浅賀井製作所,26,2.7923076923076926,5.0863147615027,0.13,0.7594958134522959,93.505,462.0
172,35165ECE010    ,2023,37,4.0,0.0,0.0,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,2.6,2.5,（株）松尾製作所,13,4.126984126984127,7.239819004524885,0.0,0.40548133707929596,93.505,462.0
173,35174ECB010    ,2023,37,14.0,0.0,1.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,3.0,1.185,18.9,（株）浅賀井製作所,100,1.3620689655172415,3.7601052829479227,0.13,1.4846069667234398,93.505,462.0
174,35174ECE010    ,2023,37,15.0,0.0,0.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,3.0,2.17,12.475,（株）浅賀井製作所,65,2.494252873563218,6.10357771380324,0.13,1.5234492796021164,93.505,462.0
175,35174ECE020    ,2023,37,8.0,0.0,0.0,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,3.0,2.0100000000000002,5.544444444444444,（株）浅賀井製作所,29,3.1904761904761907,7.324293256563889,0.13,0.8901126365210377,93.505,462.0
176,3519510A010    ,2023,37,2.0,0.0,0.0,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,1.0,4.87,0.6258333333333334,中庸スプリング（株）,4,7.73015873015873,19.136161764354114,0.1,0.10266745395342483,93.505,462.0
177,35195ECE010    ,2023,37,8.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.0249999999999995,2.4975,三共鋼業（株）,13,6.491935483870967,11.690522639427748,0.0,0.5589364363203713,93.505,462.0
178,35195TFG010    ,2023,37,5.5,0.0,0.0,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,2.74,2.435,三共鋼業（株）,13,4.419354838709678,8.24352882986855,0.0,0.5092461117568147,93.505,462.0
179,35198ECE010    ,2023,37,6.0,0.0,0.0,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.5500000000000003,2.5,サトープレス工業（株）,13,6.120689655172415,8.633093525179854,0.0,0.5329499161274863,93.505,462.0
180,35300ECB010    ,2023,37,134.0,0.0,3.5,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,3.0,2.41,73.08333333333333,アイシン精機（株）,389,2.6483516483516483,8.11293528824129,0.14,4.461025656861838,93.505,462.0
181,35312ECB010    ,2023,37,5.0,0.0,0.0,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,1.3550000000000004,6.0,（株）旭工業所,30,2.2966101694915264,2.8735632183908044,0.0,0.5450444806415236,93.505,462.0
182,35352ECB010    ,2023,37,1.0,0.0,0.0,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,4.775,0.7440476190476191,五興商事（株）,4,7.4609375,4.525252525252525,0.0,0.18844803997382664,93.505,462.0
183,3539450A010    ,2023,37,2.0,0.0,0.0,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000,1.0,7.17,0.877,ミズショー（株）,3,10.098591549295776,7.918408716584315,0.0,0.22626331733537536,93.505,462.0
184,35409ECB010    ,2023,37,3.0,0.0,0.0,0.66,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.26,200,1.0,3.04,1.89,サンコール（株）,9,4.6060606060606055,4.86902327393125,0.0,0.4377310589155073,93.505,462.0
185,35441ECB010    ,2023,37,21.5,0.0,1.0,0.67,3.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,48,1.0,1.63,18.270833333333332,（株）ニフコ,98,2.432835820895522,3.747576059089688,0.0,0.9375565098931216,93.505,462.0
186,35441TFA010    ,2023,37,4.0,0.0,0.0,0.67,1.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,100,1.0,1.8199999999999994,3.78,（株）ニフコ,19,2.71641791044776,3.3700670643345805,0.0,0.545028402784145,93.505,462.0
187,3548255A010    ,2023,37,4.0,0.0,0.0,0.57,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,300,1.0,1.8050000000000002,1.655,サトープレス工業（株）,8,3.1666666666666674,8.693951183464105,0.0,0.38344656635109836,93.505,462.0
188,35482TFA010    ,2023,37,1.0,0.0,0.0,0.66,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,1000,1.0,7.095000000000001,0.369,サトープレス工業（株）,2,10.75,9.748298921838137,0.0,0.0986606917467573,93.505,462.0
189,35501ECB010    ,2023,37,4.0,0.0,0.0,0.6,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.38,100,1.0,2.04,3.78,大橋鉄工（株）,21,3.4000000000000004,4.446222933617892,0.0,0.4753290592006112,93.505,462.0
190,35505ECB010    ,2023,37,12.0,0.0,1.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,2.0,2.34,24,1.0,1.0699999999999994,15.75,中庸スプリング（株）,85,1.3209876543209869,4.562303963501568,0.1,0.9073858510960284,93.505,462.0
191,35556ECB010    ,2023,37,4.0,0.0,0.0,0.75,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100,1.0,1.5099999999999998,3.72,（株）ギフ加藤製作所,19,2.013333333333333,4.4802867383512535,0.12,0.6129059540847767,93.505,462.0
192,35557ECB010    ,2023,37,7.0,0.0,0.0,0.89,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46,1.0,1.455,8.217391304347826,小川工業（株）,44,1.6348314606741574,2.8681880533732387,0.05,0.9475140470244189,93.505,462.0
193,35580ECB011    ,2023,37,33.0,0.0,3.0,0.9,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6,2.0,1.2900000000000003,63.0,アイシン精機（株）,342,1.4333333333333336,2.317741255794353,0.14,1.5553022162992036,93.505,462.0
194,35595ECB010    ,2023,37,7.0,0.0,0.0,0.57,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40,1.0,1.22,9.375,サトープレス工業（株）,50,2.1403508771929824,2.6858513189448434,0.0,0.5586769939292443,93.505,462.0
195,3559850A010    ,2023,37,1.5,0.0,0.0,0.9,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100,1.5,1.3400000000000003,3.78,アイコー（株）,20,1.4888888888888892,1.61311136920893,0.32,0.40627160180203054,93.505,462.0
196,35771ECB010    ,2023,37,19.0,0.0,4.0,0.79,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4,4.0,0.55,94.5,アイシン機工（株）,509,0.6962025316455697,2.0377520377520377,0.12,0.8439661205408631,93.505,462.0
197,35771ECE010    ,2023,37,47.0,0.0,3.0,0.79,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6,4.0,0.79,83.16666666666667,アイシン機工（株）,437,1.0,5.727671559334885,0.12,1.9791877039940342,93.505,462.0
198,35847ECB010    ,2023,37,5.0,0.0,0.0,0.51,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80,1.0,1.7400000000000002,4.725,（株）メタルテック,29,3.4117647058823533,3.6489691662105455,0.0,0.5807053111518596,93.505,462.0
199,35847ECB020    ,2023,37,5.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,1.0,1.4100000000000001,5.414285714285715,（株）メタルテック,29,2.8200000000000003,3.184423619324902,0.0,0.5637344899285097,93.505,462.0
200,35847ECE010    ,2023,37,16.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.0,1.88,12.475,（株）メタルテック,65,3.76,4.422638380208694,0.0,0.9131696445969327,93.505,462.0
201,35847ECE020    ,2023,37,12.0,0.0,0.0,0.49,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.0,3.14,8.333333333333334,（株）メタルテック,43,6.408163265306123,4.96551724137931,0.0,0.874921433060968,93.505,462.0
202,35882ECB010    ,2023,37,7.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.0,1.4450000000000003,7.56,（株）メタルテック,45,2.8900000000000006,3.1928480204342273,0.0,0.628882901567721,93.505,462.0
203,36108ECB010    ,2023,37,3.0,0.0,0.0,0.64,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.0,1.5499999999999998,2.52,（株）オーハシテクニカ,13,2.4218749999999996,4.008337341670675,0.0,0.450833771413038,93.505,462.0
204,41310ECB010    ,2023,37,47.0,0.0,9.0,0.69,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,3.0,0.7549999999999999,189.0,（株）オンド,1028,1.0942028985507246,1.9894179894179893,0.05,0.800825798076143,93.505,462.0
205,41310ECE010    ,2023,37,152.5,0.0,12.0,0.7,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,3.0,1.21,249.5,（株）オンド,1313,1.7285714285714286,4.889779559118236,0.05,1.9124707999341546,93.505,462.0
206,5040056001E    ,2023,37,5.0,0.0,0.0,0.58,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.0,2.01,6.3,サトープレス工業（株）,33,3.46551724137931,2.8548589699668834,0.0,0.5279909675378709,93.505,462.0
207,82125ECB010    ,2023,37,3.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,1.62,3.78,矢崎総業（株）,20,2.7931034482758625,2.844626500540479,0.0,0.44029416636823726,93.505,462.0
208,82125ECE010    ,2023,37,7.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,1.25,5.0,矢崎総業（株）,26,2.1551724137931036,5.017921146953405,0.0,0.681734880879658,93.505,462.0
