,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT
10,3040052001B    ,2023,36,3.0,0.0,0.0,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,0.9550000000000002,8.626,（株）青山製作所,43,1.836538461538462,3.0868558932194814,0.08,0.6053485498619062,97.81,480.0
11,33490ECB010    ,2023,36,54.0,0.0,4.0,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,0.9899999999999998,102.75,マレリ（株）,491,1.2073170731707314,2.1363717286807904,0.23,0.9207338250224619,97.81,480.0
12,33490ECE010    ,2023,36,98.0,0.0,6.0,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,1.17,132.25,マレリ（株）,654,1.4444444444444442,3.01227965020671,0.23,1.2937331362881737,97.81,480.0
13,34989ECB010    ,2023,36,3.0,0.0,0.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,15.04,0.468,（株）槌屋,1,18.5679012345679,19.25001925001925,0.0,0.15196475805543083,97.81,480.0
14,34989ECB020    ,2023,36,7.0,0.0,0.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,6.299999999999999,1.89,（株）槌屋,8,7.777777777777776,11.122233344455568,0.0,0.5340766319138668,97.81,480.0
15,34989ECB030    ,2023,36,4.0,0.0,0.0,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,8.5,0.877,（株）槌屋,3,10.625,13.696706969226923,0.0,0.27364353759118937,97.81,480.0
16,34989ECC010    ,2023,36,3.0,0.0,0.0,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,22.700000000000003,0.3,（株）槌屋,1,29.102564102564106,30.03003003003003,0.0,0.09886297680480598,97.81,480.0
17,34989ECE020    ,2023,36,2.0,0.0,0.0,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,9.4,0.494,（株）槌屋,1,11.463414634146343,12.157906894748999,0.0,0.15777092534347306,97.81,480.0
18,34989ECE030    ,2023,36,2.0,0.0,0.0,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,23.630000000000003,0.252,（株）槌屋,1,29.5375,23.833357166690497,0.0,0.08299458689239056,97.81,480.0
19,35145ECB010    ,2023,36,7.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.7349999999999994,4.11,三共鋼業（株）,18,4.411290322580644,6.215923419823467,0.0,0.6646774819464373,97.81,480.0
