,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からのかんばん増加率,使用工程
494,35847ECB020    ,2023,39,8.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,1.0,1.0149999999999997,5.5285714285714285,（株）メタルテック,24,2.0299999999999994,4.989753185422792,0.0,0.7411007794789769,99.44999999999999,464.0,0.1428571428571428,-0.22519083969465647,-0.11111111111111116,4.TA・カバー・メイン
200,35847ECE010    ,2023,37,16.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.0,1.88,12.475,（株）メタルテック,65,3.76,4.422638380208694,0.0,0.9131696445969327,93.505,462.0,-0.11111111111111116,-0.10476190476190483,0.08333333333333326,2.MGケース
354,35847ECE010    ,2023,38,19.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.0,1.8900000000000006,12.475,（株）メタルテック,61,3.780000000000001,5.2518830764978235,0.0,1.035386622401264,97.085,450.0,0.1875,0.005319148936170581,-0.06153846153846154,2.MGケース
495,35847ECE010    ,2023,39,18.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.0,1.5199999999999998,12.275,（株）メタルテック,48,3.0399999999999996,5.056534869021701,0.0,1.0030489976268224,99.44999999999999,464.0,-0.052631578947368474,-0.19576719576719614,-0.21311475409836067,2.MGケース
201,35847ECE020    ,2023,37,12.0,0.0,0.0,0.49,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.0,3.14,8.333333333333334,（株）メタルテック,43,6.408163265306123,4.96551724137931,0.0,0.874921433060968,93.505,462.0,-0.1428571428571429,0.3361702127659576,0.04878048780487809,4.TA・カバー・メイン
355,35847ECE020    ,2023,38,14.0,0.0,0.0,0.49,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.0,2.33,8.316666666666666,（株）メタルテック,40,4.755102040816327,5.80471287402391,0.0,0.9630456760398798,97.085,450.0,0.16666666666666674,-0.2579617834394905,-0.06976744186046513,4.TA・カバー・メイン
496,35847ECE020    ,2023,39,12.0,0.0,0.0,0.49,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.0,1.6799999999999997,8.183333333333334,（株）メタルテック,31,3.428571428571428,5.056534869021701,0.0,0.8791830422556539,99.44999999999999,464.0,-0.1428571428571429,-0.27896995708154526,-0.22499999999999998,4.TA・カバー・メイン
202,35882ECB010    ,2023,37,7.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.0,1.4450000000000003,7.56,（株）メタルテック,45,2.8900000000000006,3.1928480204342273,0.0,0.628882901567721,93.505,462.0,-0.30000000000000004,-0.05555555555555569,0.125,2.MGケース
356,35882ECB010    ,2023,38,7.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.0,1.4300000000000006,7.56,（株）メタルテック,41,2.860000000000001,3.1928480204342273,0.0,0.628882901567721,97.085,450.0,0.0,-0.010380622837370068,-0.0888888888888889,2.MGケース
497,35882ECB010    ,2023,39,8.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.0,1.0899999999999999,7.74,（株）メタルテック,39,2.1799999999999997,3.5641094181591373,0.0,0.6842806541160288,99.44999999999999,464.0,0.1428571428571428,-0.23776223776223815,-0.04878048780487809,2.MGケース
203,36108ECB010    ,2023,37,3.0,0.0,0.0,0.64,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.0,1.5499999999999998,2.52,（株）オーハシテクニカ,13,2.4218749999999996,4.008337341670675,0.0,0.450833771413038,93.505,462.0,-0.4,-0.2840646651270208,0.08333333333333326,2.MGケース
357,36108ECB010    ,2023,38,3.0,0.0,0.0,0.64,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.0,2.6000000000000005,2.52,（株）オーハシテクニカ,13,4.062500000000001,4.008337341670675,0.0,0.450833771413038,97.085,450.0,0.0,0.6774193548387102,0.0,2.MGケース
498,36108ECB010    ,2023,39,3.0,0.0,0.0,0.64,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.0,1.6900000000000004,2.4699999999999998,（株）オーハシテクニカ,8,2.6406250000000004,4.089477773688301,0.0,0.44890168747999826,99.44999999999999,464.0,0.0,-0.35,-0.3846153846153846,2.MGケース
499,39171ECB010    ,2023,39,11.0,0.0,1.0,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,11.0,0.57,24.1875,（株）アイシン福井,106,0.9193548387096774,5.277915223486723,,1.4676249820473173,99.44999999999999,464.0,0.0,0.0,0.0,
500,39171ECE010    ,2023,39,21.0,0.0,1.0,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,11.0,0.97,24.55,（株）アイシン福井,95,1.5396825396825395,9.927239636473937,,1.7244697565149807,99.44999999999999,464.0,0.0,0.0,0.0,
204,41310ECB010    ,2023,37,47.0,0.0,9.0,0.69,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,3.0,0.7549999999999999,189.0,（株）オンド,1028,1.0942028985507246,1.9894179894179893,0.05,0.800825798076143,93.505,462.0,-0.1454545454545455,-0.03205128205128227,0.016815034619188873,1.デフ・大物ギヤ・Brg
358,41310ECB010    ,2023,38,57.5,0.0,9.0,0.69,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,3.0,0.76,189.0,（株）オンド,912,1.1014492753623188,2.433862433862434,0.05,0.9723701045963332,97.085,450.0,0.22340425531914887,0.006622516556291647,-0.11284046692607008,1.デフ・大物ギヤ・Brg
501,41310ECB010    ,2023,39,82.5,0.0,9.0,0.69,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,2.0,0.8600000000000003,193.5,（株）オンド,866,1.2463768115942035,3.4108527131782944,0.05,1.342317855318505,99.44999999999999,464.0,0.4347826086956521,0.13157894736842146,-0.05043859649122806,1.デフ・大物ギヤ・Brg
205,41310ECE010    ,2023,37,152.5,0.0,12.0,0.7,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,3.0,1.21,249.5,（株）オンド,1313,1.7285714285714286,4.889779559118236,0.05,1.9124707999341546,93.505,462.0,0.12132352941176472,0.13084112149532667,0.015467904098994678,1.デフ・大物ギヤ・Brg
359,41310ECE010    ,2023,38,145.0,0.0,12.0,0.7,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,3.0,1.2000000000000002,249.5,（株）オンド,1180,1.7142857142857146,4.649298597194389,0.05,1.8239154628858223,97.085,450.0,-0.049180327868852514,-0.008264462809917217,-0.10129474485910128,1.デフ・大物ギヤ・Brg
502,41310ECE010    ,2023,39,132.0,0.0,12.0,0.7,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,2.0,1.2000000000000002,245.5,（株）オンド,993,1.7142857142857146,4.30142566191446,0.05,1.6933622301213742,99.44999999999999,464.0,-0.08965517241379306,0.0,-0.15847457627118644,1.デフ・大物ギヤ・Brg
206,5040056001E    ,2023,37,5.0,0.0,0.0,0.58,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.0,2.01,6.3,サトープレス工業（株）,33,3.46551724137931,2.8548589699668834,0.0,0.5279909675378709,93.505,462.0,0.0,0.12290502793296065,0.03125,3.ギヤサブ・共通部品
360,5040056001E    ,2023,38,5.0,0.0,0.0,0.58,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.0,1.715,6.3,サトープレス工業（株）,32,2.9568965517241383,2.8548589699668834,0.0,0.5279909675378709,97.085,450.0,0.0,-0.1467661691542287,-0.030303030303030276,3.ギヤサブ・共通部品
503,5040056001E    ,2023,39,6.0,0.0,0.0,0.58,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.0,1.2999999999999998,7.0,サトープレス工業（株）,24,2.2413793103448274,3.083247687564234,0.0,0.5750845929931883,99.44999999999999,464.0,0.19999999999999996,-0.2419825072886299,-0.25,3.ギヤサブ・共通部品
207,82125ECB010    ,2023,37,3.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,1.62,3.78,矢崎総業（株）,20,2.7931034482758625,2.844626500540479,0.0,0.44029416636823726,93.505,462.0,-0.4,-0.3305785123966941,0.25,2.MGケース
361,82125ECB010    ,2023,38,3.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,1.595,3.78,矢崎総業（株）,20,2.75,2.844626500540479,0.0,0.44029416636823726,97.085,450.0,0.0,-0.015432098765432167,0.0,2.MGケース
504,82125ECB010    ,2023,39,3.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,1.6300000000000003,3.87,矢崎総業（株）,15,2.8103448275862077,2.7784723958767468,0.0,0.43847005313963605,99.44999999999999,464.0,0.0,0.021943573667711824,-0.25,2.MGケース
208,82125ECE010    ,2023,37,7.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,1.25,5.0,矢崎総業（株）,26,2.1551724137931036,5.017921146953405,0.0,0.681734880879658,93.505,462.0,-0.125,-0.4158878504672897,0.08333333333333326,4.TA・カバー・メイン
