,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からのかんばん増加率,使用工程
458,2030045013L    ,2023,39,2.0,0.0,0.0,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,3.3899999999999997,0.56175,伊藤金属工業（株）,2,6.396226415094339,12.02804941122698,0.0,0.1585051454392467,99.44999999999999,464.0,0.0,-0.11488250652741505,-0.5,3.ギヤサブ・共通部品
160,2030052002N    ,2023,37,2.0,0.0,0.0,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.0,2.27,2.925,（株）杉浦製作所,18,4.54,6.638453240394988,0.12,0.2425064523939406,93.505,462.0,-0.33333333333333337,0.06323185011709587,0.125,2.MGケース
315,2030052002N    ,2023,38,5.0,0.0,0.0,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.0,1.7000000000000002,2.9233333333333333,（株）杉浦製作所,13,3.4000000000000004,16.60559497846808,0.12,0.27452272655117016,97.085,450.0,1.5,-0.25110132158590304,-0.2777777777777778,2.MGケース
459,2030052002N    ,2023,39,4.0,0.0,0.0,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.0,1.845,2.9266666666666667,（株）杉浦製作所,8,3.69,13.269345600106153,0.12,0.26883504955047527,99.44999999999999,464.0,-0.19999999999999996,0.08529411764705874,-0.3846153846153846,2.MGケース
161,3040052001B    ,2023,37,2.0,0.0,0.0,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,0.7,8.628,（株）青山製作所,32,1.346153846153846,2.0574268996222567,0.08,0.5093170774073059,93.505,462.0,-0.33333333333333337,-0.26701570680628295,-0.2558139534883721,3.ギヤサブ・共通部品
316,3040052001B    ,2023,38,3.0,0.0,0.0,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,2.5,0.8099999999999998,8.014,（株）青山製作所,40,1.5576923076923073,3.322587838147148,0.08,0.5930079025508868,97.085,450.0,0.5,0.15714285714285703,0.25,3.ギヤサブ・共通部品
460,3040052001B    ,2023,39,3.0,0.0,0.0,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,2.0,0.9199999999999999,8.006,（株）青山製作所,34,1.769230769230769,3.325907935911971,0.08,0.5928219612064146,99.44999999999999,464.0,0.0,0.13580246913580263,-0.15000000000000002,3.ギヤサブ・共通部品
162,33490ECB010    ,2023,37,39.0,0.0,4.0,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,0.9199999999999999,94.5,マレリ（株）,504,1.121951219512195,1.6776358239772875,0.23,0.7268981178846566,93.505,462.0,-0.2777777777777778,-0.07070707070707061,0.026476578411405383,7.ファイナル前半
317,33490ECB010    ,2023,38,46.0,0.0,3.0,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,0.96,94.5,マレリ（株）,464,1.170731707317073,1.978749946229621,0.23,0.8525820734581685,97.085,450.0,0.17948717948717952,0.04347826086956519,-0.07936507936507942,7.ファイナル前半
461,33490ECB010    ,2023,39,77.5,0.0,4.0,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,1.11,96.75,マレリ（株）,458,1.353658536585366,3.256234112728724,0.23,1.372440895262261,99.44999999999999,464.0,0.6847826086956521,0.15625000000000022,-0.012931034482758674,7.ファイナル前半
163,33490ECE010    ,2023,37,74.5,0.0,6.0,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,1.1400000000000001,124.75,マレリ（株）,667,1.4074074074074074,2.427619466575427,0.23,1.0487031913713556,93.505,462.0,-0.23979591836734693,-0.02564102564102544,0.01987767584097866,7.ファイナル前半
318,33490ECE010    ,2023,38,92.0,0.0,5.0,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,1.19,124.75,マレリ（株）,610,1.4691358024691357,2.997865649999185,0.23,1.2847302086077401,97.085,450.0,0.2348993288590604,0.04385964912280693,-0.0854572713643178,7.ファイナル前半
462,33490ECE010    ,2023,39,122.5,0.0,6.0,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,1.2850000000000001,122.75,マレリ（株）,548,1.58641975308642,4.0567615452121935,0.23,1.7116286706774737,99.44999999999999,464.0,0.3315217391304348,0.0798319327731094,-0.10163934426229504,7.ファイナル前半
164,34989ECB010    ,2023,37,2.0,0.0,0.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,8.055,0.234,（株）槌屋,2,9.944444444444443,25.666692333359,0.0,0.0771831475176164,93.505,462.0,-0.33333333333333337,-0.46442819148936165,1.0,7.ファイナル前半
319,34989ECB010    ,2023,38,2.0,0.0,0.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.23,0.486,（株）槌屋,2,8.925925925925926,12.358037049395074,0.0,0.1554202374652611,97.085,450.0,0.0,-0.10242085661080069,0.0,7.ファイナル前半
165,34989ECB020    ,2023,37,6.0,0.0,0.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.12,1.754,（株）槌屋,10,8.790123456790123,10.272530226920193,0.0,0.4952852874355009,93.505,462.0,-0.1428571428571429,0.13015873015873036,0.25,8.ファイナル後半
320,34989ECB020    ,2023,38,6.0,0.0,0.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,6.055,1.814,（株）槌屋,10,7.475308641975308,9.932755246977958,0.0,0.5068656966227407,97.085,450.0,0.0,-0.1495786516853933,0.0,8.ファイナル後半
463,34989ECB020    ,2023,39,6.0,0.0,0.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,1.87,1.756,（株）槌屋,1,2.308641975308642,10.260830306388392,0.0,0.4956780874863575,99.44999999999999,464.0,0.0,-0.6911643270024772,-0.9,8.ファイナル後半
166,34989ECB030    ,2023,37,4.0,0.0,0.0,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,7.029999999999999,0.877,（株）槌屋,5,8.787499999999998,13.696706969226923,0.0,0.27364353759118937,93.505,462.0,0.0,-0.17294117647058826,0.6666666666666667,8.ファイナル後半
321,34989ECB030    ,2023,38,3.0,0.0,0.0,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,5.965,0.8775,（株）槌屋,4,7.45625,10.2666769333436,0.0,0.26814319578363244,97.085,450.0,-0.25,-0.15149359886201985,-0.19999999999999996,8.ファイナル後半
167,34989ECC010    ,2023,37,3.0,0.0,0.0,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,16.28,0.0,（株）槌屋,1,20.871794871794872,inf,0.0,0.0,93.505,462.0,0.0,-0.28281938325991196,0.0,7.ファイナル前半
168,34989ECE020    ,2023,37,2.0,0.0,0.0,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,9.450000000000001,0.43,（株）槌屋,3,11.524390243902442,13.967455827920944,0.0,0.1387062991154456,93.505,462.0,0.0,0.005319148936170359,2.0,7.ファイナル前半
322,34989ECE020    ,2023,38,2.0,0.0,0.0,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,5.9,0.47,（株）槌屋,1,7.195121951219513,12.778736182991501,0.0,0.1506905070422887,97.085,450.0,0.0,-0.3756613756613757,-0.6666666666666667,7.ファイナル前半
464,35141ECB010    ,2023,39,12.0,0.0,1.0,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,11.0,0.5699999999999998,24.1875,（株）アイシン福井,106,0.9193548387096772,5.7577256983491525,,1.5047185720446536,99.44999999999999,464.0,0.0,0.0,0.0,
465,35141ECE010    ,2023,39,23.0,0.0,1.0,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,10.5,1.03,24.55,（株）アイシン福井,94,1.6349206349206349,10.872691030423836,,1.7526336391416861,99.44999999999999,464.0,0.0,0.0,0.0,
169,35145ECB010    ,2023,37,7.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.625,3.78,三共鋼業（株）,21,4.233870967741936,6.758583400919166,0.0,0.6525234750820229,93.505,462.0,0.0,-0.04021937842778778,0.16666666666666674,2.MGケース
323,35145ECB010    ,2023,38,7.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.9299999999999997,3.78,三共鋼業（株）,20,4.725806451612903,6.758583400919166,0.0,0.6525234750820229,97.085,450.0,0.0,0.11619047619047618,-0.04761904761904767,2.MGケース
466,35145ECB010    ,2023,39,7.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,1.75,3.87,三共鋼業（株）,13,2.8225806451612905,6.601407042758256,0.0,0.6563582759732706,99.44999999999999,464.0,0.0,-0.40273037542662116,-0.35,2.MGケース
170,35145ECE010    ,2023,37,7.0,0.0,0.0,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,1.9300000000000002,4.99,三共鋼業（株）,26,2.9692307692307693,5.119728508111113,0.0,0.6757259958614785,93.505,462.0,0.0,-0.23715415019762842,0.08333333333333326,2.MGケース
324,35145ECE010    ,2023,38,6.0,0.0,0.0,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.5349999999999997,4.99,三共鋼業（株）,24,3.8999999999999995,4.388338721238096,0.0,0.623192823822918,97.085,450.0,-0.1428571428571429,0.31347150259067336,-0.07692307692307687,2.MGケース
467,35145ECE010    ,2023,39,7.0,0.0,0.0,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,1.8,4.91,三共鋼業（株）,18,2.769230769230769,5.203145673212719,0.0,0.6757640159564373,99.44999999999999,464.0,0.16666666666666674,-0.2899408284023668,-0.25,2.MGケース
171,35145ECE020    ,2023,37,5.0,0.0,0.0,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.0,1.8150000000000002,4.99,（株）浅賀井製作所,26,2.7923076923076926,5.0863147615027,0.13,0.7594958134522959,93.505,462.0,-0.16666666666666663,-0.02156334231805912,0.0,2.MGケース
325,35145ECE020    ,2023,38,5.0,0.0,0.0,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,3.0,1.7799999999999998,4.99,（株）浅賀井製作所,26,2.738461538461538,5.0863147615027,0.13,0.7594958134522959,97.085,450.0,0.0,-0.019283746556474024,0.0,2.MGケース
468,35145ECE020    ,2023,39,7.0,0.0,0.0,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,3.0,1.58,4.91,（株）浅賀井製作所,17,2.430769230769231,7.236862509950686,0.13,0.8036866244447335,99.44999999999999,464.0,0.3999999999999999,-0.11235955056179758,-0.34615384615384615,2.MGケース
172,35165ECE010    ,2023,37,4.0,0.0,0.0,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,2.6,2.5,（株）松尾製作所,13,4.126984126984127,7.239819004524885,0.0,0.40548133707929596,93.505,462.0,-0.4285714285714286,-0.1912908242612752,0.30000000000000004,2.MGケース
326,35165ECE010    ,2023,38,5.0,0.0,0.0,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,3.3699999999999997,2.495,（株）松尾製作所,13,5.349206349206349,9.067909574805718,0.0,0.42780164565865303,97.085,450.0,0.25,0.296153846153846,0.0,2.MGケース
469,35165ECE010    ,2023,39,4.0,0.0,0.0,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,2.765,2.3975,（株）松尾製作所,6,4.388888888888889,7.549342027658901,0.0,0.39734900554071034,99.44999999999999,464.0,-0.19999999999999996,-0.1795252225519287,-0.5384615384615384,2.MGケース
173,35174ECB010    ,2023,37,14.0,0.0,1.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,3.0,1.185,18.9,（株）浅賀井製作所,100,1.3620689655172415,3.7601052829479227,0.13,1.4846069667234398,93.505,462.0,-0.125,0.012820512820512997,0.020408163265306145,2.MGケース
327,35174ECB010    ,2023,38,13.0,0.0,1.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,3.0,1.2349999999999999,18.9,（株）浅賀井製作所,92,1.4195402298850572,3.491526334165928,0.13,1.418977529052044,97.085,450.0,-0.0714285714285714,0.04219409282700415,-0.07999999999999996,2.MGケース
470,35174ECB010    ,2023,39,17.0,0.0,1.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,2.0,1.3300000000000005,19.35,（株）浅賀井製作所,81,1.5287356321839087,4.459659754194047,0.13,1.656167901040651,99.44999999999999,464.0,0.3076923076923077,0.07692307692307754,-0.11956521739130432,2.MGケース
174,35174ECE010    ,2023,37,15.0,0.0,0.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,3.0,2.17,12.475,（株）浅賀井製作所,65,2.494252873563218,6.10357771380324,0.13,1.5234492796021164,93.505,462.0,-0.032258064516129004,0.023584905660377187,0.06557377049180335,2.MGケース
328,35174ECE010    ,2023,38,15.0,0.0,0.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,3.0,1.79,12.475,（株）浅賀井製作所,60,2.057471264367816,6.10357771380324,0.13,1.5234492796021164,97.085,450.0,0.0,-0.1751152073732718,-0.07692307692307687,2.MGケース
471,35174ECE010    ,2023,39,17.0,0.0,0.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,2.0,1.2599999999999998,12.275,（株）浅賀井製作所,43,1.4482758620689653,7.03009500966638,0.13,1.5869170807502997,99.44999999999999,464.0,0.1333333333333333,-0.2960893854748605,-0.2833333333333333,2.MGケース
175,35174ECE020    ,2023,37,8.0,0.0,0.0,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,3.0,2.0100000000000002,5.544444444444444,（株）浅賀井製作所,29,3.1904761904761907,7.324293256563889,0.13,0.8901126365210377,93.505,462.0,-0.11111111111111116,-0.22988505747126442,0.07407407407407418,2.MGケース
329,35174ECE020    ,2023,38,8.0,0.0,0.0,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,3.0,2.3049999999999997,5.544444444444444,（株）浅賀井製作所,28,3.658730158730158,7.324293256563889,0.13,0.8901126365210377,97.085,450.0,0.0,0.14676616915422858,-0.03448275862068961,2.MGケース
472,35174ECE020    ,2023,39,11.0,0.0,0.0,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,2.0,1.235,5.455555555555556,（株）浅賀井製作所,18,1.9603174603174605,10.234991264073113,0.13,0.9265765627829657,99.44999999999999,464.0,0.375,-0.4642082429501083,-0.3571428571428571,2.MGケース
176,3519510A010    ,2023,37,2.0,0.0,0.0,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,1.0,4.87,0.6258333333333334,中庸スプリング（株）,4,7.73015873015873,19.136161764354114,0.1,0.10266745395342483,93.505,462.0,-0.33333333333333337,-0.30378842030021447,1.0,4.TA・カバー・メイン
330,3519510A010    ,2023,38,2.0,0.0,0.0,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,1.5,6.015000000000001,0.6425000000000001,中庸スプリング（株）,2,9.54761904761905,18.639763275006406,0.1,0.1053011867255163,97.085,450.0,0.0,0.23511293634496933,-0.5,4.TA・カバー・メイン
473,3519510A010    ,2023,39,2.0,0.0,0.0,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,2.0,2.8600000000000003,0.7016666666666667,中庸スプリング（株）,1,4.53968253968254,17.068001763693516,0.1,0.11458744968815164,99.44999999999999,464.0,0.0,-0.5245220282626766,-0.5,4.TA・カバー・メイン
177,35195ECE010    ,2023,37,8.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.0249999999999995,2.4975,三共鋼業（株）,13,6.491935483870967,11.690522639427748,0.0,0.5589364363203713,93.505,462.0,0.1428571428571428,0.32183908045976994,0.08333333333333326,4.TA・カバー・メイン
331,35195ECE010    ,2023,38,6.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.15,2.455,三共鋼業（株）,13,6.693548387096775,8.91967829693609,0.0,0.5218558311512949,97.085,450.0,-0.25,0.031055900621118182,0.0,4.TA・カバー・メイン
474,35195ECE010    ,2023,39,8.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,2.17,2.455,三共鋼業（株）,5,3.5,11.892904395914785,0.0,0.5528430008153938,99.44999999999999,464.0,0.33333333333333326,-0.47710843373493983,-0.6153846153846154,4.TA・カバー・メイン
178,35195TFG010    ,2023,37,5.5,0.0,0.0,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,2.74,2.435,三共鋼業（株）,13,4.419354838709678,8.24352882986855,0.0,0.5092461117568147,93.505,462.0,-0.08333333333333337,-0.2883116883116882,0.08333333333333326,2.MGケース
332,35195TFG010    ,2023,38,5.0,0.0,0.0,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,2.9899999999999998,2.495,三共鋼業（株）,13,4.82258064516129,7.313897868730161,0.0,0.5033397666268555,97.085,450.0,-0.09090909090909094,0.09124087591240859,0.0,2.MGケース
475,35195TFG010    ,2023,39,5.5,0.0,0.0,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,0.9499999999999997,2.465,三共鋼業（株）,7,1.5322580645161286,8.143201906989828,0.0,0.5125121975729703,99.44999999999999,464.0,0.10000000000000009,-0.6822742474916388,-0.46153846153846156,2.MGケース
179,35198ECE010    ,2023,37,6.0,0.0,0.0,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.5500000000000003,2.5,サトープレス工業（株）,13,6.120689655172415,8.633093525179854,0.0,0.5329499161274863,93.505,462.0,0.0,0.16393442622950838,0.08333333333333326,2.MGケース
333,35198ECE010    ,2023,38,6.0,0.0,0.0,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.9800000000000004,2.495,サトープレス工業（株）,13,6.862068965517243,8.650394313807471,0.0,0.5323800505951976,97.085,450.0,0.0,0.12112676056338034,0.0,2.MGケース
476,35198ECE010    ,2023,39,6.0,0.0,0.0,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,1.705,2.3975,サトープレス工業（株）,6,2.9396551724137936,9.002183029384623,0.0,0.5208533161337372,99.44999999999999,464.0,0.0,-0.5716080402010051,-0.5384615384615384,2.MGケース
180,35300ECB010    ,2023,37,134.0,0.0,3.5,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,3.0,2.41,73.08333333333333,アイシン精機（株）,389,2.6483516483516483,8.11293528824129,0.14,4.461025656861838,93.505,462.0,0.10288065843621408,0.021186440677966267,0.034574468085106336,3.ギヤサブ・共通部品
334,35300ECB010    ,2023,38,126.5,0.0,3.0,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,3.0,2.6100000000000003,73.08333333333333,アイシン精機（株）,349,2.8681318681318686,7.6588530892725615,0.14,4.275981212395567,97.085,450.0,-0.05597014925373134,0.08298755186722007,-0.10282776349614398,3.ギヤサブ・共通部品
477,35300ECB010    ,2023,39,128.0,0.0,3.0,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,2.0,2.34,73.16666666666667,アイシン精機（株）,211,2.571428571428571,7.7408430261858205,0.14,4.311093487211207,99.44999999999999,464.0,0.011857707509881354,-0.10344827586206917,-0.3954154727793696,3.ギヤサブ・共通部品
181,35312ECB010    ,2023,37,5.0,0.0,0.0,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,1.3550000000000004,6.0,（株）旭工業所,30,2.2966101694915264,2.8735632183908044,0.0,0.5450444806415236,93.505,462.0,-0.16666666666666663,-0.1687116564417176,0.0,2.MGケース
335,35312ECB010    ,2023,38,5.0,0.0,0.0,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,1.33,6.0,（株）旭工業所,31,2.2542372881355934,2.8735632183908044,0.0,0.5450444806415236,97.085,450.0,0.0,-0.018450184501845324,0.03333333333333344,2.MGケース
478,35312ECB010    ,2023,39,5.0,0.0,0.0,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,1.4350000000000003,6.142857142857143,（株）旭工業所,24,2.432203389830509,2.806736166800321,0.0,0.5401471868597393,99.44999999999999,464.0,0.0,0.07894736842105288,-0.22580645161290325,2.MGケース
182,35352ECB010    ,2023,37,1.0,0.0,0.0,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,4.775,0.7440476190476191,五興商事（株）,4,7.4609375,4.525252525252525,0.0,0.18844803997382664,93.505,462.0,-0.5,-0.18515358361774747,0.33333333333333326,2.MGケース
336,35352ECB010    ,2023,38,2.0,0.0,0.0,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,5.050000000000001,0.7678571428571429,五興商事（株）,3,7.890625000000001,8.769869234985515,0.0,0.20885287149445408,97.085,450.0,1.0,0.05759162303664933,-0.25,2.MGケース
479,35352ECB010    ,2023,39,2.0,0.0,0.0,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,2.4650000000000003,0.4176587301587302,五興商事（株）,2,3.8515625000000004,16.1232275246527,0.0,0.12076004543332684,99.44999999999999,464.0,0.0,-0.5118811881188119,-0.33333333333333337,2.MGケース
183,3539450A010    ,2023,37,2.0,0.0,0.0,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000,1.0,7.17,0.877,ミズショー（株）,3,10.098591549295776,7.918408716584315,0.0,0.22626331733537536,93.505,462.0,0.0,0.19400499583680264,-0.25,3.ギヤサブ・共通部品
337,3539450A010    ,2023,38,3.0,0.0,0.0,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000,1.0,7.129999999999999,0.878,ミズショー（株）,5,10.04225352112676,11.86408504176158,0.0,0.23463190283747407,97.085,450.0,0.5,-0.005578800557880181,0.6666666666666667,3.ギヤサブ・共通部品
184,35409ECB010    ,2023,37,3.0,0.0,0.0,0.66,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.26,200,1.0,3.04,1.89,サンコール（株）,9,4.6060606060606055,4.86902327393125,0.0,0.4377310589155073,93.505,462.0,-0.4,-0.08433734939759041,0.2857142857142858,4.TA・カバー・メイン
338,35409ECB010    ,2023,38,3.0,0.0,0.0,0.66,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.26,200,1.0,2.725,1.8925,サンコール（株）,10,4.128787878787879,4.862591274890389,0.0,0.43797434515607103,97.085,450.0,0.0,-0.10361842105263153,0.11111111111111116,4.TA・カバー・メイン
480,35409ECB010    ,2023,39,2.5,0.0,0.0,0.66,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.26,200,1.0,1.9450000000000003,1.8525,サンコール（株）,6,2.9469696969696972,4.139655415083249,0.0,0.41086116991220895,99.44999999999999,464.0,-0.16666666666666663,-0.28623853211009165,-0.4,4.TA・カバー・メイン
185,35441ECB010    ,2023,37,21.5,0.0,1.0,0.67,3.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,48,1.0,1.63,18.270833333333332,（株）ニフコ,98,2.432835820895522,3.747576059089688,0.0,0.9375565098931216,93.505,462.0,-0.20370370370370372,-0.19704433497536966,0.101123595505618,2.MGケース
339,35441ECB010    ,2023,38,25.0,0.0,1.0,0.67,3.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,48,1.0,2.1100000000000003,18.270833333333332,（株）ニフコ,88,3.149253731343284,4.357646580336846,0.0,1.0619308930071203,97.085,450.0,0.16279069767441867,0.29447852760736226,-0.10204081632653061,2.MGケース
481,35441ECB010    ,2023,39,22.0,0.0,1.0,0.67,3.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,48,1.0,1.5299999999999998,18.291666666666668,（株）ニフコ,67,2.2835820895522385,3.830361417814082,0.0,0.9550015668965759,99.44999999999999,464.0,-0.12,-0.2748815165876779,-0.23863636363636365,2.MGケース
186,35441TFA010    ,2023,37,4.0,0.0,0.0,0.67,1.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,100,1.0,1.8199999999999994,3.78,（株）ニフコ,19,2.71641791044776,3.3700670643345805,0.0,0.545028402784145,93.505,462.0,-0.33333333333333337,-0.3680555555555559,0.1875,2.MGケース
340,35441TFA010    ,2023,38,3.0,0.0,0.0,0.67,1.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,100,1.0,1.9600000000000004,3.78,（株）ニフコ,19,2.9253731343283587,2.5275502982509352,0.0,0.4617835408443908,97.085,450.0,-0.25,0.07692307692307754,0.0,2.MGケース
482,35441TFA010    ,2023,39,4.0,0.0,0.0,0.67,1.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,100,1.0,1.7999999999999998,3.87,（株）ニフコ,15,2.6865671641791042,3.2916934116756362,0.0,0.5438334216542013,99.44999999999999,464.0,0.33333333333333326,-0.0816326530612248,-0.21052631578947367,2.MGケース
187,3548255A010    ,2023,37,4.0,0.0,0.0,0.57,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,300,1.0,1.8050000000000002,1.655,サトープレス工業（株）,8,3.1666666666666674,8.693951183464105,0.0,0.38344656635109836,93.505,462.0,-0.33333333333333337,-0.6432806324110671,0.33333333333333326,4.TA・カバー・メイン
341,3548255A010    ,2023,38,4.0,0.0,0.0,0.57,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,300,1.0,2.26,1.6633333333333333,サトープレス工業（株）,7,3.9649122807017543,8.650394313807471,0.0,0.38473027418272854,97.085,450.0,0.0,0.2520775623268696,-0.125,4.TA・カバー・メイン
483,3548255A010    ,2023,39,3.0,0.0,0.0,0.57,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,300,1.0,1.16,1.6366666666666667,サトープレス工業（株）,5,2.0350877192982457,6.593503201512109,0.0,0.36092382633517794,99.44999999999999,464.0,-0.25,-0.48672566371681414,-0.2857142857142857,4.TA・カバー・メイン
188,35482TFA010    ,2023,37,1.0,0.0,0.0,0.66,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,1000,1.0,7.095000000000001,0.369,サトープレス工業（株）,2,10.75,9.748298921838137,0.0,0.0986606917467573,93.505,462.0,0.0,0.0,0.0,4.TA・カバー・メイン
342,35482TFA010    ,2023,38,1.0,0.0,0.0,0.66,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,1000,1.0,7.510000000000001,0.42,サトープレス工業（株）,1,11.378787878787879,8.564576909900651,0.0,0.11104230300899533,97.085,450.0,0.0,0.05849189570119795,-0.5,4.TA・カバー・メイン
