,品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数
98,35145ECB010    ,2023,35,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,3.32,4.11,三共鋼業（株）,20
99,35145ECB010    ,2023,36,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.7349999999999994,4.11,三共鋼業（株）,18
100,35145ECB010    ,2023,37,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.625,3.78,三共鋼業（株）,21
101,35145ECB010    ,2023,38,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.9299999999999997,3.78,三共鋼業（株）,20
102,35145ECB010    ,2023,39,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,1.75,3.87,三共鋼業（株）,13
103,35145ECE010    ,2023,35,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.9000000000000004,5.34,三共鋼業（株）,27
104,35145ECE010    ,2023,36,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.5300000000000002,5.29,三共鋼業（株）,24
105,35145ECE010    ,2023,37,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,1.9300000000000002,4.99,三共鋼業（株）,26
106,35145ECE010    ,2023,38,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.5349999999999997,4.99,三共鋼業（株）,24
107,35145ECE010    ,2023,39,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,1.8,4.91,三共鋼業（株）,18
108,35145ECE020    ,2023,35,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.5,1.6350000000000002,5.32,（株）浅賀井製作所,28
109,35145ECE020    ,2023,36,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,3.0,1.8549999999999998,5.34,（株）浅賀井製作所,26
110,35145ECE020    ,2023,37,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,2.0,1.8150000000000002,4.99,（株）浅賀井製作所,26
111,35145ECE020    ,2023,38,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,3.0,1.7799999999999998,4.99,（株）浅賀井製作所,26
112,35145ECE020    ,2023,39,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,3.0,1.58,4.91,（株）浅賀井製作所,17
113,35165ECE010    ,2023,35,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,4.985,2.645,（株）松尾製作所,14
114,35165ECE010    ,2023,36,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,3.215,2.67,（株）松尾製作所,10
115,35165ECE010    ,2023,37,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,2.6,2.5,（株）松尾製作所,13
116,35165ECE010    ,2023,38,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,3.3699999999999997,2.495,（株）松尾製作所,13
117,35165ECE010    ,2023,39,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,2.765,2.3975,（株）松尾製作所,6
118,35174ECB010    ,2023,35,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,3.0,1.7299999999999995,20.55,（株）浅賀井製作所,93
119,35174ECB010    ,2023,36,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,3.0,1.17,20.55,（株）浅賀井製作所,98
120,35174ECB010    ,2023,37,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,3.0,1.185,18.9,（株）浅賀井製作所,100
121,35174ECB010    ,2023,38,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,3.0,1.2349999999999999,18.9,（株）浅賀井製作所,92
122,35174ECB010    ,2023,39,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,2.0,1.3300000000000005,19.35,（株）浅賀井製作所,81
123,35174ECE010    ,2023,35,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,3.0,2.12,13.35,（株）浅賀井製作所,69
124,35174ECE010    ,2023,36,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,3.0,2.12,13.225,（株）浅賀井製作所,61
125,35174ECE010    ,2023,37,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,3.0,2.17,12.475,（株）浅賀井製作所,65
126,35174ECE010    ,2023,38,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,3.0,1.79,12.475,（株）浅賀井製作所,60
127,35174ECE010    ,2023,39,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,2.0,1.2599999999999998,12.275,（株）浅賀井製作所,43
128,35174ECE020    ,2023,35,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,2.0,2.74,5.905555555555556,（株）浅賀井製作所,32
129,35174ECE020    ,2023,36,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,3.0,2.6100000000000003,5.877777777777778,（株）浅賀井製作所,27
130,35174ECE020    ,2023,37,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,3.0,2.0100000000000002,5.544444444444444,（株）浅賀井製作所,29
131,35174ECE020    ,2023,38,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,3.0,2.3049999999999997,5.544444444444444,（株）浅賀井製作所,28
132,35174ECE020    ,2023,39,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,2.0,1.235,5.455555555555556,（株）浅賀井製作所,18
133,3519510A010    ,2023,35,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,2.0,7.5649999999999995,,中庸スプリング（株）,2
134,3519510A010    ,2023,36,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,2.0,6.995,0.6575,中庸スプリング（株）,2
135,3519510A010    ,2023,37,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,1.0,4.87,0.6258333333333334,中庸スプリング（株）,4
136,3519510A010    ,2023,38,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,1.5,6.015000000000001,0.6425000000000001,中庸スプリング（株）,2
137,3519510A010    ,2023,39,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,2.0,2.8600000000000003,0.7016666666666667,中庸スプリング（株）,1
138,35195ECE010    ,2023,35,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.625,2.6574999999999998,三共鋼業（株）,12
139,35195ECE010    ,2023,36,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.045,2.6550000000000002,三共鋼業（株）,12
140,35195ECE010    ,2023,37,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.0249999999999995,2.4975,三共鋼業（株）,13
141,35195ECE010    ,2023,38,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,4.15,2.455,三共鋼業（株）,13
142,35195ECE010    ,2023,39,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,2.17,2.455,三共鋼業（株）,5
143,35195TFG010    ,2023,35,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,2.1799999999999997,2.675,三共鋼業（株）,13
144,35195TFG010    ,2023,36,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.8499999999999996,2.5075000000000003,三共鋼業（株）,12
145,35195TFG010    ,2023,37,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,2.74,2.435,三共鋼業（株）,13
146,35195TFG010    ,2023,38,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,2.9899999999999998,2.495,三共鋼業（株）,13
147,35195TFG010    ,2023,39,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,0.9499999999999997,2.465,三共鋼業（株）,7
148,35198ECE010    ,2023,35,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.86,2.645,サトープレス工業（株）,13
149,35198ECE010    ,2023,36,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.05,2.6574999999999998,サトープレス工業（株）,12
150,35198ECE010    ,2023,37,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.5500000000000003,2.5,サトープレス工業（株）,13
151,35198ECE010    ,2023,38,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.9800000000000004,2.495,サトープレス工業（株）,13
152,35198ECE010    ,2023,39,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,1.705,2.3975,サトープレス工業（株）,6
153,35300ECB010    ,2023,35,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,3.0,2.64,78.75,アイシン精機（株）,378
154,35300ECB010    ,2023,36,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,3.0,2.36,78.75,アイシン精機（株）,376
155,35300ECB010    ,2023,37,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,3.0,2.41,73.08333333333333,アイシン精機（株）,389
156,35300ECB010    ,2023,38,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,3.0,2.6100000000000003,73.08333333333333,アイシン精機（株）,349
157,35300ECB010    ,2023,39,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,2.0,2.34,73.16666666666667,アイシン精機（株）,211
158,35312ECB010    ,2023,35,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,2.6500000000000004,6.523809523809524,（株）旭工業所,28
159,35312ECB010    ,2023,36,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,1.6300000000000001,6.523809523809524,（株）旭工業所,30
160,35312ECB010    ,2023,37,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,1.3550000000000004,6.0,（株）旭工業所,30
161,35312ECB010    ,2023,38,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,1.33,6.0,（株）旭工業所,31
162,35312ECB010    ,2023,39,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,1.4350000000000003,6.142857142857143,（株）旭工業所,24
163,35352ECB010    ,2023,35,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,7.200000000000001,0.8273809523809523,五興商事（株）,3
164,35352ECB010    ,2023,36,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,5.86,0.7361111111111112,五興商事（株）,3
165,35352ECB010    ,2023,37,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,4.775,0.7440476190476191,五興商事（株）,4
166,35352ECB010    ,2023,38,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,5.050000000000001,0.7678571428571429,五興商事（株）,3
167,35352ECB010    ,2023,39,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,2.4650000000000003,0.4176587301587302,五興商事（株）,2
168,3539450A010    ,2023,35,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000,1.0,3.4699999999999998,,ミズショー（株）,4
169,3539450A010    ,2023,36,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000,1.0,6.005,0.8959999999999999,ミズショー（株）,4
170,3539450A010    ,2023,37,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000,1.0,7.17,0.877,ミズショー（株）,3
