,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数
376,35141ECE010    ,2023,51,23.0,92.0,91.0,（株）アイシン福井,20.1,0.27,1.06,1.06,3.935,4.09,0.63,0.7778014533809583,3.0,（株）アイシン福井,1.0,24.0,19.68,20,98,101.45,0.79,0.0,2.875,0.1549999999999998,3.03,,4.809523809523808,3.8955957035425337,1.7319500000000003,13.279829094373394,6.434556365314943,100.0,371.5
377,35145ECB010    ,2023,51,8.0,18.0,15.0,三共鋼業（株）,3.44,0.1,1.87,1.99,5.28,5.64,0.62,1.49070091423596,3.0,三共鋼業（株）,1.0,1.0,1.74,100,15,17.130000000000006,1.77,0.11999999999999987,3.29,0.35999999999999943,3.77,0.0,6.080645161290323,2.5290116642427005,0.9425600000000002,8.487523340689185,1.7564814164266145,100.0,371.5
378,35145ECE010    ,2023,51,9.0,21.0,18.0,三共鋼業（株）,4.02,0.1,1.87,2.0,4.94,5.16,0.65,0.8963357556349304,1.0,三共鋼業（株）,1.0,1.0,1.74,100,19,20.290000000000006,1.77,0.1299999999999999,2.9400000000000004,0.21999999999999972,3.29,0.0,5.06153846153846,3.6704995637148143,1.10148,8.17082470857392,1.6909410650674124,100.0,371.5
379,35145ECE020    ,2023,51,5.0,19.0,19.0,（株）浅賀井製作所,4.02,0.62,1.92,2.23,4.8,5.71,0.65,0.8963357556349304,1.0,（株）浅賀井製作所,1.0,4.0,6.88,100,19,20.290000000000006,1.2999999999999998,0.31000000000000005,2.57,0.91,3.79,0.13,5.830769230769231,4.228326245130439,0.7919399999999999,6.31360961689017,2.5025776549846346,100.0,371.5
380,35165ECE010    ,2023,51,4.0,10.0,9.0,（株）松尾製作所,2.0475,0.07,1.315,1.665,4.445,6.02,0.63,1.1226715112698609,1.0,（株）松尾製作所,1.0,1.0,1.21,200,8,10.145,1.245,0.3500000000000001,2.78,1.5749999999999993,4.705,0.0,7.4682539682539675,4.190896404486246,0.45249750000000005,8.839827844352731,1.5370589721494519,100.0,371.5
381,35174ECB010    ,2023,51,12.0,91.0,76.0,（株）浅賀井製作所,17.2,0.61,1.83,2.08,4.42,4.61,0.91,0.9680467276157309,1.0,（株）浅賀井製作所,1.0,4.0,6.88,20,91,85.65,1.2200000000000002,0.25,2.34,0.1900000000000004,2.78,0.13,3.054945054945055,2.8717621997928284,3.3884000000000003,3.5414945106835085,1.4037714660053344,100.0,371.5
382,35174ECE010    ,2023,51,15.0,53.0,45.0,（株）浅賀井製作所,10.05,0.62,1.92,2.24,5.195,5.805,0.87,0.9685343022539722,1.0,（株）浅賀井製作所,1.0,4.0,6.88,40,48,50.725,1.2999999999999998,0.3200000000000003,2.955,0.6099999999999994,3.885,0.13,4.465517241379311,4.011215700836647,1.97985,7.5763315402682005,3.0030931859815606,100.0,371.5
383,35174ECE020    ,2023,51,9.0,27.0,20.0,（株）浅賀井製作所,4.466666666666667,0.62,1.92,2.25,5.06,5.45,0.63,1.295106540214312,3.0,（株）浅賀井製作所,1.0,4.0,6.88,90,21,22.544444444444448,1.2999999999999998,0.3300000000000001,2.81,0.39000000000000057,3.53,0.13,5.603174603174603,2.7256444859091373,0.8799333333333333,10.228047579362071,4.0541758010751066,100.0,371.5
384,35195ECE010    ,2023,51,8.0,10.0,9.0,三共鋼業（株）,2.01,0.1,1.87,1.99,6.92,8.18,0.66,2.1380145338095824,3.0,三共鋼業（株）,1.0,1.0,1.74,400,9,10.145,1.77,0.11999999999999987,4.93,1.2599999999999998,6.31,0.0,9.56060606060606,2.9513363451073653,0.55074,14.525910593020301,3.006117449008733,100.0,371.5
385,35195TFG010    ,2023,51,5.0,11.0,10.0,三共鋼業（株）,2.01,0.1,3.85,3.97,5.51,7.07,0.62,1.1126715112698609,1.0,三共鋼業（株）,1.0,1.0,1.74,400,7,8.3,3.75,0.1200000000000001,1.5399999999999996,1.5600000000000005,3.22,0.0,5.193548387096775,2.893935871805601,0.55074,9.078694120637687,1.878823405630458,100.0,371.5
