,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
24,2030052002N    ,2023,49,3.0,12.0,12.0,（株）杉浦製作所,2.486666666666667,0.13,0.68,0.92,2.705,4.02,0.54,1.7392005329780147,3.0,（株）杉浦製作所,1.0,2.0,1.06,300,10,12.44,0.55,0.24,1.7850000000000001,1.3149999999999995,3.3399999999999994,0.12,6.185185185185183,1.9204225945589797,0.2561266666666667,11.712954527707643,1.8475257524561828
25,2030052002N    ,2023,50,3.0,12.0,12.0,（株）杉浦製作所,2.49,0.14,0.8,1.01,3.035,3.9450000000000003,0.54,1.7392005329780147,3.0,（株）杉浦製作所,1.0,2.0,1.06,300,14,12.46,0.66,0.20999999999999996,2.0250000000000004,0.9100000000000001,3.1450000000000005,0.12,5.824074074074074,1.8083021137389201,0.25647000000000003,11.697274535033335,1.84505249174339
26,2030052002N    ,2023,51,4.0,12.0,11.0,（株）杉浦製作所,2.49,0.4,0.91,1.11,3.33,4.07,0.54,1.7392005329780147,3.0,（株）杉浦製作所,1.0,2.0,1.06,300,11,12.473333333333334,0.51,0.20000000000000007,2.2199999999999998,0.7400000000000002,3.16,0.12,5.851851851851852,1.8169267661096937,0.25647000000000003,15.596366046711115,2.4600699889911866
27,3040052001B    ,2023,48,4.0,11.0,10.0,（株）青山製作所,6.806,0.31,1.21,1.49,1.97,4.44,1.02,1.4601473026306138,3.0,（株）青山製作所,1.0,6.0,5.76,500,7,6.806,0.8999999999999999,0.28,0.48,2.4700000000000006,3.2300000000000004,0.08,3.166666666666667,2.2121055828961946,0.7668093333333332,5.216420596515084,1.7845649409130546
28,3040052001B    ,2023,49,3.0,32.0,33.0,（株）青山製作所,6.81,0.32,1.25,1.5350000000000001,1.935,4.0600000000000005,1.02,1.4601473026306138,3.0,（株）青山製作所,1.0,6.0,5.76,500,30,34.048,0.9299999999999999,0.28500000000000014,0.3999999999999999,2.1250000000000004,2.8100000000000005,0.08,2.754901960784314,1.924463370878733,0.7672599999999999,3.9100174647446764,1.3376375537284417
29,3040052001B    ,2023,50,2.0,27.0,23.0,（株）青山製作所,6.757999999999999,0.31,1.24,1.56,1.795,3.7800000000000002,1.02,1.4601473026306138,3.0,（株）青山製作所,1.0,6.0,5.76,500,30,33.826,0.9299999999999999,0.32000000000000006,0.23499999999999988,1.9850000000000003,2.54,0.08,2.4901960784313726,1.7395505202960786,0.7614013333333333,2.62673561555798,0.8986200790066775
30,3040052001B    ,2023,51,4.0,31.0,31.0,（株）青山製作所,6.772,0.31,1.22,1.59,2.64,3.99,1.02,1.4601473026306138,3.0,（株）青山製作所,1.0,6.0,5.76,500,31,33.994,0.9099999999999999,0.3700000000000001,1.05,1.35,2.7700000000000005,0.08,2.7156862745098045,1.8970688744961175,0.7629786666666667,5.242610540443245,1.7935246585726892
31,33490ECB010    ,2023,48,7.0,84.0,120.0,マレリ（株）,84.25,0.32,2.32,2.38,2.69,3.04,0.82,0.8548280365694384,3.0,マレリ（株）,1.0,2.0,3.92,4,85,84.25,1.9999999999999998,0.06000000000000005,0.31000000000000005,0.3500000000000001,0.7200000000000002,0.23,0.8780487804878052,0.8422746671827416,20.7255,0.33774818460350775,0.10437946408600868
32,33490ECB010    ,2023,49,33.0,430.0,407.0,マレリ（株）,81.5,0.31,4.11,4.37,4.51,4.78,0.82,0.8548280365694384,3.0,マレリ（株）,1.0,2.0,3.92,4,431,409.0,3.8000000000000003,0.2599999999999998,0.13999999999999968,0.27000000000000046,0.6699999999999999,0.23,0.8170731707317073,0.7837833708506065,20.049000000000003,1.6459673799191976,0.5086783611308073
33,33490ECB010    ,2023,50,33.0,398.0,411.0,マレリ（株）,89.0,0.32,2.32,2.57,4.49,4.93,0.82,0.8548280365694384,3.0,マレリ（株）,1.0,2.0,3.92,4,438,444.25,1.9999999999999998,0.25,1.9200000000000004,0.4399999999999995,2.61,0.23,3.182926829268293,3.0532456685374374,21.894000000000002,1.5072622636338722,0.4658122071029303
34,33490ECB010    ,2023,51,48.0,453.0,384.0,マレリ（株）,86.0,0.32,4.09,4.39,4.81,5.06,0.82,0.8548280365694384,3.0,マレリ（株）,1.0,2.0,3.92,4,451,428.25,3.77,0.2999999999999998,0.41999999999999993,0.25,0.9699999999999998,0.23,1.1829268292682924,1.134731148843415,21.156000000000002,2.2688598979013044,0.7011803202056796
35,33490ECE010    ,2023,48,54.0,106.0,151.0,マレリ（株）,102.75,0.13,2.1,1.98,4.92,5.24,0.81,0.8395602906761918,3.0,マレリ（株）,1.0,2.0,3.92,4,105,102.75,1.9700000000000002,-0.1200000000000001,2.94,0.3200000000000003,3.14,0.23,3.876543209876543,3.7400530192667962,25.2765,2.1363717286807904,0.6602354839892896
36,33490ECE010    ,2023,49,65.0,548.0,535.0,マレリ（株）,105.0,0.31,4.11,4.39,4.98,5.17,0.81,0.8395602906761918,3.0,マレリ（株）,1.0,2.0,3.92,4,547,524.0,3.8000000000000003,0.27999999999999936,0.5900000000000007,0.1899999999999995,1.0599999999999996,0.23,1.3086419753086413,1.2625656689244593,25.830000000000002,2.5164537359659307,0.7776980138789185
