,品番,仕入先名,年,月,週番号,日,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,実績納入回数,時間稼働率,加工数,不等ピッチ係数【日】,使用工程,曜日_番号,曜日_名前,在庫数（箱）_1日の中央値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,週最大日量数（箱数）,週最大日量数（箱数）_繰り上げ,実績最小納入回数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,社内LT-設計値LT,社内LT-設計値LT（基準在庫枚数込み）,便Ave,便Ave_実績便数使用,便Ave_繰り上げ,便Ave_実績便数使用_繰り上げ,設計納入回数-実績納入回数,不等ピッチ在庫,不等ピッチ在庫_繰り上げ,設計値MIN,設計値MIN_実績便数使用,設計値MIN_繰り上げ,設計値MIN_実績便数使用_繰り上げ,設計値MAX,設計値MAX_実績便数使用,設計値MAX_繰り上げ,設計値MAX_実績便数使用_繰り上げ,順立装置在庫量/設計値MIN_繰り上げ,順立装置在庫量/設計値MIN_実績便数使用_繰り上げ,順立装置在庫量-設計値MIN_繰り上げ,順立装置在庫量-設計値MIN_実績便数使用_繰り上げ,順立装置在庫量/設計値MAX_繰り上げ,順立装置在庫量/設計値MAX_実績便数使用_繰り上げ,順立装置在庫量-設計値MAX_繰り上げ,順立装置在庫量-設計値MAX_実績便数使用_繰り上げ
22,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,7.0,1.84,0.3000000000000003,0.7800000000000002,0.54,3.78,9.0,5.0,2.0,43.725,130.0,0.29,8.ファイナル後半,3.0,木曜日,8.0,9.0,5.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1594.0,5.3133333333333335,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.3133333333333335,6.0,2.0,4.447058823529412,3.56273438082586,2.9299999999999997,2.719017171657973,2.6566666666666667,2.6566666666666667,3.0,3.0,0.0,1.5408666666666666,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,4.0,4.0,6.0,6.0,1.1428571428571428,1.1428571428571428,1.0,1.0
23,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,8.0,1.545,0.2849999999999999,3.265000000000001,0.4049999999999998,4.039999999999999,6.0,5.0,2.0,99.77,390.0,0.29,8.ファイナル後半,4.0,金曜日,7.0,6.0,8.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1492.0,4.973333333333334,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.3133333333333335,6.0,2.0,4.752941176470587,3.8077901847980082,3.189999999999999,2.9790171716579725,2.6566666666666667,2.6566666666666667,3.0,3.0,0.0,1.5408666666666666,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,3.5,3.5,5.0,5.0,1.0,1.0,0.0,0.0
24,01912ECB010    ,,2023.0,12.0,49.0,9.0,,,,,,,,,,,,,5.0,土曜日,7.0,0.0,0.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,752.0,2.506666666666667,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.3133333333333335,6.0,2.0,,,,,2.6566666666666667,2.6566666666666667,3.0,3.0,,,,1.3920000000000003,1.3920000000000003,2.0,2.0,,,,,3.5,3.5,5.0,5.0,,,,
25,01912ECB010    ,,2023.0,12.0,49.0,10.0,,,,,,,,,,,,,6.0,日曜日,7.0,0.0,0.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,0.0,0.0,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.3133333333333335,6.0,2.0,,,,,2.6566666666666667,2.6566666666666667,3.0,3.0,,,,1.3920000000000003,1.3920000000000003,2.0,2.0,,,,,3.5,3.5,5.0,5.0,,,,
26,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,11.0,3.84,0.28000000000000025,1.3099999999999996,0.5300000000000002,1.92,5.0,8.0,2.0,99.22,388.0,0.29,8.ファイナル後半,0.0,月曜日,7.0,5.0,5.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1594.0,5.3133333333333335,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.32,6.0,2.0,2.2588235294117647,1.809642860102024,1.0699999999999998,0.8590171716579733,2.66,2.66,3.0,3.0,0.0,1.5428,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,3.5,3.5,5.0,5.0,1.0,1.0,0.0,0.0
27,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,12.0,1.27,0.3900000000000001,1.0199999999999996,0.3799999999999999,1.67,5.0,6.0,2.0,99.85,390.0,0.29,8.ファイナル後半,1.0,火曜日,5.0,5.0,7.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1494.0,4.98,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.32,6.0,2.0,1.964705882352941,1.574012279359573,0.82,0.6090171716579733,2.66,2.66,3.0,3.0,0.0,1.5428,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,2.5,2.5,3.0,3.0,0.7142857142857143,0.7142857142857143,-2.0,-2.0
28,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,13.0,1.27,0.3899999999999999,0.6600000000000001,0.8199999999999998,1.87,5.0,5.0,2.0,99.92,361.5,0.29,8.ファイナル後半,2.0,水曜日,4.5,5.0,4.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1594.0,5.3133333333333335,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.32,6.0,2.0,2.2,1.762516743953534,1.02,0.8090171716579735,2.66,2.66,3.0,3.0,0.0,1.5428,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,2.25,2.25,2.5,2.5,0.6428571428571429,0.6428571428571429,-2.5,-2.5
29,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,14.0,1.84,0.30000000000000004,0.79,1.7299999999999995,4.0,9.0,5.0,2.0,99.605,389.0,0.29,8.ファイナル後半,3.0,木曜日,8.5,9.0,6.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1596.0,5.32,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.32,6.0,2.0,4.705882352941177,3.770089291879217,3.15,2.9390171716579734,2.66,2.66,3.0,3.0,0.0,1.5428,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,4.25,4.25,6.5,6.5,1.2142857142857142,1.2142857142857142,1.5,1.5
30,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,15.0,1.27,0.32999999999999985,3.05,0.34999999999999964,4.1,5.0,3.0,2.0,99.85,390.0,0.29,8.ファイナル後半,4.0,金曜日,9.0,2.0,5.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1496.0,4.986666666666666,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.32,6.0,2.0,4.823529411764706,3.864341524176197,3.2499999999999996,3.039017171657973,2.66,2.66,3.0,3.0,0.0,1.5428,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,4.5,4.5,7.0,7.0,1.2857142857142858,1.2857142857142858,2.0,2.0
31,01912ECB010    ,石黒ゴム工業（株）,2023.0,11.0,48.0,30.0,,,,,,,2.0,,,,0.29,8.ファイナル後半,3.0,木曜日,11.0,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
