,仕入先名,品番,検収日,納入便,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,かんばん数,最大日量数（箱数）,日量数（箱数）2,ユニークな納入便の数,不等ピッチ係数,日在庫数（箱）,合計入庫数（箱）,合計出庫数（箱）,不等ピッチ在庫,最大便Ave,便Ave+不等ピッチ在庫,差分,設計値MIN,設計値MAX,在庫数/設計値MAX
36,アイシン機工（株）,35771ECB010    ,1,1.0,1.0,6.0,4.92,18.0,94.25,84.25,6.0,0.07,13.083333333333334,63.0,79.0,6.597500000000001,15.708333333333334,22.305833333333336,-4.305833333333336,10.0,33.0,0.39646464646464646
37,アイシン機工（株）,35771ECB010    ,1,2.0,1.0,6.0,4.92,13.0,94.25,84.25,6.0,0.07,13.083333333333334,63.0,79.0,6.597500000000001,15.708333333333334,22.305833333333336,-9.305833333333336,10.0,33.0,0.39646464646464646
38,アイシン機工（株）,35771ECB010    ,1,3.0,1.0,6.0,4.92,16.0,94.25,84.25,6.0,0.07,13.083333333333334,63.0,79.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.39646464646464646
39,アイシン機工（株）,35771ECB010    ,1,4.0,1.0,6.0,4.92,10.0,94.25,84.25,6.0,0.07,13.083333333333334,63.0,79.0,6.597500000000001,15.708333333333334,22.305833333333336,-12.305833333333336,10.0,33.0,0.39646464646464646
40,アイシン機工（株）,35771ECB010    ,1,5.0,1.0,6.0,4.92,13.0,94.25,84.25,6.0,0.07,13.083333333333334,63.0,79.0,6.597500000000001,15.708333333333334,22.305833333333336,-9.305833333333336,10.0,33.0,0.39646464646464646
41,アイシン機工（株）,35771ECB010    ,1,6.0,1.0,6.0,4.92,17.0,94.25,84.25,6.0,0.07,13.083333333333334,63.0,79.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.39646464646464646
42,アイシン機工（株）,35771ECB010    ,2,5.0,1.0,6.0,4.92,17.0,94.25,0.0,2.0,0.07,22.125,55.0,41.0,6.597500000000001,15.708333333333334,22.305833333333336,-5.305833333333336,10.0,33.0,0.6704545454545454
43,アイシン機工（株）,35771ECB010    ,2,6.0,1.0,6.0,4.92,15.0,94.25,0.0,2.0,0.07,22.125,55.0,41.0,6.597500000000001,15.708333333333334,22.305833333333336,-7.305833333333336,10.0,33.0,0.6704545454545454
44,アイシン機工（株）,35771ECB010    ,4,1.0,1.0,6.0,4.92,15.0,94.25,82.5,2.0,0.07,17.083333333333332,30.0,47.0,6.597500000000001,15.708333333333334,22.305833333333336,-7.305833333333336,10.0,33.0,0.5176767676767676
45,アイシン機工（株）,35771ECB010    ,4,4.0,1.0,6.0,4.92,16.0,94.25,82.5,2.0,0.07,17.083333333333332,30.0,47.0,6.597500000000001,15.708333333333334,22.305833333333336,-6.305833333333336,10.0,33.0,0.5176767676767676
