,品番,年月日,年,月,週番号,日,曜日_番号,曜日_名前,手配）品名,手配）仕入先名,手配）手配区分,手配）仕入先発送場所名,手配）受入場所,手配）受入場所名,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量計算数,日量数（箱数）,日量計算数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,仕入先名,実績納入回数,在庫数（箱）_1日の平均値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,時間稼働率,加工数,発送場所名,不等ピッチ係数【日】,使用工程,週最大日量数（箱数）,実績最小納入回数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,社内LT-設計値LT,社内LT-設計値LT（基準在庫枚数込み）,便Ave,便Ave_実績便数使用,不等ピッチ在庫,日量数（箱数）_繰り上げ,週最大日量数（箱数）_繰り上げ,便Ave_繰り上げ,便Ave_実績便数使用_繰り上げ,不等ピッチ在庫_繰り上げ,設計納入回数-実績納入回数,納入数-日量数（箱数）,納入数-週最大日量数（箱数）,入庫数-日量数（箱数）,入庫数-週最大日量数（箱数）,納入数/日量数（箱数）,回収数/日量数（箱数）,設計値MIN,設計値MIN_実績便数使用,設計値MIN_繰り上げ,設計値MIN_実績便数使用_繰り上げ,設計値MAX,設計値MAX_実績便数使用,設計値MAX_繰り上げ,設計値MAX_実績便数使用_繰り上げ,順立装置在庫量/設計値MIN_繰り上げ,順立装置在庫量/設計値MIN_実績便数使用_繰り上げ,順立装置在庫量-設計値MIN_繰り上げ,順立装置在庫量-設計値MIN_実績便数使用_繰り上げ,順立装置在庫量/設計値MAX_繰り上げ,順立装置在庫量/設計値MAX_実績便数使用_繰り上げ,順立装置在庫量-設計値MAX_繰り上げ,順立装置在庫量-設計値MAX_実績便数使用_繰り上げ,便数ズレ
919,35174ECE020,2023-12-20,2023,12,51,20,2,水曜日,"PLATE, OIL RESERVOIR LOCK",（株）浅賀井製作所,手配,安城工場,1Y,安城第１工場,1.0,4.0,6.88,1.795,TP-331 ﾊﾝﾖｳ,0.63,3.0,90.0,417.0,417.0,4.633333333333334,4.633333333333334,405.95,4.5105555555555545,0.6651065402143121,1.295106540214312,1.3199999999999998,0.29000000000000004,1.185,0.2350000000000002,2.935,4.0,4.0,（株）浅賀井製作所,4.0,9.25,4.0,5.0,100.0,362.5,安城工場,0.13,2.MGケース,4.9222222222222225,2.0,4.658730158730159,2.266222823270062,2.305,1.639893459785688,1.2305555555555556,2.4611111111111112,0.639888888888889,5.0,5.0,2.0,3.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.8,0.8,0.985,1.97,1.0,2.0,4.0,6.0,4.0,6.0,9.25,4.625,8.25,7.25,2.3125,1.5416666666666667,5.25,3.25,2
920,35174ECE020,2023-12-21,2023,12,51,21,3,木曜日,"PLATE, OIL RESERVOIR LOCK",（株）浅賀井製作所,手配,安城工場,1Y,安城第１工場,1.0,4.0,6.88,1.795,TP-331 ﾊﾝﾖｳ,0.63,3.0,90.0,443.0,443.0,4.9222222222222225,4.9222222222222225,405.95,4.5105555555555545,0.6651065402143121,1.295106540214312,1.31,0.27,4.77,0.1900000000000004,5.51,5.0,5.0,（株）浅賀井製作所,4.0,9.5,5.0,4.0,100.0,327.5,安城工場,0.13,2.MGケース,4.9222222222222225,2.0,8.746031746031745,4.2544762372122795,4.88,4.214893459785688,1.2305555555555556,2.4611111111111112,0.639888888888889,5.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.985,1.97,1.0,2.0,4.0,6.0,4.0,6.0,9.5,4.75,8.5,7.5,2.375,1.5833333333333333,5.5,3.5,2
921,35174ECE020,2023-12-22,2023,12,51,22,4,金曜日,"PLATE, OIL RESERVOIR LOCK",（株）浅賀井製作所,手配,安城工場,1Y,安城第１工場,1.0,4.0,6.88,1.795,TP-331 ﾊﾝﾖｳ,0.63,3.0,90.0,369.0,369.0,4.1,4.1,405.95,4.5105555555555545,0.6651065402143121,1.295106540214312,1.375,0.31999999999999984,4.915,0.1800000000000006,3.53,4.0,2.0,（株）浅賀井製作所,3.0,10.291666666666666,6.0,2.0,100.0,230.5,安城工場,0.13,2.MGケース,4.9222222222222225,2.0,5.603174603174603,2.7256444859091373,2.9,2.2348934597856878,1.2305555555555556,2.4611111111111112,0.639888888888889,5.0,5.0,2.0,3.0,1.0,1.0,-1.0,-1.0,-2.0,-1.0,0.8,0.4,0.985,1.97,1.0,2.0,4.0,6.0,4.0,6.0,10.291666666666666,5.145833333333333,9.291666666666666,8.291666666666666,2.5729166666666665,1.7152777777777777,6.291666666666666,4.291666666666666,2
924,35174ECE020,2023-12-25,2023,12,52,25,0,月曜日,"PLATE, OIL RESERVOIR LOCK",（株）浅賀井製作所,手配,安城工場,1Y,安城第１工場,1.0,4.0,6.88,1.795,TP-331 ﾊﾝﾖｳ,0.63,3.0,90.0,402.0,402.0,4.466666666666667,4.466666666666667,405.95,4.5105555555555545,0.6651065402143121,1.295106540214312,3.29,0.27,1.825,0.4300000000000006,7.47,5.0,5.0,（株）浅賀井製作所,4.0,12.541666666666664,5.0,5.0,100.0,421.0,安城工場,0.13,2.MGケース,4.8,2.0,11.857142857142856,5.767865243552763,6.84,6.174893459785688,1.2,2.4,0.624,5.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.985,1.97,1.0,2.0,4.0,6.0,4.0,6.0,12.541666666666664,6.270833333333332,11.541666666666664,10.541666666666664,3.135416666666666,2.0902777777777772,8.541666666666664,6.541666666666664,2
925,35174ECE020,2023-12-26,2023,12,52,26,1,火曜日,"PLATE, OIL RESERVOIR LOCK",（株）浅賀井製作所,手配,安城工場,1Y,安城第１工場,1.0,4.0,6.88,1.795,TP-331 ﾊﾝﾖｳ,0.63,3.0,90.0,432.0,432.0,4.8,4.8,405.95,4.5105555555555545,0.6651065402143121,1.295106540214312,1.37,0.2749999999999999,0.5399999999999998,,,2.0,5.0,（株）浅賀井製作所,2.0,10.791666666666664,2.0,5.0,100.0,423.0,安城工場,0.13,2.MGケース,4.8,2.0,,,,,1.2,2.4,0.624,5.0,5.0,2.0,3.0,1.0,2.0,-3.0,-3.0,0.0,-3.0,0.4,1.0,0.985,1.97,1.0,2.0,4.0,6.0,4.0,6.0,10.791666666666664,5.395833333333332,9.791666666666664,8.791666666666664,2.697916666666666,1.7986111111111107,6.791666666666664,4.791666666666664,2
926,35174ECE020,2023-12-27,2023,12,52,27,2,水曜日,"PLATE, OIL RESERVOIR LOCK",（株）浅賀井製作所,手配,安城工場,1Y,安城第１工場,1.0,4.0,6.88,1.795,TP-331 ﾊﾝﾖｳ,0.63,3.0,90.0,391.0,391.0,4.344444444444443,4.344444444444443,405.95,4.5105555555555545,0.6651065402143121,1.295106540214312,1.2999999999999998,0.18999999999999995,0.2899999999999998,,12.81,5.0,1.0,（株）浅賀井製作所,4.0,7.708333333333332,5.0,5.0,100.0,415.0,安城工場,0.13,2.MGケース,4.8,2.0,20.333333333333336,9.89107814858245,12.18,11.51489345978569,1.2,2.4,0.624,5.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.985,1.97,1.0,2.0,4.0,6.0,4.0,6.0,7.708333333333332,3.854166666666666,6.708333333333332,5.708333333333332,1.927083333333333,1.284722222222222,3.708333333333332,1.7083333333333321,2
927,35174ECE020,2023-12-28,2023,12,52,28,3,木曜日,"PLATE, OIL RESERVOIR LOCK",（株）浅賀井製作所,手配,安城工場,1Y,安城第１工場,1.0,4.0,6.88,1.795,TP-331 ﾊﾝﾖｳ,0.63,3.0,90.0,397.0,397.0,4.411111111111111,4.411111111111111,405.95,4.5105555555555545,0.6651065402143121,1.295106540214312,1.34,0.22999999999999976,,,12.66,5.0,0.0,（株）浅賀井製作所,3.0,7.208333333333332,5.0,5.0,100.0,384.5,安城工場,0.13,2.MGケース,4.8,2.0,20.095238095238095,9.775257561362515,12.03,11.364893459785687,1.2,2.4,0.624,5.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.985,1.97,1.0,2.0,4.0,6.0,4.0,6.0,7.208333333333332,3.604166666666666,6.208333333333332,5.208333333333332,1.802083333333333,1.2013888888888886,3.208333333333332,1.2083333333333321,2
930,35312ECB010,2023-12-01,2023,12,48,1,4,金曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,337.0,337.0,5.349206349206349,5.349206349206349,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.3499999999999996,0.2400000000000002,2.9650000000000003,0.09499999999999996,3.28,4.0,6.0,（株）旭工業所,1.0,7.083333333333332,4.0,5.0,94.615,369.5,本社工場,0.0,2.MGケース,5.349206349206349,1.0,5.559322033898305,4.244047250215465,2.69,2.5071528080104484,5.349206349206349,5.349206349206349,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,0.6666666666666666,1.0,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,3.541666666666666,3.541666666666666,5.083333333333332,5.083333333333332,0.8854166666666665,0.8854166666666665,-0.9166666666666679,-0.9166666666666679,0
933,35312ECB010,2023-12-04,2023,12,49,4,0,月曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,330.0,330.0,5.238095238095238,5.238095238095238,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,,,0.9399999999999996,0.1299999999999999,,5.0,5.0,（株）旭工業所,1.0,5.541666666666668,5.0,6.0,96.84,378.5,本社工場,0.0,2.MGケース,5.269841269841269,1.0,,,,,5.269841269841269,5.269841269841269,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.8333333333333334,0.8333333333333334,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.770833333333334,2.770833333333334,3.541666666666668,3.541666666666668,0.6927083333333335,0.6927083333333335,-2.458333333333332,-2.458333333333332,0
934,35312ECB010,2023-12-05,2023,12,49,5,1,火曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,326.0,326.0,5.174603174603175,5.174603174603175,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.33,0.2599999999999998,0.7800000000000002,0.08999999999999986,1.2599999999999998,5.0,5.0,（株）旭工業所,1.0,5.458333333333332,5.0,5.0,99.01,386.0,本社工場,0.0,2.MGケース,5.269841269841269,1.0,2.1355932203389827,1.6303352241681357,0.6699999999999998,0.48715280801044825,5.269841269841269,5.269841269841269,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.8333333333333334,0.8333333333333334,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.729166666666666,2.729166666666666,3.458333333333332,3.458333333333332,0.6822916666666665,0.6822916666666665,-2.541666666666668,-2.541666666666668,0
935,35312ECB010,2023-12-06,2023,12,49,6,2,水曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,324.0,324.0,5.142857142857143,5.142857142857143,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.3499999999999996,0.2200000000000002,1.325,0.22,1.765,6.0,6.0,（株）旭工業所,1.0,5.791666666666668,6.0,5.0,99.455,388.5,本社工場,0.0,2.MGケース,5.269841269841269,1.0,2.9915254237288136,2.2837632306799684,1.1749999999999998,0.9921528080104484,5.269841269841269,5.269841269841269,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.895833333333334,2.895833333333334,3.791666666666668,3.791666666666668,0.7239583333333335,0.7239583333333335,-2.208333333333332,-2.208333333333332,0
936,35312ECB010,2023-12-07,2023,12,49,7,3,木曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,324.0,324.0,5.142857142857143,5.142857142857143,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.35,0.23999999999999974,1.2400000000000002,0.3700000000000001,3.8,5.0,5.0,（株）旭工業所,1.0,6.625,5.0,6.0,43.725,130.0,本社工場,0.0,2.MGケース,5.269841269841269,1.0,6.440677966101695,4.916884009395965,3.21,3.0271528080104484,5.269841269841269,5.269841269841269,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.8333333333333334,0.8333333333333334,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,3.3125,3.3125,4.625,4.625,0.828125,0.828125,-1.375,-1.375,0
937,35312ECB010,2023-12-08,2023,12,49,8,4,金曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,332.0,332.0,5.269841269841269,5.269841269841269,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.3699999999999997,0.2100000000000004,3.08,0.23000000000000045,3.5200000000000005,6.0,5.0,（株）旭工業所,1.0,5.708333333333332,6.0,5.0,99.77,390.0,本社工場,0.0,2.MGケース,5.269841269841269,1.0,5.966101694915255,4.554587292914158,2.9300000000000006,2.747152808010449,5.269841269841269,5.269841269841269,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.854166666666666,2.854166666666666,3.708333333333332,3.708333333333332,0.7135416666666665,0.7135416666666665,-2.291666666666668,-2.291666666666668,0
940,35312ECB010,2023-12-11,2023,12,50,11,0,月曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,356.0,356.0,5.650793650793651,5.650793650793651,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,3.37,0.21999999999999972,1.0300000000000002,0.23000000000000045,1.4699999999999998,5.0,6.0,（株）旭工業所,1.0,5.666666666666668,5.0,6.0,99.22,388.0,本社工場,0.0,2.MGケース,5.730158730158732,1.0,2.491525423728813,1.9020577615294918,0.8799999999999998,0.6971528080104482,5.730158730158732,5.730158730158732,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.8333333333333334,1.0,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.833333333333334,2.833333333333334,3.666666666666668,3.666666666666668,0.7083333333333335,0.7083333333333335,-2.333333333333332,-2.333333333333332,0
941,35312ECB010,2023-12-12,2023,12,50,12,1,火曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,357.0,357.0,5.666666666666668,5.666666666666668,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.3599999999999994,0.23000000000000045,0.6549999999999998,0.3850000000000002,1.3050000000000006,6.0,6.0,（株）旭工業所,1.0,5.166666666666667,6.0,6.0,99.85,390.0,本社工場,0.0,2.MGケース,5.730158730158732,1.0,2.2118644067796622,1.6885614821741417,0.7150000000000006,0.5321528080104491,5.730158730158732,5.730158730158732,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.5833333333333335,2.5833333333333335,3.166666666666667,3.166666666666667,0.6458333333333334,0.6458333333333334,-2.833333333333333,-2.833333333333333,0
942,35312ECB010,2023-12-13,2023,12,50,13,2,水曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,355.0,355.0,5.634920634920635,5.634920634920635,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.36,0.3300000000000001,0.4000000000000004,0.25,0.9800000000000004,5.0,5.0,（株）旭工業所,1.0,4.375,5.0,6.0,99.92,361.5,本社工場,0.0,2.MGケース,5.730158730158732,1.0,1.6610169491525433,1.2680385076863285,0.39000000000000046,0.20715280801044889,5.730158730158732,5.730158730158732,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.8333333333333334,0.8333333333333334,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.1875,2.1875,2.375,2.375,0.546875,0.546875,-3.625,-3.625,0
943,35312ECB010,2023-12-14,2023,12,50,14,3,木曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,348.0,348.0,5.523809523809524,5.523809523809524,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.3499999999999996,0.28000000000000025,0.78,0.2950000000000001,1.3850000000000002,6.0,6.0,（株）旭工業所,1.0,4.375,6.0,6.0,99.605,389.0,本社工場,0.0,2.MGケース,5.730158730158732,1.0,2.3474576271186445,1.7920748297403721,0.7950000000000003,0.6121528080104487,5.730158730158732,5.730158730158732,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.1875,2.1875,2.375,2.375,0.546875,0.546875,-3.625,-3.625,0
944,35312ECB010,2023-12-15,2023,12,50,15,4,金曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,361.0,361.0,5.730158730158732,5.730158730158732,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.3699999999999997,0.2400000000000002,2.72,0.39000000000000057,3.3500000000000005,5.0,6.0,（株）旭工業所,1.0,3.9,0.0,2.0,99.85,390.0,本社工場,0.0,2.MGケース,5.730158730158732,1.0,5.677966101694916,4.334621429335918,2.7600000000000007,2.577152808010449,5.730158730158732,5.730158730158732,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,5.0,-1.0,0.8333333333333334,1.0,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,1.95,1.95,1.9,1.9,0.4875,0.4875,-4.1,-4.1,0
947,35312ECB010,2023-12-18,2023,12,51,18,0,月曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,349.0,349.0,5.5396825396825395,5.5396825396825395,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,3.33,0.21000000000000085,0.5099999999999998,0.3099999999999996,1.0,7.0,5.0,（株）旭工業所,1.0,4.869565217391305,7.0,6.0,100.0,364.5,本社工場,0.0,2.MGケース,5.809523809523809,1.0,1.6949152542372883,1.2939168445778857,0.41000000000000003,0.22715280801044846,5.809523809523809,5.809523809523809,0.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,1.1666666666666667,0.8333333333333334,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.4347826086956523,2.4347826086956523,2.8695652173913047,2.8695652173913047,0.6086956521739131,0.6086956521739131,-3.1304347826086953,-3.1304347826086953,0
948,35312ECB010,2023-12-19,2023,12,51,19,1,火曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,344.0,344.0,5.4603174603174605,5.4603174603174605,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.36,0.22000000000000064,1.09,0.3300000000000001,1.54,5.0,6.0,（株）旭工業所,1.0,5.333333333333333,5.0,5.0,100.0,390.0,本社工場,0.0,2.MGケース,5.809523809523809,1.0,2.610169491525424,1.9926319406499442,0.9500000000000001,0.7671528080104485,5.809523809523809,5.809523809523809,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.8333333333333334,1.0,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.6666666666666665,2.6666666666666665,3.333333333333333,3.333333333333333,0.6666666666666666,0.6666666666666666,-2.666666666666667,-2.666666666666667,0
949,35312ECB010,2023-12-20,2023,12,51,20,2,水曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,330.0,330.0,5.238095238095238,5.238095238095238,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.37,0.21,0.93,0.3049999999999997,1.4,6.0,5.0,（株）旭工業所,1.0,5.458333333333332,6.0,6.0,100.0,362.5,本社工場,0.0,2.MGケース,5.809523809523809,1.0,2.3728813559322033,1.81148358240904,0.8099999999999999,0.6271528080104484,5.809523809523809,5.809523809523809,0.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.729166666666666,2.729166666666666,3.458333333333332,3.458333333333332,0.6822916666666665,0.6822916666666665,-2.541666666666668,-2.541666666666668,0
950,35312ECB010,2023-12-21,2023,12,51,21,3,木曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,366.0,366.0,5.809523809523809,5.809523809523809,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.39,0.25,1.0099999999999998,0.4700000000000002,3.87,5.0,5.0,（株）旭工業所,1.0,5.708333333333332,5.0,4.0,100.0,327.5,本社工場,0.0,2.MGケース,5.809523809523809,1.0,6.559322033898305,5.007458188516418,3.2800000000000002,3.0971528080104487,5.809523809523809,5.809523809523809,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.8333333333333334,0.8333333333333334,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,2.854166666666666,2.854166666666666,3.708333333333332,3.708333333333332,0.7135416666666665,0.7135416666666665,-2.291666666666668,-2.291666666666668,0
951,35312ECB010,2023-12-22,2023,12,51,22,4,金曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,324.0,324.0,5.142857142857143,5.142857142857143,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.37,0.27,3.46,0.2449999999999997,3.755,7.0,3.0,（株）旭工業所,1.0,6.791666666666668,7.0,4.0,100.0,230.5,本社工場,0.0,2.MGケース,5.809523809523809,1.0,6.364406779661017,4.858657751389961,3.165,2.9821528080104485,5.809523809523809,5.809523809523809,0.0,6.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,1.1666666666666667,0.5,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,3.395833333333334,3.395833333333334,4.791666666666668,4.791666666666668,0.8489583333333335,0.8489583333333335,-1.2083333333333321,-1.2083333333333321,0
954,35312ECB010,2023-12-25,2023,12,52,25,0,月曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,345.0,345.0,5.476190476190476,5.476190476190476,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,3.34,0.23000000000000045,1.58,0.4199999999999999,1.3100000000000005,5.0,6.0,（株）旭工業所,1.0,9.541666666666666,5.0,6.0,100.0,421.0,本社工場,0.0,2.MGケース,5.984126984126984,1.0,2.220338983050848,1.695031066397031,0.7200000000000005,0.537152808010449,5.984126984126984,5.984126984126984,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.8333333333333334,1.0,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,4.770833333333333,4.770833333333333,7.541666666666666,7.541666666666666,1.1927083333333333,1.1927083333333333,1.541666666666666,1.541666666666666,0
955,35312ECB010,2023-12-26,2023,12,52,26,1,火曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,377.0,377.0,5.984126984126984,5.984126984126984,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.3800000000000003,0.22999999999999954,1.1900000000000004,0.2399999999999993,6.92,4.0,6.0,（株）旭工業所,1.0,7.791666666666668,4.0,6.0,100.0,423.0,本社工場,0.0,2.MGケース,5.984126984126984,1.0,11.728813559322035,8.95390456447897,6.33,6.147152808010448,5.984126984126984,5.984126984126984,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,0.6666666666666666,1.0,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,3.895833333333334,3.895833333333334,5.791666666666668,5.791666666666668,0.9739583333333335,0.9739583333333335,-0.20833333333333215,-0.20833333333333215,0
956,35312ECB010,2023-12-27,2023,12,52,27,2,水曜日,"COVER, TRANSMISSION, OIL PUMP",（株）旭工業所,手配,本社工場,1Y,安城第１工場,1.0,1.0,1.9,4.718,TP-331 ﾊﾝﾖｳ,0.59,1.0,63.0,356.0,356.0,5.650793650793651,5.650793650793651,344.55,5.469047619047619,0.1828471919895516,0.7728471919895515,1.35,0.2200000000000002,0.4699999999999998,10.45,12.27,5.0,1.0,（株）旭工業所,1.0,6.041666666666668,5.0,6.0,100.0,415.0,本社工場,0.0,2.MGケース,5.984126984126984,1.0,20.796610169491526,15.876359682970659,11.68,11.497152808010448,5.984126984126984,5.984126984126984,0.0,6.0,6.0,6.0,6.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.8333333333333334,0.16666666666666666,1.74,1.74,2.0,2.0,8.0,8.0,8.0,8.0,3.020833333333334,3.020833333333334,4.041666666666668,4.041666666666668,0.7552083333333335,0.7552083333333335,-1.9583333333333321,-1.9583333333333321,0
