,品番,年月日,年,月,週番号,日,曜日_番号,曜日_名前,手配）品名,手配）仕入先名,手配）手配区分,手配）仕入先発送場所名,手配）受入場所,手配）受入場所名,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量計算数,日量数（箱数）,日量計算数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,仕入先名,実績納入回数,在庫数（箱）_1日の平均値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,時間稼働率,加工数,発送場所名,不等ピッチ係数【日】,使用工程
20,35300ECB010,2023-12-21,2023,12,51,21,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,809.0,809.0,67.41666666666667,67.41666666666667,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,1.01,0.3699999999999999,3.61,0.1900000000000004,4.63,61.0,54.0,アイシン精機（株）,4.0,102.70833333333331,54.0,55.0,100.0,327.5,半田工場,0.14,3.ギヤサブ・共通部品
21,35300ECB010,2023-12-22,2023,12,51,22,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,693.0,693.0,57.75,57.75,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,1.02,3.3899999999999997,0.7400000000000002,0.20000000000000018,4.17,63.0,38.0,アイシン精機（株）,4.0,87.83333333333331,44.0,40.0,100.0,230.5,半田工場,0.14,3.ギヤサブ・共通部品
22,35300ECB010,2023-12-23,2023,12,51,23,5,土曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,90.0,0.0,0.0,0.0,0.0,,,3.ギヤサブ・共通部品
23,35300ECB010,2023-12-24,2023,12,51,24,6,日曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,90.0,0.0,0.0,0.0,0.0,,,3.ギヤサブ・共通部品
24,35300ECB010,2023-12-25,2023,12,52,25,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,2.96,0.52,1.6500000000000004,0.21499999999999986,1.8900000000000001,53.0,65.0,アイシン精機（株）,4.0,63.20833333333334,35.0,67.0,100.0,421.0,半田工場,0.14,3.ギヤサブ・共通部品
25,35300ECB010,2023-12-26,2023,12,52,26,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,809.0,809.0,67.41666666666667,67.41666666666667,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.96,0.43000000000000016,1.1399999999999997,11.425,13.024999999999999,40.0,73.0,アイシン精機（株）,3.0,72.41666666666667,118.0,69.0,100.0,423.0,半田工場,0.14,3.ギヤサブ・共通部品
26,35300ECB010,2023-12-27,2023,12,52,27,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.96,0.41000000000000014,1.14,10.299999999999999,12.05,71.0,16.0,アイシン精機（株）,4.0,89.58333333333331,73.0,72.0,100.0,415.0,半田工場,0.14,3.ギヤサブ・共通部品
27,35300ECB010,2023-12-28,2023,12,52,28,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,1.02,0.24,,,11.97,34.0,0.0,アイシン精機（株）,2.0,86.70833333333331,34.0,66.0,100.0,384.5,半田工場,0.14,3.ギヤサブ・共通部品
28,35300ECB010,2023-12-29,2023,12,52,29,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,75.0,0.0,0.0,0.0,0.0,,,3.ギヤサブ・共通部品
29,35300ECB010,2023-12-30,2023,12,52,30,5,土曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,75.0,0.0,0.0,0.0,0.0,,,3.ギヤサブ・共通部品
