="タイトル：かんばん手配品番一覧"

="ダウンロード日時：2023/07/12 13:19:02"

="手配担当工場：＜第１＞；手配担当整備室：＜第１工場＞；発注区分：＜かんばん＞；手配区分：＜仕入先手配：指定あり；仕入先直送：指定あり；仕入先支給：指定なし；他工場手配：指定なし；受給手配：指定なし；＞;品番上位桁：＜＞；仕入先ｺｰﾄﾞ：＜＞；"

="検索件数：＜  557＞；"
="IX000 処理が正常に完了しました；"

="品番",="加工図符号",="類別",="品名",="整備室",="整備室名",="手配区分",="工程内外製",="工程ｺｰﾄﾞ",="仕入先名/工場名",="発送場所",="発送場所名",="受給区分",="資材区分",="後工程内外製",="後工程ｺｰﾄﾞ",="後工程仕入先名/工場名",="受入場所",="受入場所名",="中継区分",="中継工場",="中継場所",="中継場所名","納入ｻｲｸﾙ.間隔","納入ｻｲｸﾙ.回数","納入ｻｲｸﾙ.情報","基準在庫.日数","基準在庫.枚数","MIN在庫日数","MAX在庫日数","便平均上限振れ率","便平均下限振れ率",="かんばん情報.仕入先",="かんばん情報.仕入先名",="かんばん情報.背番号",="かんばん情報.工場置場所",="かんばん情報.拠点置場所",="かんばん情報.品名略ｺｰﾄﾞ",="かんばん情報.品名略名",="かんばん情報.通箱ｺｰﾄﾞ",="かんばん情報.通箱名","かんばん情報.収容数",="かんばん情報.ｺﾝﾍﾞｱ区分",="かんばん情報.ﾌﾞﾛｯｸ区分",="かんばん情報.専用品区分",="かんばん情報.不良率","かんばん情報.保証率",="かんばん情報.設変符号",="かんばん情報.部品大別区分",="かんばん情報.部品大別名称",="かんばん情報.発注形態区分",="かんばん情報.発注形態名称",="かんばん情報.PLコード",="登録箱種",="縦(mm)",="横(mm)",="高(mm)",="容積(m3)",="総重量(Kg)",="パレタイズ発注",="箱数",="設定計画NO",="設定日",="設定担当部署コード",="担当部署名",="設定担当者コード",="担当者名"
="90564-51A080",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="125",="S-SM-3-42",="10170",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A081",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="126",="S-SM-3-43",="10171",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A082",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="127",="S-SM-3-44",="10172",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A083",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="128",="S-SM-3-45",="10173",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A084",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="129",="S-SM-3-46",="10174",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A085",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="130",="S-SM-1-20",="10175",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A086",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="131",="S-SM-1-21",="10176",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A087",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="132",="S-SM-1-22",="10177",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A088",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="133",="S-SM-1-23",="10178",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A089",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="134",="S-SM-1-24",="10179",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A090",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="135",="S-SM-1-25",="10180",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   4.680",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A091",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="136",="S-SM-1-26",="10181",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A092",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="137",="S-SM-1-27",="10182",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A093",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="138",="S-SM-1-28",="10183",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A094",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="139",="S-SM-3-47",="10184",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A095",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="140",="S-SM-3-48",="10185",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A096",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="141",="S-SM-3-49",="10186",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A097",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="142",="S-SM-3-50",="10187",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A098",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="143",="S-SM-4-1",="10188",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A099",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="144",="S-SM-4-2",="10189",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A100",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="145",="S-SM-4-3",="10190",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A101",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="146",="S-SM-4-4",="10191",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A102",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="147",="S-SM-4-5",="10192",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A103",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="148",="S-SM-4-6",="10193",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A104",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="149",="S-SM-4-7",="10194",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A105",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="150",="S-SM-4-8",="10195",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A106",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="151",="S-SM-4-9",="10196",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A107",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="152",="S-SM-4-10",="10197",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A108",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="153",="S-SM-4-11",="10198",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A109",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="154",="S-SM-4-12",="10199",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A110",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="155",="S-SM-4-13",="10200",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A111",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="156",="S-SM-4-14",="10201",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-51A112",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="157",="S-SM-4-15",="10202",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-55A018",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="158",="S-SM-2-1",="10203",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-55A019",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="159",="S-SM-2-2",="10204",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
="90564-55A020",="",="",="SHIM",="1Y",="第１工場",="手配",="Ｐ",="6454",="（株）ムロコーポレーション",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 0.73","  0.93"," 3.0","  0.93","  0.93","1.10","0.50",="205",="（株）ムロコーポレーション",="160",="S-SM-2-3",="10205",="0370",="ｼﾑ",="012",="TP-131 ﾊﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="06",="計画",="02",="計画・２社",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   6.500",="しない",="",="MASTER01",="2022/04/19",="NE00",="１工工務Ｇ",="46548",="磯貝　玲奈"
