,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数,便Ave
32,1040052001Z    ,2023,36,3.0,17.0,18.0,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,0.93,0.15999999999999992,1.5200000000000002,0.5,3.45,（株）青山製作所,15.0,13.299999999999999,6.509433962264151,2.0044720685211854,2.0020465364594924,0.08,0.6142866862205673,99.89500000000001,480.0,0.0,0.3717693836978131,6.5,2.MGケース,13.0,0.9774436090225564,1.3076923076923077,1.0588235294117647,0.8333333333333334,1.1538461538461537,2.2166666666666663
33,1040052001Z    ,2023,37,3.0,17.0,17.0,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,0.92,0.31000000000000005,2.02,0.79,3.74,（株）青山製作所,13.0,12.46,7.056603773584905,2.172963923556299,2.137015965883727,0.08,0.6202598408690903,99.44,462.0,0.0,0.08405797101449286,-0.1333333333333333,2.MGケース,12.0,0.9630818619582664,1.4166666666666667,1.0,0.7647058823529411,1.0833333333333333,2.0766666666666667
34,1040052001Z    ,2023,38,3.0,19.0,17.0,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,0.8999999999999999,0.17499999999999993,1.68,0.6749999999999998,3.0150000000000006,（株）青山製作所,12.0,12.265,5.688679245283019,1.7517342859685143,2.170992167542702,0.08,0.6213226971885526,99.905,450.0,0.0,-0.19385026737967903,-0.07692307692307687,2.MGケース,12.0,0.9783938035059111,1.5833333333333333,0.8947368421052632,0.7058823529411765,1.0,2.044166666666667
35,1040052001Z    ,2023,39,3.0,20.0,17.0,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,0.905,0.20499999999999996,1.9899999999999998,0.7049999999999996,3.09,（株）青山製作所,10.0,12.43,5.830188679245283,1.7953097657189745,2.142173687442578,0.08,0.6204320234563205,99.955,464.0,0.0,0.02487562189054704,-0.16666666666666663,2.MGケース,13.0,1.0458567980691875,1.5384615384615385,0.85,0.5882352941176471,0.7692307692307693,2.0716666666666668
38,1040183011P    ,2023,36,1.0,10.0,1.0,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,0.91,0.16000000000000003,0.2749999999999999,0.795,1.19,（株）青山製作所,12.0,12.401999999999997,2.2037037037037033,1.2331412248801419,0.7156700245904222,0.08,0.2938782206183229,99.89500000000001,480.0,0.0,-0.19594594594594594,2.0,8.ファイナル後半,12.0,0.9675858732462508,0.8333333333333334,0.1,12.0,1.0,2.0669999999999997
39,1040183011P    ,2023,37,1.0,11.0,0.0,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,0.905,0.17499999999999993,0.19999999999999984,0.7249999999999996,1.16,（株）青山製作所,12.0,11.616,2.148148148148148,1.2020536309756005,0.7640960438163236,0.08,0.30479478369476304,99.44,462.0,0.0,-0.025210084033613467,0.0,8.ファイナル後半,12.0,1.0330578512396695,0.9166666666666666,0.0,inf,1.0,1.936
40,1040183011P    ,2023,38,1.0,10.0,10.0,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,0.8900000000000001,0.22,0.55,0.55,1.34,（株）青山製作所,11.0,11.238000000000001,2.4814814814814814,1.388579194402849,0.7897970853328361,0.08,0.31010664677571886,99.905,450.0,0.0,0.15517241379310365,-0.08333333333333337,8.ファイナル後半,12.0,1.0678056593699945,0.8333333333333334,1.0,1.1,0.9166666666666666,1.8730000000000002
41,1040183011P    ,2023,39,2.0,10.0,10.0,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,0.915,0.2250000000000001,0.6799999999999998,0.4500000000000002,1.31,（株）青山製作所,12.0,11.796000000000001,2.425925925925926,1.3574916004983075,1.504872778055343,0.08,0.4925292209725405,99.955,464.0,1.0,-0.022388059701492602,0.09090909090909083,8.ファイナル後半,11.0,0.9325194981349609,0.9090909090909091,1.0,1.2,1.0909090909090908,1.9660000000000002
44,2030044001J    ,2023,36,1.0,3.0,4.0,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,1.53,0.29000000000000004,3.0600000000000005,0.5099999999999998,4.82,ＮＯＫ（株）,5.0,5.1675,8.925925925925926,3.0899167460599153,0.8562706842887173,0.03,0.27038750998118843,99.89500000000001,480.0,-0.6666666666666667,0.5109717868338559,4.0,4.TA・カバー・メイン,4.0,0.7740686985970004,0.75,1.3333333333333333,1.25,1.25,2.58375
45,2030044001J    ,2023,37,1.0,4.0,3.0,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,1.5350000000000001,0.2449999999999998,2.46,2.375,4.635,ＮＯＫ（株）,6.0,4.8425,8.583333333333332,2.9713203564289845,0.9137385154490341,0.03,0.27955500871894196,99.44,462.0,0.0,-0.0383817427385893,0.19999999999999996,4.TA・カバー・メイン,5.0,1.0325245224574082,0.8,0.75,2.0,1.2,2.42125
46,2030044001J    ,2023,38,1.0,4.0,4.0,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,1.53,0.2699999999999998,0.98,0.5699999999999994,3.72,ＮＯＫ（株）,5.0,4.6825,6.888888888888888,2.384749023930059,0.94496076050442,0.03,0.28406381323601715,99.905,450.0,0.0,-0.19741100323624583,-0.16666666666666663,4.TA・カバー・メイン,5.0,1.0678056593699947,0.8,1.0,1.25,1.0,2.34125
47,2030044001J    ,2023,39,1.0,4.0,5.0,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,1.53,0.24,1.2400000000000002,0.56,2.04,ＮＯＫ（株）,5.0,4.915,3.7777777777777777,1.3077655937680968,0.9002601751906302,0.03,0.2775071947582606,99.955,464.0,0.0,-0.4516129032258065,0.0,4.TA・カバー・メイン,5.0,1.017293997965412,0.8,1.25,1.0,1.0,2.4575
50,2030045013L    ,2023,36,3.0,7.0,5.0,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,2.04,0.3400000000000003,0.27,0.08999999999999986,0.7999999999999998,伊藤金属工業（株）,5.0,4.843500000000001,1.5094339622641506,0.25447052897283895,2.092522996827735,0.0,0.4179321887367542,99.89500000000001,480.0,0.5,-0.4719471947194721,1.5,3.ギヤサブ・共通部品,7.0,1.4452358831423555,1.0,0.7142857142857143,1.0,0.7142857142857143,4.843500000000001
51,2030045013L    ,2023,37,2.0,4.0,7.0,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,4.0200000000000005,0.3799999999999999,3.78,0.9300000000000002,6.85,伊藤金属工業（株）,7.0,5.675,12.924528301886792,2.178903904329934,1.1906179307060365,0.0,0.2797450095427513,99.44,462.0,-0.33333333333333337,7.562500000000002,0.3999999999999999,3.ギヤサブ・共通部品,6.0,1.0572687224669604,0.6666666666666666,1.75,1.0,1.1666666666666667,5.675
52,2030045013L    ,2023,38,2.0,5.0,5.0,0.53,3.1437825166991664,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,2.04,0.13999999999999968,0.4899999999999998,1.1500000000000004,5.62,伊藤金属工業（株）,5.0,4.4245,10.60377358490566,1.7876554660341941,1.5271232357908817,0.0,0.32399954180045615,99.905,450.0,0.0,-0.17956204379562035,-0.2857142857142857,3.ギヤサブ・共通部品,5.0,1.1300711944852526,1.0,1.0,1.0,1.0,4.4245
