,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数,便Ave
508,9020156A002    ,2023,38,5.0,18.0,22.0,0.73,0.928525241066364,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100.0,0.76,0.16000000000000006,0.74,0.3299999999999992,1.3600000000000003,（株）ムロコーポレーション,17.0,19.53,1.8630136986301375,1.464688238779712,1.4798634973910003,0.0,0.2274136876065622,99.905,450.0,0.0,-0.6243093922651932,0.7,3.ギヤサブ・共通部品,18.0,0.9216589861751151,1.0,1.2222222222222223,0.7727272727272727,0.9444444444444444,19.53
509,9020156A002    ,2023,39,4.0,20.0,23.0,0.73,0.928525241066364,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100.0,0.76,0.16000000000000014,0.91,0.6399999999999997,1.48,（株）ムロコーポレーション,19.0,24.86,2.0273972602739727,1.593925436319098,0.9300638488832259,0.0,0.14796694974569988,99.955,464.0,-0.19999999999999996,0.08823529411764675,0.11764705882352944,3.ギヤサブ・共通部品,20.0,0.8045052292839904,1.0,1.15,0.8260869565217391,0.95,24.86
512,9025006A007    ,2023,36,2.0,17.0,14.0,0.76,1.0149781447304518,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,200.0,2.835,0.405,0.4950000000000001,0.7700000000000005,1.76,（株）ギフ加藤製作所,18.0,8.22,2.3157894736842106,1.7340274853577307,1.0137875101378748,0.12,0.36135081903987654,99.89500000000001,480.0,-0.33333333333333337,-0.09278350515463918,2.6,2.MGケース,20.0,2.4330900243309,0.85,0.8235294117647058,1.2857142857142858,0.9,4.11
513,9025006A007    ,2023,37,3.0,17.0,15.0,0.76,1.0149781447304518,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,200.0,1.88,0.45,0.7400000000000002,0.6499999999999999,2.24,（株）ギフ加藤製作所,16.0,19.37,2.947368421052632,2.2069440722734757,0.6453278265358802,0.12,0.26551426803356937,99.44,462.0,0.5,0.27272727272727293,-0.11111111111111116,2.MGケース,12.0,0.619514713474445,1.4166666666666667,0.8823529411764706,1.0666666666666667,1.3333333333333333,9.685
514,9025006A007    ,2023,38,2.0,16.0,17.0,0.76,1.0149781447304518,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,200.0,1.75,0.3900000000000001,0.28000000000000025,0.3700000000000001,1.1500000000000004,（株）ギフ加藤製作所,11.0,15.129999999999999,1.5131578947368425,1.133029322818972,0.5507821105970478,0.12,0.22542114588660356,99.905,450.0,-0.33333333333333337,-0.4866071428571428,-0.3125,2.MGケース,13.0,0.8592200925313946,1.2307692307692308,1.0625,0.6470588235294118,0.8461538461538461,7.5649999999999995
515,9025006A007    ,2023,39,3.0,22.0,17.0,0.76,1.0149781447304518,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,200.0,1.93,0.4200000000000004,0.3999999999999999,0.7300000000000004,1.95,（株）ギフ加藤製作所,17.0,19.66,2.5657894736842106,1.9212236343452127,0.6358087487283826,0.12,0.26203599569546565,99.955,464.0,0.5,0.695652173913043,0.5454545454545454,2.MGケース,19.0,0.9664292980671414,1.1578947368421053,0.7727272727272727,1.0,0.8947368421052632,9.83
518,9030106A018    ,2023,36,3.0,12.0,11.0,0.56,1.820453763354808,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,2000.0,1.6600000000000001,0.23499999999999988,1.415,0.7649999999999999,3.85,ＮＯＫ（株）,12.0,12.5545,6.874999999999999,2.1148573380435987,1.0573369137110868,0.03,0.3767749910467593,99.89500000000001,480.0,-0.25,0.09686609686609704,3.0,4.TA・カバー・メイン,11.0,0.8761798558285873,1.0909090909090908,0.9166666666666666,1.0909090909090908,1.0909090909090908,6.27725
519,9030106A018    ,2023,37,2.0,11.0,10.0,0.56,1.820453763354808,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,2000.0,1.7999999999999998,0.23499999999999976,0.8899999999999999,0.47,2.135,ＮＯＫ（株）,12.0,11.7635,3.812499999999999,1.1727845238241772,0.752289499054184,0.03,0.2769233730543338,99.44,462.0,-0.33333333333333337,-0.44545454545454555,0.0,4.TA・カバー・メイン,12.0,1.0201045607174735,0.9166666666666666,0.9090909090909091,1.2,1.0,5.88175
520,9030106A018    ,2023,38,3.0,12.0,10.0,0.56,1.820453763354808,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,2000.0,1.7999999999999998,0.2599999999999997,0.6049999999999998,0.49500000000000055,3.5300000000000002,ＮＯＫ（株）,12.0,11.4615,6.303571428571429,1.9390769878685463,1.1581674547996197,0.03,0.4020373939229024,99.905,450.0,0.5,0.6533957845433258,0.0,4.TA・カバー・メイン,14.0,1.2214806089953323,0.8571428571428571,0.8333333333333334,1.2,0.8571428571428571,5.73075
521,9030106A018    ,2023,39,3.0,14.0,11.0,0.56,1.820453763354808,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,2000.0,3.79,0.21999999999999972,0.8200000000000003,0.4900000000000002,4.2200000000000015,ＮＯＫ（株）,11.0,11.852999999999998,7.535714285714287,2.3181033679335035,1.1199136322606802,0.03,0.39271828910164347,99.955,464.0,0.0,0.19546742209631773,-0.08333333333333337,4.TA・カバー・メイン,14.0,1.1811355774909307,1.0,0.7857142857142857,1.0,0.7857142857142857,5.926499999999999
524,9030111A014    ,2023,36,6.0,22.0,20.0,0.56,1.2297140427341342,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.7999999999999998,0.2400000000000002,1.44,0.3200000000000003,2.82,ＮＯＫ（株）,23.0,23.634999999999998,5.035714285714285,2.2932160665011514,1.123277874608491,0.03,0.4248531178888776,99.89500000000001,480.0,-0.1428571428571429,0.11462450592885376,2.2857142857142856,2.MGケース,22.0,0.9308229320922362,1.0,0.9090909090909091,1.15,1.0454545454545454,11.817499999999999
525,9030111A014    ,2023,37,6.0,22.0,21.0,0.56,1.2297140427341342,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.67,0.24,0.7,0.3400000000000003,2.615,ＮＯＫ（株）,24.0,22.145,4.669642857142857,2.1265106432271317,1.1988562910982923,0.03,0.4484772082718521,99.44,462.0,0.0,-0.07269503546099276,0.04347826086956519,2.MGケース,23.0,1.0386091668548205,0.9565217391304348,0.9545454545454546,1.1428571428571428,1.0434782608695652,11.0725
526,9030111A014    ,2023,38,6.0,18.0,21.0,0.56,1.2297140427341342,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.7999999999999998,0.2499999999999996,1.3100000000000005,0.3099999999999996,2.0699999999999994,ＮＯＫ（株）,21.0,21.63,3.69642857142857,1.6833181764742489,1.2274004885053944,0.03,0.45718115626182304,99.905,450.0,0.0,-0.20841300191204615,-0.125,2.MGケース,23.0,1.0633379565418402,0.782608695652174,1.1666666666666667,1.0,0.9130434782608695,10.815
527,9030111A014    ,2023,39,6.0,22.0,20.0,0.56,1.2297140427341342,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.8,0.2200000000000002,1.4149999999999998,0.2999999999999998,2.185,ＮＯＫ（株）,24.0,22.26,3.901785714285714,1.776835852945041,1.1926627388307132,0.03,0.4465726861883236,99.955,464.0,0.0,0.0555555555555558,0.1428571428571428,2.MGケース,23.0,1.0332434860736748,0.9565217391304348,0.9090909090909091,1.2,1.0434782608695652,11.13
530,9030115A011    ,2023,36,3.0,6.0,5.0,0.56,1.5526262053318212,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.55,0.24,1.2599999999999998,0.39000000000000057,2.6100000000000003,ＮＯＫ（株）,5.0,4.25,4.660714285714286,1.6810227671264903,3.123373243102551,0.03,0.5493626873301264,99.89500000000001,480.0,0.0,-0.4607438016528925,1.5,2.MGケース,6.0,1.411764705882353,1.0,0.8333333333333334,1.0,0.8333333333333334,2.125
531,9030115A011    ,2023,37,3.0,4.0,5.0,0.56,1.5526262053318212,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.53,0.23999999999999974,2.3,0.3100000000000005,2.6899999999999995,ＮＯＫ（株）,5.0,4.984,4.803571428571427,1.7325483691840067,2.6633901049730824,0.03,0.5550837235999679,99.44,462.0,0.0,0.030651340996168175,0.0,2.MGケース,5.0,1.0032102728731942,0.8,1.25,1.0,1.0,2.492
532,9030115A011    ,2023,38,3.0,4.0,5.0,0.56,1.5526262053318212,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.82,0.2400000000000002,6.249999999999999,0.16000000000000014,6.880000000000001,ＮＯＫ（株）,5.0,4.906000000000001,12.285714285714286,4.431201776946457,2.705735076067232,0.03,0.5551407342424652,99.905,450.0,0.0,1.5576208178438669,0.0,2.MGケース,5.0,1.019160211985324,0.8,1.25,1.0,1.0,2.4530000000000003
533,9030115A011    ,2023,39,3.0,4.0,5.0,0.56,1.5526262053318212,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.5299999999999998,0.26000000000000023,3.3600000000000003,0.17999999999999972,3.83,ＮＯＫ（株）,5.0,4.036,6.8392857142857135,2.4667881985036235,3.2889832218002586,0.03,0.544584870961687,99.955,464.0,0.0,-0.4433139534883721,0.0,2.MGケース,5.0,1.2388503468780971,0.8,1.25,1.0,1.0,2.018
536,9030117A010    ,2023,36,4.0,6.0,6.0,0.54,2.8690203327171906,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.7999999999999998,0.2100000000000002,4.3100000000000005,0.44,6.039999999999999,ＮＯＫ（株）,7.0,6.7940000000000005,11.185185185185183,2.1052482379166824,2.6051096620912255,0.03,0.6307347922960197,99.89500000000001,480.0,0.0,0.13747645951035747,2.5,3.ギヤサブ・共通部品,7.0,1.0303208713570797,0.8571428571428571,1.0,1.1666666666666667,1.0,3.3970000000000002
537,9030117A010    ,2023,37,4.0,6.0,5.0,0.54,2.8690203327171906,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,3.535,0.19500000000000017,3.144999999999999,0.48999999999999977,4.760000000000001,ＮＯＫ（株）,6.0,6.366,8.814814814814815,1.6591029159740747,2.7802568401268912,0.03,0.6367848133519711,99.44,462.0,0.0,-0.21192052980132425,-0.1428571428571429,3.ギヤサブ・共通部品,6.0,0.942507068803016,1.0,0.8333333333333334,1.2,1.0,3.183
538,9030117A010    ,2023,38,4.0,5.0,6.0,0.54,2.8690203327171906,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.7999999999999998,0.2499999999999996,5.48,0.4400000000000004,6.08,ＮＯＫ（株）,7.0,6.199,11.25925925925926,2.1191902792273893,2.8551564839889965,0.03,0.6385077834055739,99.905,450.0,0.0,0.2773109243697478,0.16666666666666674,3.ギヤサブ・共通部品,7.0,1.129214389417648,0.7142857142857143,1.2,1.1666666666666667,1.0,3.0995
539,9030117A010    ,2023,39,5.0,7.0,6.0,0.54,2.8690203327171906,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,3.6550000000000002,0.21999999999999997,2.165,0.16999999999999993,2.69,ＮＯＫ（株）,6.0,5.242,4.981481481481481,0.9376022781450126,4.22050625816668,0.03,0.7038678409648249,99.955,464.0,0.25,-0.5575657894736843,-0.1428571428571429,3.ギヤサブ・共通部品,8.0,1.5261350629530714,0.875,0.8571428571428571,1.0,0.75,2.621
542,9030119A010    ,2023,36,2.0,3.0,5.0,0.58,1.5726262053318207,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.79,0.2100000000000002,5.88,1.1499999999999997,7.26,ＮＯＫ（株）,5.0,5.319999999999999,12.517241379310345,4.61648163777619,1.6634506620533638,0.03,0.43578200252515215,99.89500000000001,480.0,-0.33333333333333337,0.7002341920374708,4.0,7.ファイナル前半,4.0,0.7518796992481204,0.75,1.6666666666666667,1.0,1.25,2.6599999999999997
543,9030119A010    ,2023,37,2.0,5.0,5.0,0.58,1.5726262053318207,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,2.535,0.23999999999999988,2.0600000000000005,1.0899999999999999,4.545,ＮＯＫ（株）,6.0,4.984,7.836206896551724,2.8900701162111275,1.7755934033153882,0.03,0.44279200340045943,99.44,462.0,0.0,-0.37396694214876036,0.19999999999999996,7.ファイナル前半,5.0,1.0032102728731942,1.0,1.0,1.2,1.2,2.492
544,9030119A010    ,2023,38,1.0,5.0,0.0,0.58,1.5726262053318207,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.7999999999999998,0.2350000000000001,0.6399999999999997,1.5700000000000003,2.375,ＮＯＫ（株）,6.0,4.906000000000001,4.094827586206897,1.5102126569860128,0.9019116920224106,0.03,0.27776144447724194,99.905,450.0,-0.5,-0.4774477447744775,0.0,7.ファイナル前半,6.0,1.2229922543823888,0.8333333333333334,0.0,inf,1.0,2.4530000000000003
545,9030119A010    ,2023,39,1.0,5.0,4.0,0.58,1.5726262053318207,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000.0,1.81,0.20500000000000018,0.5799999999999998,1.085,2.61,ＮＯＫ（株）,4.0,3.9859999999999998,4.5,1.6596442251509447,1.1100799701610506,0.03,0.3028119141454313,99.955,464.0,0.0,0.09894736842105267,-0.33333333333333337,7.ファイナル前半,5.0,1.254390366281987,1.0,0.8,1.0,0.8,1.9929999999999999
548,9030119A011    ,2023,36,4.0,18.0,17.0,0.54,0.7949781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,200.0,1.55,0.25,0.8800000000000008,0.25,2.0700000000000003,ＮＯＫ（株）,21.0,20.67,3.8333333333333335,2.6038451669660208,0.8562706842887173,0.03,0.32720450168777415,99.89500000000001,480.0,-0.4285714285714286,-0.1585365853658538,2.5,7.ファイナル前半,18.0,0.8708272859216255,1.0,0.9444444444444444,1.2352941176470589,1.1666666666666667,10.335
549,9030119A011    ,2023,37,4.0,18.0,18.0,0.54,0.7949781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,200.0,1.7999999999999998,0.23999999999999974,1.0499999999999998,0.20000000000000015,1.36,ＮＯＫ（株）,19.0,19.37,2.5185185185185186,1.7107388536588346,0.9137385154490341,0.03,0.345804229303101,99.44,462.0,0.0,-0.3429951690821257,-0.09523809523809523,7.ファイナル前半,20.0,1.0325245224574082,0.9,1.0,1.0555555555555556,0.95,9.685
550,9030119A011    ,2023,38,3.0,16.0,18.0,0.54,0.7949781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,200.0,1.7999999999999998,0.25,0.8400000000000007,0.2999999999999998,1.4,ＮＯＫ（株）,19.0,18.73,2.592592592592592,1.761054702295859,0.7087205703783149,0.03,0.27247410538451355,99.905,450.0,-0.25,0.02941176470588225,0.0,7.ファイナル前半,19.0,1.014415376401495,0.8421052631578947,1.125,1.0555555555555556,1.0,9.365
551,9030119A011    ,2023,39,3.0,18.0,18.0,0.54,0.7949781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,200.0,1.8,0.23,0.79,0.25,1.3400000000000003,ＮＯＫ（株）,20.0,19.66,2.481481481481482,1.6855809293403226,0.6751951313929726,0.03,0.26113762568343857,99.955,464.0,0.0,-0.042857142857142594,0.05263157894736836,7.ファイナル前半,20.0,1.017293997965412,0.9,1.0,1.1111111111111112,1.0,9.83
554,9031150A014    ,2023,36,6.0,52.0,52.0,0.54,0.6337599659827788,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.7999999999999998,0.25,0.54,0.23999999999999974,1.11,ＮＯＫ（株）,57.0,56.27380952380953,2.055555555555556,1.7514517476324185,0.4717767073355661,0.03,0.1909467563562614,99.89500000000001,480.0,-0.4,-0.14615384615384597,2.3529411764705883,8.ファイナル後半,54.0,0.9595938227205414,0.9629629629629629,1.0,1.0961538461538463,1.0555555555555556,28.136904761904766
555,9031150A014    ,2023,37,7.0,50.0,49.0,0.54,0.6337599659827788,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.7999999999999998,0.2200000000000002,0.5,0.2999999999999998,1.12,ＮＯＫ（株）,55.0,52.726190476190474,2.074074074074074,1.7672305922056835,0.5874395826381632,0.03,0.23659163912460637,99.44,462.0,0.16666666666666674,0.009009009009008917,-0.03508771929824561,8.ファイナル後半,56.0,1.062090765409799,0.8928571428571429,0.98,1.1224489795918366,0.9821428571428571,26.363095238095237
556,9031150A014    ,2023,38,6.0,43.0,47.0,0.54,0.6337599659827788,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.7999999999999998,0.2699999999999998,0.52,0.29000000000000004,1.12,ＮＯＫ（株）,53.0,51.49999999999999,2.074074074074074,1.7672305922056835,0.5155082051722658,0.03,0.20804071680414976,99.905,450.0,-0.1428571428571429,0.0,-0.036363636363636376,8.ファイナル後半,51.0,0.9902912621359224,0.8431372549019608,1.0930232558139534,1.127659574468085,1.0392156862745099,25.749999999999996
557,9031150A014    ,2023,39,7.0,52.0,51.0,0.54,0.6337599659827788,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.8,0.23,0.51,0.29000000000000004,1.2199999999999998,ＮＯＫ（株）,54.0,52.999999999999986,2.2592592592592586,1.9250190379383332,0.5844047420270497,0.03,0.23541752595121226,99.955,464.0,0.16666666666666674,0.08928571428571397,0.018867924528301883,8.ファイナル後半,57.0,1.0754716981132078,0.9122807017543859,0.9807692307692307,1.0588235294117647,0.9473684210526315,26.499999999999993
560,9031150A015    ,2023,36,5.0,52.0,52.0,0.53,0.6237599659827788,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.805,0.2549999999999999,0.34999999999999987,0.2450000000000001,0.97,ＮＯＫ（株）,56.0,56.27380952380953,1.8301886792452828,1.5550853740215518,0.39314725611297174,0.03,0.15952147389303986,99.89500000000001,480.0,-0.5,-0.24806201550387585,2.111111111111111,8.ファイナル後半,54.0,0.9595938227205414,0.9629629629629629,1.0,1.0769230769230769,1.037037037037037,28.136904761904766
561,9031150A015    ,2023,37,5.0,49.0,47.0,0.53,0.6237599659827788,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.7999999999999998,0.2200000000000002,0.4700000000000002,0.3099999999999996,1.0799999999999998,ＮＯＫ（株）,55.0,52.726190476190474,2.0377358490566033,1.7314352617971913,0.4195997018844023,0.03,0.16995816449718168,99.44,462.0,0.0,0.11340206185566992,-0.017857142857142905,8.ファイナル後半,55.0,1.043124858884624,0.8909090909090909,0.9591836734693877,1.1702127659574468,1.0,26.363095238095237
562,9031150A015    ,2023,38,6.0,46.0,46.0,0.53,0.6237599659827788,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.7999999999999998,0.2599999999999997,0.3650000000000002,0.2749999999999997,0.9049999999999998,ＮＯＫ（株）,52.0,51.49999999999999,1.7075471698113203,1.4508786221541279,0.5155082051722658,0.03,0.20804071680414976,99.905,450.0,0.19999999999999996,-0.1620370370370371,-0.054545454545454564,8.ファイナル後半,53.0,1.0291262135922332,0.8679245283018868,1.0,1.1304347826086956,0.9811320754716981,25.749999999999996
563,9031150A015    ,2023,39,6.0,51.0,51.0,0.53,0.6237599659827788,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84.0,1.8,0.23,0.5,0.28500000000000014,1.18,ＮＯＫ（株）,54.0,52.999999999999986,2.2264150943396226,1.8917533415932277,0.5009183503088999,0.03,0.2023546093619557,99.955,464.0,0.0,0.30386740331491735,0.03846153846153855,8.ファイナル後半,56.0,1.0566037735849059,0.9107142857142857,1.0,1.0588235294117647,0.9642857142857143,26.499999999999993
564,9033106A003    ,2023,37,1.0,1.0,0.0,0.67,30.448786159954626,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,5000.0,1.82,0.3200000000000001,28.66,12.979999999999995,41.96,サトープレス工業（株）,1.0,0.095,62.62686567164179,1.378051649729952,37.864445285876556,0.0,0.026340608367169054,99.44,462.0,0.0,0.0,0.0,3.ギヤサブ・共通部品,1.0,10.526315789473685,1.0,0.0,inf,1.0,0.095
565,9033106A003    ,2023,38,1.0,0.0,0.0,0.67,30.448786159954626,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,5000.0,1.82,0.22,0.1499999999999999,56.18,56.55,サトープレス工業（株）,1.0,0.1,84.40298507462686,1.8572168920931549,35.97122302158273,0.0,0.027719087982180018,99.905,450.0,0.0,0.3477121067683506,0.0,3.ギヤサブ・共通部品,,,,,inf,,0.1
566,9033106A003    ,2023,39,1.0,5.0,1.0,0.67,30.448786159954626,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,5000.0,1.82,0.18000000000000016,4.91,8.18,13.27,サトープレス工業（株）,1.0,0.1034,19.805970149253728,0.43581376053185084,34.788416848726044,0.0,0.028655769173850786,99.955,464.0,0.0,-0.765340406719717,0.0,3.ギヤサブ・共通部品,2.0,19.342359767891683,2.5,0.2,1.0,0.5,0.1034
569,9033904A002    ,2023,36,3.0,5.0,3.0,0.61,1.7261900712235567,1.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,1000.0,3.83,0.25,3.5799999999999987,0.46,4.53,サトープレス工業（株）,3.0,2.836,7.426229508196722,2.6242764777282312,3.80513642682469,0.0,0.44228632132475937,99.89500000000001,480.0,0.5,0.6007067137809188,0.5,4.TA・カバー・メイン,5.0,1.763046544428773,1.0,0.6,1.0,0.6,2.836
570,9033904A002    ,2023,37,2.0,5.0,5.0,0.61,1.7261900712235567,1.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,1000.0,1.84,0.2200000000000002,3.3,0.5800000000000001,5.085,サトープレス工業（株）,4.0,2.738,8.336065573770492,2.9457937945359944,2.6275546399987384,0.0,0.3634741457860448,99.44,462.0,-0.33333333333333337,0.12251655629139058,0.33333333333333326,4.TA・カバー・メイン,5.0,1.8261504747991235,1.0,1.0,0.8,0.8,2.738
571,9033904A002    ,2023,38,2.0,3.0,3.0,0.61,1.7261900712235567,1.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,1000.0,1.82,0.18500000000000005,2.5549999999999997,0.9600000000000001,5.04,サトープレス工業（株）,6.0,3.4490000000000003,8.262295081967213,2.919724822902933,2.085892897743272,0.0,0.350425764814449,99.905,450.0,0.0,-0.008849557522123908,0.5,4.TA・カバー・メイン,4.0,1.1597564511452594,0.75,1.0,2.0,1.5,3.4490000000000003
572,9033904A002    ,2023,39,2.0,4.0,4.0,0.61,1.7261900712235567,1.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,1000.0,2.82,0.16500000000000004,3.07,0.6600000000000001,3.8950000000000005,サトープレス工業（株）,4.0,3.575,6.385245901639345,2.2564143224616915,2.012376113095537,0.0,0.3468533224512328,99.955,464.0,0.0,-0.22718253968253954,-0.33333333333333337,4.TA・カバー・メイン,5.0,1.3986013986013985,0.8,1.0,1.0,0.8,3.575
574,9033904A003    ,2023,36,3.0,2.0,3.0,0.6,8.24934434191355,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,2000.0,7.325,4.35,6.8149999999999995,6.595000000000002,22.320000000000004,サトープレス工業（株）,4.0,0.8220000000000001,37.20000000000001,2.705669575046805,13.128183584519244,0.0,0.21441921192415622,99.89500000000001,480.0,-0.25,0.11044776119402999,1.0,3.ギヤサブ・共通部品,3.0,3.64963503649635,0.6666666666666666,1.5,1.3333333333333333,1.3333333333333333,0.8220000000000001
575,9033904A003    ,2023,37,2.0,3.0,2.0,0.6,8.24934434191355,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,2000.0,3.825,0.20999999999999996,6.82,4.85,11.879999999999999,サトープレス工業（株）,2.0,0.8230000000000001,19.8,1.4401144512345896,8.741487976083286,0.0,0.20821105323558145,99.44,462.0,-0.33333333333333337,-0.4677419354838711,-0.5,3.ギヤサブ・共通部品,3.0,3.6452004860267313,1.0,0.6666666666666666,1.0,0.6666666666666666,0.8230000000000001
576,9033904A003    ,2023,38,3.0,4.0,3.0,0.6,8.24934434191355,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,2000.0,3.82,7.510000000000002,14.079999999999998,8.940000000000007,65.55,サトープレス工業（株）,5.0,0.7559999999999999,109.25,7.9460860503726725,14.274294849834417,0.0,0.19909617173885566,99.905,450.0,0.5,4.517676767676768,1.5,3.ギヤサブ・共通部品,4.0,5.291005291005292,1.0,0.75,1.6666666666666667,1.25,0.7559999999999999
577,9033904A003    ,2023,39,4.0,4.0,3.0,0.6,8.24934434191355,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,2000.0,2.82,5.5649999999999995,4.904999999999999,6.265000000000001,21.924999999999997,サトープレス工業（株）,4.0,0.841,36.541666666666664,2.6577869817608057,17.108786217161825,0.0,0.22232305539689887,99.955,464.0,0.33333333333333326,-0.6655225019069413,-0.19999999999999996,3.ギヤサブ・共通部品,2.0,2.3781212841854935,2.0,0.75,1.3333333333333333,2.0,0.841
580,9034108A006    ,2023,36,3.0,15.0,17.0,0.53,1.2845633114549897,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,1000.0,0.55,0.2399999999999999,0.98,0.3500000000000001,1.97,（株）杉浦製作所,19.0,20.974999999999998,3.7169811320754715,1.533595099932159,1.3886156658990711,0.12,0.232110729623689,99.89500000000001,480.0,-0.25,0.08241758241758212,2.8,2.MGケース,17.0,0.8104886769964244,0.8823529411764706,1.1333333333333333,1.1176470588235294,1.1176470588235294,10.487499999999999
581,9034108A006    ,2023,37,2.0,23.0,18.0,0.53,1.2845633114549897,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,1000.0,0.535,0.21,0.53,0.535,1.775,（株）杉浦製作所,22.0,19.653000000000002,3.3490566037735845,1.3817925392789756,0.9880158616066421,0.12,0.16953224388485644,99.44,462.0,-0.33333333333333337,-0.09898477157360408,0.1578947368421053,2.MGケース,23.0,1.1703047880730675,1.0,0.782608695652174,1.2222222222222223,0.9565217391304348,9.826500000000001
582,9034108A006    ,2023,38,5.0,20.0,17.0,0.53,1.2845633114549897,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,1000.0,0.54,0.17999999999999994,1.48,0.5499999999999998,2.43,（株）杉浦製作所,19.0,19.177,4.584905660377358,1.8916934481396683,2.5313494978562,0.12,0.3823010078960509,99.905,450.0,1.5,0.36901408450704243,-0.13636363636363635,2.MGケース,21.0,1.095061792772592,0.9523809523809523,0.85,1.1176470588235294,0.9047619047619048,9.5885
583,9034108A006    ,2023,39,4.0,21.0,18.0,0.53,1.2845633114549897,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,1000.0,0.54,0.19000000000000009,1.04,0.6600000000000001,3.65,（株）杉浦製作所,17.0,19.773999999999997,6.886792452830188,2.841432545559584,1.9639400958991953,0.12,0.3115352120561032,99.955,464.0,-0.19999999999999996,0.5020576131687242,-0.10526315789473684,2.MGケース,20.0,1.0114291493880856,1.05,0.8571428571428571,0.9444444444444444,0.85,9.886999999999999
