,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）
169,3040141002R    ,2023,39,1.0,1.0,2.0
170,321110LC010    ,2023,34,49.0,0.0,0.0
171,321110LC010    ,2023,35,47.0,150.0,125.0
172,321110LC010    ,2023,36,55.0,189.0,180.0
173,321110LC010    ,2023,37,48.0,187.0,172.0
174,321110LC010    ,2023,38,52.0,174.0,180.0
175,321110LC010    ,2023,39,49.0,195.0,178.0
176,333560LC020    ,2023,34,4.0,0.0,0.0
177,333560LC020    ,2023,35,4.0,10.0,7.0
178,333560LC020    ,2023,36,6.0,11.0,10.0
179,333560LC020    ,2023,37,6.0,12.0,11.0
180,333560LC020    ,2023,38,6.0,11.0,11.0
181,333560LC020    ,2023,39,5.0,9.0,10.0
182,33490ECB010    ,2023,34,68.0,0.0,0.0
183,33490ECB010    ,2023,35,68.0,347.0,332.0
184,33490ECB010    ,2023,36,54.0,435.0,464.0
185,33490ECB010    ,2023,37,39.0,444.0,436.0
186,33490ECB010    ,2023,38,46.0,410.0,432.0
187,33490ECB010    ,2023,39,77.5,507.0,464.0
188,33490ECE010    ,2023,34,109.0,0.0,0.0
189,33490ECE010    ,2023,35,109.0,512.0,502.0
190,33490ECE010    ,2023,36,98.0,605.0,620.0
191,33490ECE010    ,2023,37,74.5,592.0,588.0
192,33490ECE010    ,2023,38,92.0,546.0,574.0
193,33490ECE010    ,2023,39,122.5,639.0,581.0
194,34989ECB010    ,2023,34,4.0,0.0,0.0
195,34989ECB010    ,2023,35,4.0,1.0,2.0
196,34989ECB010    ,2023,36,3.0,1.0,3.0
197,34989ECB010    ,2023,37,2.0,2.0,2.0
198,34989ECB010    ,2023,38,2.0,2.0,2.0
199,34989ECB010    ,2023,39,1.0,2.0,2.0
200,34989ECB020    ,2023,34,8.0,0.0,0.0
201,34989ECB020    ,2023,35,8.0,7.0,7.0
202,34989ECB020    ,2023,36,7.0,6.0,9.0
203,34989ECB020    ,2023,37,6.0,8.0,9.0
204,34989ECB020    ,2023,38,6.0,7.0,9.0
205,34989ECB020    ,2023,39,6.0,8.0,9.0
206,34989ECB030    ,2023,34,6.0,0.0,0.0
207,34989ECB030    ,2023,35,5.0,2.0,3.0
208,34989ECB030    ,2023,36,4.0,3.0,4.0
209,34989ECB030    ,2023,37,4.0,4.0,4.0
210,34989ECB030    ,2023,38,3.0,2.0,4.0
211,34989ECB030    ,2023,39,3.0,4.0,5.0
212,34989ECC010    ,2023,34,4.0,0.0,0.0
213,34989ECC010    ,2023,35,4.0,1.0,1.0
214,34989ECC010    ,2023,36,3.0,1.0,2.0
215,34989ECC010    ,2023,37,3.0,1.0,1.0
216,34989ECC010    ,2023,38,2.0,1.0,1.0
217,34989ECC010    ,2023,39,2.0,1.0,1.0
218,34989ECE010    ,2023,34,4.0,0.0,0.0
219,34989ECE010    ,2023,35,4.0,1.0,1.0
220,34989ECE010    ,2023,36,2.0,0.0,2.0
221,34989ECE010    ,2023,37,2.0,1.0,1.0
222,34989ECE010    ,2023,38,2.0,1.0,1.0
223,34989ECE010    ,2023,39,2.5,1.0,1.0
224,34989ECE020    ,2023,34,4.0,0.0,0.0
225,34989ECE020    ,2023,35,4.0,1.0,2.0
226,34989ECE020    ,2023,36,2.0,1.0,3.0
227,34989ECE020    ,2023,37,2.0,3.0,2.0
228,34989ECE020    ,2023,38,2.0,2.0,2.0
229,34989ECE020    ,2023,39,2.0,2.0,2.0
230,34989ECE030    ,2023,34,1.0,0.0,0.0
231,34989ECE030    ,2023,35,1.0,1.0,1.0
232,34989ECE030    ,2023,36,2.0,1.0,1.0
233,34989ECE030    ,2023,37,2.0,1.0,1.0
234,34989ECE030    ,2023,38,2.0,2.0,1.0
235,34989ECE030    ,2023,39,2.0,1.0,1.0
236,350610LC010    ,2023,34,111.0,0.0,0.0
237,350610LC010    ,2023,35,107.0,448.0,460.0
238,350610LC010    ,2023,36,108.0,658.0,614.0
239,350610LC010    ,2023,37,119.0,607.0,648.0
240,350610LC010    ,2023,38,121.0,635.0,631.0
241,350610LC010    ,2023,39,153.0,600.0,625.0
242,350710LC010    ,2023,34,36.0,0.0,0.0
243,350710LC010    ,2023,35,48.0,249.0,222.0
244,350710LC010    ,2023,36,54.0,306.0,312.0
245,350710LC010    ,2023,37,51.0,306.0,317.0
246,350710LC010    ,2023,38,57.0,308.0,318.0
247,350710LC010    ,2023,39,63.0,287.0,312.0
248,35080ECB010    ,2023,34,,0.0,0.0
249,35080ECB010    ,2023,35,4.0,157.0,138.0
250,35080ECB010    ,2023,36,5.0,172.0,126.0
251,35080ECB010    ,2023,37,6.0,256.0,173.0
252,35080ECB010    ,2023,38,4.0,170.0,140.0
253,35080ECB010    ,2023,39,6.5,123.0,80.0
254,35080ECE010    ,2023,34,,0.0,0.0
255,35080ECE010    ,2023,35,3.0,203.0,162.0
256,35080ECE010    ,2023,36,3.0,169.0,114.0
257,35080ECE010    ,2023,37,4.0,222.0,145.0
258,35080ECE010    ,2023,38,3.0,101.0,90.0
259,35080ECE010    ,2023,39,4.0,105.0,60.0
260,35080ECE020    ,2023,34,,0.0,0.0
261,35080ECE020    ,2023,35,3.0,160.0,122.0
262,35080ECE020    ,2023,36,4.0,123.0,81.0
263,35080ECE020    ,2023,37,4.0,195.0,149.0
264,35080ECE020    ,2023,38,2.0,104.0,84.0
265,35080ECE020    ,2023,39,4.0,77.0,49.0
266,351060LC040    ,2023,34,5.0,0.0,0.0
267,351060LC040    ,2023,35,23.0,82.0,64.0
268,351060LC040    ,2023,36,41.0,115.0,90.0
269,351060LC040    ,2023,37,44.0,70.0,89.0
270,351060LC040    ,2023,38,27.0,70.0,91.0
271,351060LC040    ,2023,39,16.0,69.0,87.0
272,351190LC010    ,2023,34,6.0,0.0,0.0
273,351190LC010    ,2023,35,23.5,83.0,64.0
274,351190LC010    ,2023,36,30.0,89.0,91.0
275,351190LC010    ,2023,37,45.0,91.0,91.0
276,351190LC010    ,2023,38,29.0,70.0,90.0
277,351190LC010    ,2023,39,20.5,84.0,88.0
278,35141ECB010    ,2023,39,12.0,28.0,27.0
279,35141ECE010    ,2023,39,23.0,21.0,27.0
280,35145ECB010    ,2023,34,5.0,0.0,0.0
281,35145ECB010    ,2023,35,8.0,16.0,13.0
282,35145ECB010    ,2023,36,7.0,18.0,19.0
283,35145ECB010    ,2023,37,7.0,21.0,17.0
284,35145ECB010    ,2023,38,7.0,20.0,20.0
285,35145ECB010    ,2023,39,7.0,20.0,18.0
286,35145ECE010    ,2023,34,7.0,0.0,0.0
287,35145ECE010    ,2023,35,9.0,22.0,19.0
