,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX
38,1040183011P    ,2023,36,1.0,10.0,1.0,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.91,0.16000000000000003,0.2749999999999999,0.795,1.19,（株）青山製作所,12,12.401999999999997,2.2037037037037033,1.2331412248801419,0.7156700245904222,0.08,0.2938782206183229
39,1040183011P    ,2023,37,1.0,11.0,0.0,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.905,0.17499999999999993,0.19999999999999984,0.7249999999999996,1.16,（株）青山製作所,12,11.616,2.148148148148148,1.2020536309756005,0.7640960438163236,0.08,0.30479478369476304
40,1040183011P    ,2023,38,1.0,10.0,10.0,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.8900000000000001,0.22,0.55,0.55,1.34,（株）青山製作所,11,11.238000000000001,2.4814814814814814,1.388579194402849,0.7897970853328361,0.08,0.31010664677571886
41,1040183011P    ,2023,39,2.0,10.0,10.0,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.915,0.2250000000000001,0.6799999999999998,0.4500000000000002,1.31,（株）青山製作所,12,11.796000000000001,2.425925925925926,1.3574916004983075,1.504872778055343,0.08,0.4925292209725405
42,2030044001J    ,2023,35,3.0,2.0,3.0,0.54,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.7999999999999998,0.19500000000000065,6.354999999999999,0.535000000000001,6.970000000000002,ＮＯＫ（株）,4,0.0,12.907407407407412,12.907407407407412,inf,0.03,0.0
43,2030044001J    ,2023,35,3.0,2.0,3.0,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,3.8,0.19999999999999973,2.53,0.46,3.19,ＮＯＫ（株）,1,0.9825,5.9074074074074066,2.0449863941765827,13.510774842937241,0.03,0.2135056585072245
44,2030044001J    ,2023,36,1.0,3.0,4.0,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.53,0.29000000000000004,3.0600000000000005,0.5099999999999998,4.82,ＮＯＫ（株）,5,5.1675,8.925925925925926,3.0899167460599153,0.8562706842887173,0.03,0.27038750998118843
45,2030044001J    ,2023,37,1.0,4.0,3.0,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.5350000000000001,0.2449999999999998,2.46,2.375,4.635,ＮＯＫ（株）,6,4.8425,8.583333333333332,2.9713203564289845,0.9137385154490341,0.03,0.27955500871894196
46,2030044001J    ,2023,38,1.0,4.0,4.0,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.53,0.2699999999999998,0.98,0.5699999999999994,3.72,ＮＯＫ（株）,5,4.6825,6.888888888888888,2.384749023930059,0.94496076050442,0.03,0.28406381323601715
47,2030044001J    ,2023,39,1.0,4.0,5.0,0.54,1.559912578921807,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.53,0.24,1.2400000000000002,0.56,2.04,ＮＯＫ（株）,5,4.915,3.7777777777777777,1.3077655937680968,0.9002601751906302,0.03,0.2775071947582606
