,Unnamed: 0,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数
143,-0.9567049830361659,35409ECB010    ,0.0,-0.4347054316136305,-0.47427259101368446,-0.3893113222042748,-0.39038244792168375,-0.27653305519180205,-0.2641364339066272,-0.833970814558632,ＴＰ１３１フタナシ,0.0,-0.6385884892673834,-0.39616972446440996,-0.22913020385568525,1.6036693955344838,-0.08990660128225705,-0.30506706637468894,-0.19671491031844607,-0.31890791768426113,サンコール（株）,-0.3882127676846933,-0.38018566963213446,-0.30033485429249634,-0.049051708097013216,-0.28710962406588414,-0.667002075961709,-0.38440053137424307,-1.747637355010315,-0.20801293902870074,-0.9464472433033586,-0.3016619193809315,-0.5308858790060037,4.TA・カバー・メイン,-0.3933002133651034,-0.2676990396671976,-0.0664682087337042,-0.512079820753863,0.2419514673584884,0.1251772196785691
144,-0.9531359376909782,35409ECB010    ,0.0,0.45180859613612784,-0.47427259101368446,-0.3824253629706099,-0.38360966306707905,-0.27653305519180205,-0.2641364339066272,-0.833970814558632,ＴＰ１３１フタナシ,0.0,-0.6385884892673834,-0.39616972446440996,-0.22913020385568525,0.5961164903458172,-0.056014537041309334,-0.34407186880653384,-0.2181798637802064,-0.35411516469473614,サンコール（株）,-0.3882127676846933,-0.3821874167490085,-0.3477860425518839,-0.19885766082812814,-0.28599667932230244,-0.667002075961709,-0.3508552767131299,0.5009909300095924,-1.3266070146124471,-0.02094670600110913,-0.24406700977830928,-0.5308858790060037,4.TA・カバー・メイン,-0.3866505971017341,-0.21613456820876753,-0.0664682087337042,-0.4675353217554807,0.0009791048185894581,-0.21204843278156832
145,-0.9495668923457904,35409ECB010    ,0.0,1.3383226238858863,-0.4989544477414716,-0.3893113222042748,-0.38360966306707905,-0.27653305519180205,-0.2641364339066272,-0.833970814558632,ＴＰ１３１フタナシ,0.0,-0.6385884892673834,-0.39616972446440996,-0.22913020385568525,0.6060922616843191,-0.047541520981071936,-0.36135808806610153,-0.22891234051108653,-0.3904830901780839,サンコール（株）,-0.3882127676846933,-0.3792786279698009,-0.39680155569894365,-0.3536022713415876,-0.2929385008573833,-0.667002075961709,-0.5820258272730577,0.7427789176461261,-0.02158059309807634,-0.4065719298770464,-0.26564500827239335,-0.5308858790060037,4.TA・カバー・メイン,-0.3866505971017341,-0.2349358361080474,-0.40303691430781025,-0.06663483077004169,0.0009791048185894581,-0.21204843278156832
146,-0.9388597563102272,35441ECB010    ,0.0,-1.3212194593633888,0.7104565319200975,0.1615654164889151,0.1717586950105054,-0.21590437689455103,-0.3112653657621763,1.2492815816480711,ＴＰ３３１フタナシ,0.0,-0.6385884892673834,-0.44884274720087386,-0.5359699488037293,0.48638300562229925,0.04566165568153382,-0.33963950489382416,-0.43282939839781154,-0.4017029820825209,（株）ニフコ,0.19715705754041096,0.1752626651186093,-0.41520766693946376,-0.11766357812345749,-0.28974993009654093,-0.667002075961709,-0.43256214167400475,0.4526333324822582,1.4698781743469187,-0.1035806825459528,-0.10442759239612563,1.8057197985756217,2.MGケース,0.1386690877044431,-0.27720083931786227,-0.0664682087337042,0.023455167204214505,-0.03927122386939392,0.1289662719534021
147,-0.9352907109650395,35441ECB010    ,0.0,-0.4347054316136305,0.4389561079144391,0.07204794645127174,0.13789477073748194,-0.21590437689455103,-0.3112653657621763,1.2492815816480711,ＴＰ３３１フタナシ,0.0,-0.6385884892673834,-0.44884274720087386,-0.5359699488037293,0.4863830056222997,0.04566165568153382,-0.3813037256732949,-0.43712238909016354,-0.4403922645116144,（株）ニフコ,0.17084830135051862,0.1364266858980052,-0.4665735587734736,-0.3495080283202775,-0.2942433046194472,-0.667002075961709,-0.6040225038831681,-1.747637355010315,-0.20801293902870074,-0.49226642407169907,-0.31298454218347993,-0.5645107566133774,2.MGケース,0.19851563407476708,-0.2182617453669489,-0.8220306090021058,0.4608658152634307,-0.010228912043731575,-0.30495754111242257
148,-0.9317216656198518,35441ECB010    ,0.0,0.45180859613612784,0.6117291050089491,0.15467945725525023,0.11080363131906319,-0.21590437689455103,-0.3112653657621763,1.2492815816480711,ＴＰ３３１フタナシ,0.0,-0.6385884892673834,-0.44884274720087386,-0.5359699488037293,0.48638300562229925,0.011769591440586853,-0.3369800865461985,-0.42853640770545914,-0.39899473231248445,（株）ニフコ,0.13796235611315322,0.12300351187209159,-0.41161205451108307,-0.10143446660968032,-0.2893980964370057,-0.667002075961709,-0.42010204696171405,0.5009909300095924,-1.3266070146124471,0.3557104894125972,0.10489168750124812,-0.5746867064156088,2.MGケース,0.13201947144107376,-0.25014919860774726,-0.0664682087337042,-0.33997607462375035,-0.02253039396579087,-0.14307045841472213
149,-0.928152620274664,35441ECB010    ,0.0,1.3383226238858863,0.4636379646422263,0.22353904959189896,0.13112198588287727,-0.21590437689455103,-0.3112653657621763,1.2492815816480711,ＴＰ３３１フタナシ,0.0,-0.6385884892673834,-0.44884274720087386,-0.5359699488037293,0.4863830056222997,0.0117695914405861,-0.3640175064137273,-0.43282939839781154,-0.41292287398695804,（株）ニフコ,0.16427111230304556,0.13942409369019942,-0.4301037755713266,-0.18489846868053514,-0.29378620950789613,-0.667002075961709,-0.5865855070621878,0.7427789176461261,-0.02158059309807634,-0.29859686719178397,-0.20063568737063728,-0.4938985136378927,2.MGケース,0.19851563407476708,-0.2203040936166861,-0.0664682087337042,-0.5984416045262365,-0.008092795888795329,-0.33592724388937434
150,-0.9174454842391009,35441TFA010    ,0.0,-1.3212194593633888,-0.3261814506469617,-0.3411096075686207,-0.32265459937563684,-0.21590437689455103,-0.2981715464100602,-0.833970814558632,ＴＰ３３１フタナシ,0.0,-0.6385884892673834,-0.44884274720087386,-0.4309984571109774,0.47640723428379783,0.0117695914405861,-0.2775864101158891,-0.2696957520884321,-0.3073011329555331,（株）ニフコ,-0.32901806625743557,-0.31146944438569085,-0.2898748908644799,0.2907089035207559,-0.28799164993992543,-0.667002075961709,-0.4049545408575636,0.4526333324822582,1.4698781743469187,-0.35148261218048404,0.04585950441946102,1.2722481826894059,2.MGケース,-0.3467528995215181,-0.3254682772542653,-0.0664682087337042,0.4344907829617572,-0.0954098401973702,0.3570198557449133
151,-0.9138764388939131,35441TFA010    ,0.0,-0.4347054316136305,-0.4249088775581102,-0.34799556680228555,-0.32942738423024154,-0.21590437689455103,-0.2981715464100602,-0.833970814558632,ＴＰ３３１フタナシ,0.0,-0.6385884892673834,-0.44884274720087386,-0.4309984571109774,0.48638300562229925,0.0117695914405861,-0.39105492628125615,-0.2825747241654882,-0.4047981246768485,（株）ニフコ,-0.31586368816248944,-0.31960154204799185,-0.4193169382861847,-0.2340096062264633,-0.29713679690909056,-0.667002075961709,-0.7356789388878361,-1.747637355010315,-0.20801293902870074,-0.7921971537529838,-0.41678950283693367,-0.4432842241867934,2.MGケース,-0.3268040507314101,-0.24848291252003502,-0.7750339046791908,0.46789915721054365,0.21643674661896978,0.1074285011280364
152,-0.9103073935487254,35441TFA010    ,0.0,0.45180859613612784,-0.47427259101368446,-0.32045172986762605,-0.32942738423024154,-0.21590437689455103,-0.2981715464100602,-0.833970814558632,ＴＰ３３１フタナシ,0.0,-0.6385884892673834,-0.44884274720087386,-0.4309984571109774,0.48638300562229925,0.020242607500823313,-0.41011409110590763,-0.27184224743460766,-0.4202738376484858,（株）ニフコ,-0.33559525530490864,-0.32360503628174003,-0.4398632950197885,-0.3172982585672911,-0.30219502074427496,-0.667002075961709,-0.9209783173633846,0.5009909300095924,-1.3266070146124471,-0.5993845418150151,-0.20995995383627533,-0.649773839117789,2.MGケース,-0.3268040507314101,-0.23600730621413538,-0.0664682087337042,-0.48863534759681965,-0.08973990225525495,-0.37178689973637
