KUMI_CD,LINE_CD,LINE_SUB_CD,KANRIBAN_CD,LINE_DATE,TYOKU_KBN,OFFICE_HOURS,WORKING_HOURS,LINE_START_TIME,LINE_END_TIME,LINE_STOP_HOURS,MACHINE_STOP_HOURS,HINPATU_STOP_CNT,HINPATU_STOP_TIME,HURYOU_QUANT_CNT,HURYOU_WEIGHT_CNT,TENAOSHI_CNT,HORYUU_CNT,LAST_SERIAL_NO,OPERATION_RATE,SPEC_OPERATION_RATE,OVERALL_EQUIPMENT_EFFICIENCY,TARGET_AVAILABLE_RATE,AVAILABLE_HOURS,KAKO_CNT,AVAILABLE_RATE,HURYOU_RATE,CHOKO_RATE,KANKEN_NG_RATE,SYUTUKEN_NG_RATE,DIRECT_MANHOURS,TOTAL_MANHOURS,TOTAL_TIME,DIRECT_TIME,INDIRECT_TIME,NOTES,KANRIBAN_STAFF_CD,CREATE_STAFF_CD,CREATE_TIME,UPDATE_STAFF_CD,UPDATE_TIME,FIRST_SERIAL_NO,KANSEI_SHOUNIN_STAFF,AUTHOR,PDF_NAME,HUB_CD
NH11,AS2610,A,M01,2023/9/12 0:00,2,690,429,2023/9/12 22:00,2023/9/13 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y07201,94.59,100.26,94.84,< NULL >,0,474,94.84,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/12 8:01,22027,2023/9/13 18:20,23J2U06728,22027,29700,< NULL >,IN000
NH12,AS2650,A,M01,2023/9/12 0:00,1,750,488,2023/9/12 8:30,2023/9/12 18:30,0,0,< NULL >,< NULL >,0,0,0,0,23J2U06787,99.51,94.03,93.57,< NULL >,0,532,93.57,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/12 8:02,22027,2023/9/12 20:11,23J2U06259,22027,43099,< NULL >,IN000
NH11,AS2650,A,M01,2023/9/13 0:00,2,690,429,2023/9/13 22:00,2023/9/14 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2U08208,99.37,100.67,100.04,< NULL >,0,500,100.04,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/13 8:01,22027,2023/9/14 15:30,23J2Y07710,22027,33728,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/13 0:00,1,750,374,2023/9/13 8:30,2023/9/13 18:30,0,0,< NULL >,< NULL >,0,0,0,0,23J2U07648,86.31,99.98,86.29,< NULL >,0,376,86.29,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,39320,M01,2023/9/13 8:01,39320,2023/9/13 19:33,23J2Y07202,22027,39320,< NULL >,IN000
NH11,AS2610,A,M01,2023/9/13 0:00,2,690,429,2023/9/13 22:00,2023/9/14 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2U08148,99.74,100.3,100.04,< NULL >,0,500,100.04,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/13 8:00,22027,2023/9/14 15:30,23J2U07649,22027,29700,< NULL >,IN000
NH12,AS2650,A,M01,2023/9/13 0:00,1,750,374,2023/9/13 8:30,2023/9/13 18:30,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y07709,100,86.29,86.29,< NULL >,0,376,86.29,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,39320,M01,2023/9/13 8:02,39320,2023/9/13 18:30,23J2Y07261,22027,43099,< NULL >,IN000
NH11,AS2650,A,M01,2023/9/14 0:00,2,690,429,2023/9/14 22:00,2023/9/15 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y09161,100,90.03,90.03,< NULL >,0,450,90.03,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/14 8:01,22027,2023/9/15 13:10,23J2Y08708,22027,33728,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/14 0:00,1,750,429,2023/9/14 8:30,2023/9/14 17:20,0,0,< NULL >,< NULL >,0,0,0,0,23J2U08648,98.9,100.54,99.44,< NULL >,0,497,99.44,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,39320,M01,2023/9/14 8:02,39320,2023/9/14 19:38,23J2U08149,22027,39320,< NULL >,IN000
NH11,AS2610,A,M01,2023/9/14 0:00,2,690,429,2023/9/14 22:00,2023/9/15 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2U09098,89.84,100.22,90.03,< NULL >,0,450,90.03,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/14 8:00,22027,2023/9/15 13:10,23J2U08649,22027,29700,< NULL >,IN000
NH12,AS2650,A,M01,2023/9/14 0:00,1,750,429,2023/9/14 8:30,2023/9/14 17:20,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y08707,100,99.44,99.44,< NULL >,0,497,99.44,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,39320,M01,2023/9/14 8:02,39320,2023/9/14 18:44,23J2U08210,22027,43099,< NULL >,IN000
NH11,AS2650,A,M01,2023/9/15 0:00,2,690,429,2023/9/15 22:00,2023/9/16 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y09946,100,97.84,97.84,< NULL >,0,489,97.84,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/15 8:01,22027,2023/9/18 17:30,23J2U09465,22027,33728,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/15 0:00,1,750,429,2023/9/15 8:30,2023/9/15 17:20,0,0,< NULL >,< NULL >,0,0,0,0,23J2U09398,59.32,100.84,59.82,< NULL >,0,299,59.82,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/15 8:01,22027,2023/9/15 18:53,23J2U09099,22027,39320,< NULL >,IN000
NH11,AS2610,A,M01,2023/9/15 0:00,2,690,429,2023/9/15 22:00,2023/9/16 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2U09886,97.58,100.27,97.84,< NULL >,0,489,97.84,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/15 8:00,22027,2023/9/18 17:29,23J2U09399,22027,29700,< NULL >,IN000
NH12,AS2650,A,M01,2023/9/15 0:00,1,750,504,2023/9/15 8:30,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,23J2U09464,100,50.92,50.92,< NULL >,0,299,50.92,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,39320,M01,2023/9/15 8:02,39320,2023/9/15 19:16,23J2Y09163,22027,< NULL >,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/16 0:00,1,750,0,2023/9/16 8:30,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/16 8:02,SYS_TT,2023/9/16 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2650,A,M01,2023/9/16 0:00,2,690,0,2023/9/16 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/16 8:02,SYS_TT,2023/9/16 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2610,A,M01,2023/9/16 0:00,2,690,0,2023/9/16 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/16 8:01,SYS_TT,2023/9/16 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH12,AS2650,A,M01,2023/9/16 0:00,1,750,0,2023/9/16 8:30,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/16 8:03,SYS_TT,2023/9/16 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/17 0:00,2,690,0,2023/9/17 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/17 8:02,SYS_TT,2023/9/17 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2610,A,M01,2023/9/17 0:00,1,750,0,2023/9/17 8:30,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/17 8:00,SYS_TT,2023/9/17 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2650,A,M01,2023/9/17 0:00,1,750,0,2023/9/17 8:30,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/17 8:02,SYS_TT,2023/9/17 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
