,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
125,9036340A010    ,2023,36,15.0,109.0,106.0,日本精工（株）,21.6625,0.16,1.34,1.55,2.255,2.545,0.76,0.8930819563047576,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,112,1.1800000000000002,0.20999999999999996,0.7049999999999998,0.29000000000000004,1.2049999999999998,0.09,1.5855263157894735,1.3492602683250299,5.539526832083093,1.2460255075729483
126,9036340A010    ,2023,37,15.0,107.0,102.0,日本精工（株）,22.375,0.12,1.32,1.55,2.24,2.62,0.76,0.8930819563047576,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,89,1.2000000000000002,0.22999999999999998,0.6900000000000002,0.3799999999999999,1.3,0.09,1.7105263157894737,1.4556334845000325,5.363128491620111,1.242171371072674
127,9036340A010    ,2023,38,15.0,96.0,100.0,日本精工（株）,20.95,0.11,1.32,1.54,2.2350000000000003,2.62,0.76,0.8930819563047576,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,98,1.21,0.21999999999999997,0.6950000000000003,0.3849999999999998,1.3,0.09,1.7105263157894737,1.4556334845000325,5.727923627684963,1.2486552370507897
128,9036345A004    ,2023,36,16.0,35.0,47.0,岡谷鋼機（株）,9.944444444444443,0.13,2.46,2.71,5.6850000000000005,5.8,0.87,1.1694344016857048,3,TP341ﾌﾀﾅｼ,1,6,4.92,52,2.33,0.25,2.9750000000000005,0.11499999999999932,3.34,0.0,3.839080459770115,2.8560815341035712,16.30680960289899,0.8666713249424441
129,9036345A004    ,2023,37,12.0,39.0,46.0,岡谷鋼機（株）,9.944444444444443,0.14,2.45,2.815,5.805,5.970000000000001,0.87,1.1694344016857048,3,TP341ﾌﾀﾅｼ,1,6,4.92,50,2.31,0.36499999999999977,2.9899999999999998,0.16500000000000092,3.5200000000000005,0.0,4.045977011494253,3.0100020958217284,12.230107202174244,0.8342175557545587
130,9036345A004    ,2023,38,12.0,37.0,44.0,岡谷鋼機（株）,9.944444444444443,0.13,2.44,2.85,5.725,5.93,0.87,1.1694344016857048,3,TP341ﾌﾀﾅｼ,1,6,4.92,48,2.31,0.41000000000000014,2.8749999999999996,0.20500000000000007,3.4899999999999998,0.0,4.011494252873563,2.984348668868702,12.230107202174244,0.8342175557545587
131,9036628A005    ,2023,36,8.0,30.0,31.0,（株）ジェイテクト,6.0,0.09,2.03,2.35,5.14,5.68,0.81,1.2903202134756504,3,TP341ﾌﾀﾅｼ,1,6,4.92,35,1.9399999999999997,0.3200000000000003,2.7899999999999996,0.54,3.65,0.0,4.506172839506172,2.8287551895108547,13.513513513513514,0.5400474365991607
132,9036628A005    ,2023,37,6.0,33.0,30.0,（株）ジェイテクト,5.6,0.09,2.02,2.29,4.82,5.12,0.81,1.2903202134756504,3,TP341ﾌﾀﾅｼ,1,6,4.92,33,1.93,0.27,2.5300000000000002,0.2999999999999998,3.1,0.0,3.82716049382716,2.4025044075297672,10.85907335907336,0.49700114922187655
133,9036628A005    ,2023,38,5.0,30.0,28.0,（株）ジェイテクト,6.2,0.09,2.02,2.65,4.87,5.125,0.81,1.2903202134756504,3,TP341ﾌﾀﾅｼ,1,6,4.92,30,1.93,0.6299999999999999,2.22,0.2549999999999999,3.105,0.0,3.833333333333333,2.406379414638686,8.173496076721882,0.5253850609865025
134,9036628A006    ,2023,36,7.0,20.0,23.0,（株）ジェイテクト,4.5,0.09,2.03,2.35,5.69,6.05,0.81,1.4504269513008672,3,TP341ﾌﾀﾅｼ,1,6,4.92,25,1.9399999999999997,0.3200000000000003,3.3400000000000003,0.35999999999999943,4.02,0.0,4.962962962962962,2.771597698453217,15.765765765765764,0.41814096785911287
135,9036628A006    ,2023,37,4.0,24.0,23.0,（株）ジェイテクト,4.2,0.09,2.02,2.28,4.82,5.33,0.81,1.4504269513008672,3,TP341ﾌﾀﾅｼ,1,6,4.92,25,1.93,0.2599999999999998,2.5400000000000005,0.5099999999999998,3.31,0.0,4.086419753086419,2.282086662159241,9.652509652509652,0.37869787878012495
136,9036628A006    ,2023,38,4.0,22.0,21.0,（株）ジェイテクト,4.8,0.09,2.02,2.34,4.84,5.41,0.81,1.4504269513008672,3,TP341ﾌﾀﾅｼ,1,6,4.92,24,1.93,0.31999999999999984,2.5,0.5700000000000003,3.39,0.0,4.185185185185185,2.3372428352627876,8.445945945945946,0.4216764488005014
137,9036628A007    ,2023,36,11.0,33.0,33.0,（株）ジェイテクト,7.4305555555555545,0.09,2.03,2.35,5.31,5.71,0.81,1.2199060631938514,3,TP341ﾌﾀﾅｼ,1,6,4.92,37,1.9399999999999997,0.3200000000000003,2.9599999999999995,0.40000000000000036,3.68,0.0,4.54320987654321,3.016625714905741,15.00378883556454,0.6621024717338913
138,9036628A007    ,2023,37,8.0,37.0,31.0,（株）ジェイテクト,7.6805555555555545,0.09,2.02,2.62,5.11,5.37,0.81,1.2199060631938514,3,TP341ﾌﾀﾅｼ,1,6,4.92,35,1.93,0.6000000000000001,2.49,0.2599999999999998,3.35,0.0,4.135802469135802,2.7461130828625633,10.556668784516885,0.654622209630439
139,9036628A007    ,2023,38,9.0,32.0,31.0,（株）ジェイテクト,7.097222222222222,0.09,2.02,2.34,5.64,5.9,0.81,1.2199060631938514,3,TP341ﾌﾀﾅｼ,1,6,4.92,33,1.93,0.31999999999999984,3.3,0.2600000000000007,3.8800000000000003,0.0,4.790123456790123,3.1805727646288795,12.852382715396413,0.6254293660819353
140,9036628A008    ,2023,36,8.0,24.0,24.0,（株）ジェイテクト,5.35,0.09,2.03,2.4749999999999996,5.765000000000001,6.035,0.81,1.379313976658127,3,TP341ﾌﾀﾅｼ,1,6,4.92,26,1.9399999999999997,0.44499999999999984,3.290000000000001,0.2699999999999996,4.005000000000001,0.0,4.944444444444445,2.903617354551515,15.155342258145998,0.49036106675775176
141,9036628A008    ,2023,37,6.0,26.0,23.0,（株）ジェイテクト,5.53,0.09,2.02,2.4349999999999996,5.24,5.800000000000001,0.81,1.379313976658127,3,TP341ﾌﾀﾅｼ,1,6,4.92,26,1.93,0.4149999999999996,2.8050000000000006,0.5600000000000005,3.7800000000000007,0.0,4.666666666666667,2.7404927840710926,10.996529983871755,0.49201715892908965
142,9036628A008    ,2023,38,7.0,22.0,23.0,（株）ジェイテクト,4.945,0.09,2.02,2.4749999999999996,5.285,5.76,0.81,1.379313976658127,3,TP341ﾌﾀﾅｼ,1,6,4.92,24,1.93,0.4549999999999996,2.8100000000000005,0.47499999999999964,3.7399999999999998,0.0,4.617283950617283,2.711492860430128,14.34700625802749,0.4540023343625369
