,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程
145,3548255A010    ,2023,38,4.0,7.0,8.0,サトープレス工業（株）,1.6483333333333334,0.12,2.95,3.155,5.77,5.8900000000000015,0.82,2.527941929974381,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,8,2.83,0.20500000000000007,2.615,0.12000000000000098,2.9400000000000004,0.0,3.585365853658537,1.1630013985447027,19.41354903943377,0.20092375662109424,97.085,450.0,4.TA・カバー・メイン
146,35482TFA010    ,2023,38,1.0,2.0,0.0,サトープレス工業（株）,0.192,0.12,2.94,3.145,3.93,10.035,0.82,8.825336891260841,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,2,2.82,0.20500000000000007,0.7850000000000001,6.105,7.0950000000000015,0.0,8.652439024390246,0.8039353157187369,41.66666666666666,0.023966868201398383,97.085,450.0,4.TA・カバー・メイン
147,35556ECB010    ,2023,38,3.0,18.0,17.0,（株）ギフ加藤製作所,3.6,0.15,2.07,2.5,5.0,5.27,0.9,1.7005336891260838,3,TP341ﾌﾀﾅｼ,1,6,4.92,17,1.92,0.43000000000000016,2.5,0.2699999999999996,3.2,0.12,3.555555555555556,1.8817621905770665,8.445945945945946,0.32516990860089057,97.085,450.0,4.TA・カバー・メイン
148,35580ECB011    ,2023,38,78.0,309.0,284.0,アイシン精機（株）,64.0,0.2,1.18,2.05,5.02,5.23,0.91,0.9580320213475648,3,サンボックス＃２０Ｂフタナシ,1,2,1.82,312,0.98,0.8699999999999999,2.97,0.21000000000000085,4.050000000000002,0.14,4.4505494505494525,4.227416109018238,8.643617021276594,1.7790502996627275,97.085,450.0,8.ファイナル後半
149,35595ECB010    ,2023,38,8.0,47.0,43.0,サトープレス工業（株）,9.6,0.12,1.95,2.19,4.5,4.74,0.82,1.1402134756504336,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,47,1.83,0.24,2.31,0.2400000000000002,2.79,0.0,3.4024390243902443,2.446910214254789,6.666666666666666,0.8379888268156425,97.085,450.0,4.TA・カバー・メイン
150,35771ECB010    ,2023,38,26.5,431.0,433.0,アイシン機工（株）,96.0,0.39,1.16,1.35,1.56,1.73,0.7,0.7320213475650433,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,450,0.7699999999999999,0.1900000000000001,0.21,0.16999999999999993,0.5700000000000001,0.07,0.8142857142857144,0.7786658160940492,2.208333333333333,0.8546089760816985,97.085,450.0,2.MGケース
151,35771ECE010    ,2023,38,52.0,364.0,372.0,アイシン機工（株）,82.41666666666667,0.38,1.16,1.36,2.705,2.925,0.7,0.7341588385994876,3,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9.0,388,0.7799999999999999,0.20000000000000007,1.345,0.21999999999999967,1.765,0.07,2.521428571428572,2.4041118994998256,5.0475227502527815,2.6707152769656024,97.085,450.0,2.MGケース
152,41310ECB010    ,2023,38,57.5,802.0,862.0,（株）オンド,180.0,0.19,1.2,1.46,1.78,1.93,1.1,1.1160106737825215,3,TP341ﾌﾀﾅｼ,1,6,4.92,871,1.01,0.26,0.3200000000000001,0.1499999999999999,0.73,0.05,0.6636363636363636,0.6541156076274733,3.2376126126126117,1.3613458821020077,97.085,450.0,1.デフ・大物ギヤ・Brg
153,41310ECE010    ,2023,38,145.0,1047.0,1123.0,（株）オンド,255.5,0.19,1.13,1.53,2.395,2.545,1.1,1.1113862795331626,3,TP341ﾌﾀﾅｼ,1,6,4.92,1142,0.94,0.4000000000000001,0.865,0.1499999999999999,1.415,0.05,1.2863636363636364,1.2731846937991445,5.7518379436187645,2.372763763708959,97.085,450.0,1.デフ・大物ギヤ・Brg
154,5040056001E    ,2023,38,5.0,32.0,26.0,サトープレス工業（株）,6.0,0.12,1.94,2.16,2.95,5.34,0.82,1.3003202134756504,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,35,1.82,0.2200000000000002,0.79,2.39,3.4,0.0,4.146341463414634,2.6147405575677976,6.666666666666668,0.590551181102362,97.085,450.0,3.ギヤサブ・共通部品
155,82824ECE010    ,2023,38,14.0,67.0,63.0,住友電装（株）,11.355555555555556,1.46,5.425,5.37,6.285,6.765,0.78,1.0361912894961571,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,54,3.965,-0.054999999999999716,0.915,0.4799999999999995,1.34,0.0,1.7179487179487176,1.2931975143813148,9.863013698630136,1.0550367163788772,97.085,450.0,2.MGケース
156,9025006A007    ,2023,38,2.0,16.0,17.0,（株）ギフ加藤製作所,3.6,0.23,2.07,2.49,4.6,5.0,0.9,1.7005336891260838,3,TP341ﾌﾀﾅｼ,1,6,4.92,11,1.84,0.4200000000000004,2.1099999999999994,0.4000000000000004,2.93,0.12,3.2555555555555555,1.7229885057471268,5.63063063063063,0.3119817870091909,97.085,450.0,2.MGケース
157,9033904A002    ,2023,38,2.0,3.0,3.0,サトープレス工業（株）,0.957,0.12,1.94,3.46,5.75,7.03,0.82,4.147048907618942,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,5,1.82,1.52,2.29,1.2800000000000002,5.09,0.0,6.207317073170732,1.2273788212742494,16.718913270637408,0.11760545920854955,97.085,450.0,4.TA・カバー・メイン
158,9033904A003    ,2023,38,3.0,4.0,3.0,サトープレス工業（株）,0.422,0.13,1.95,2.13,9.1,13.49,0.82,8.825336891260841,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,1,1.82,0.17999999999999994,6.97,4.3900000000000015,11.54,0.0,14.07317073170732,1.3075988080893903,56.87203791469192,0.05263283667392203,97.085,450.0,3.ギヤサブ・共通部品
159,9034118060,2023,38,7.0,7.0,8.0,住友商事（株）鉄鋼部輸送機材,1.7033333333333334,0.2,4.88,5.14,7.51,8.85,0.94,2.6479419299743805,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,9,4.68,0.2599999999999998,2.37,1.34,3.97,0.0,4.223404255319149,1.499277591800667,32.87671232876712,0.20965797030570266,97.085,450.0,2.MGケース
