,品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(土),2(日),3(月),4(火),5(水),6(木),7(金),8(土),9(日),10(月),11(火),12(水),13(木),14(金),15(土),16(日),17(月),18(火),19(水),20(木),21(金),22(土),23(日),24(月),25(火),26(水),27(木),28(金),29(土),30(日),Unnamed: 69,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(土).1,2(日).1,3(月).1,4(火).1,5(水).1,6(木).1,7(金).1,8(土).1,9(日).1,10(月).1,11(火).1,12(水).1,13(木).1,14(金).1,15(土).1,16(日).1,17(月).1,18(火).1,19(水).1,20(木).1,21(金).1,22(土).1,23(日).1,24(月).1,25(火).1,26(水).1,27(木).1,28(金).1,29(土).1,30(日).1,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量
20,90930-03179,, A,"PLUG, BREATHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１．５フタナシ,500,  0.85,3,1,6,5.76,,,,,"18,034",20,"17,549",18,"22,219",22,"22,736",21,0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,,"18,034","17,549","22,219","22,736",0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,1,01, 3.05,   4.110
21,91551-80614,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３２フタナシ,"1,500",  0.87,3,1,6,5.76,,,,,"87,126",20,"85,278",18,"108,148",22,"109,818",21,0,0,"4,288","4,300","4,024","4,300","4,300",0,0,"4,252","4,252","4,276","4,252","4,264",0,0,"4,360","4,672","4,348","4,672","4,072",0,0,"4,374","4,686","4,362","4,698","4,374",0,0,,"87,126","85,278","108,148","109,818",0,0,"4,288","4,300","4,024","4,300","4,300",0,0,"4,252","4,252","4,276","4,252","4,264",0,0,"4,360","4,672","4,348","4,672","4,072",0,0,"4,374","4,686","4,362","4,698","4,374",0,0,1,02, 6.20,   1.940
22,91551-80640,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,Aﾊﾟﾚﾌﾀﾅｼ,"1,000",  0.63,3,1,6,5.76,,,,,"36,068",20,"35,098",18,"44,438",22,"45,472",21,0,0,"1,790","1,790","1,676","1,790","1,790",0,0,"1,790","1,790","1,790","1,790","1,790",0,0,"1,790","1,914","1,790","1,914","1,676",0,0,"1,790","1,914","1,790","1,914","1,790",0,0,,"36,068","35,098","44,438","45,472",0,0,"1,790","1,790","1,676","1,790","1,790",0,0,"1,790","1,790","1,790","1,790","1,790",0,0,"1,790","1,914","1,790","1,914","1,676",0,0,"1,790","1,914","1,790","1,914","1,790",0,0,1,24,19.68, 138.900
23,91611-40614,,,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP341ﾌﾀﾅｼ,"2,500",  0.78,3,1,6,5.76,,,,,"288,544",20,"280,784",18,"355,504",22,"363,776",21,0,0,"14,320","14,320","13,408","14,320","14,320",0,0,"14,320","14,320","14,320","14,320","14,320",0,0,"14,320","15,312","14,320","15,312","13,408",0,0,"14,320","15,312","14,320","15,312","14,320",0,0,,"288,544","280,784","355,504","363,776",0,0,"14,320","14,320","13,408","14,320","14,320",0,0,"14,320","14,320","14,320","14,320","14,320",0,0,"14,320","15,312","14,320","15,312","13,408",0,0,"14,320","15,312","14,320","15,312","14,320",0,0,1,06, 4.92,  10.500
24,91671-80618,,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３４１フタナシ,"1,000",  0.78,3,1,6,5.76,,,,,"54,102",20,"52,647",18,"66,657",22,"68,208",21,0,0,"2,685","2,685","2,514","2,685","2,685",0,0,"2,685","2,685","2,685","2,685","2,685",0,0,"2,685","2,871","2,685","2,871","2,514",0,0,"2,685","2,871","2,685","2,871","2,685",0,0,,"54,102","52,647","66,657","68,208",0,0,"2,685","2,685","2,514","2,685","2,685",0,0,"2,685","2,685","2,685","2,685","2,685",0,0,"2,685","2,871","2,685","2,871","2,514",0,0,"2,685","2,871","2,685","2,871","2,685",0,0,1,06, 4.92,   9.600
25,G1163-ECB010,,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP341ﾌﾀﾅｼ,80,  0.78,3,1,6,5.76,,,,,"12,225",20,"11,880",18,"15,012",22,"12,624",21,0,0,504,504,468,504,504,0,0,486,486,522,486,504,0,0,702,762,702,744,648,0,0,723,765,705,783,723,0,0,,"12,225","11,880","15,012","12,624",0,0,504,504,468,504,504,0,0,486,486,522,486,504,0,0,702,762,702,744,648,0,0,723,765,705,783,723,0,0,1,06, 4.92,  10.500
26,G1163-ECE010,,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP341ﾌﾀﾅｼ,100,  0.78,3,1,6,5.76,,,,,"41,877",20,"40,767",18,"51,645",22,"55,584",21,0,0,"2,181","2,181","2,046","2,181","2,181",0,0,"2,199","2,199","2,163","2,199","2,181",0,0,"1,983","2,109","1,983","2,127","1,866",0,0,"1,962","2,106","1,980","2,088","1,962",0,0,,"41,877","40,767","51,645","55,584",0,0,"2,181","2,181","2,046","2,181","2,181",0,0,"2,199","2,199","2,163","2,199","2,181",0,0,"1,983","2,109","1,983","2,127","1,866",0,0,"1,962","2,106","1,980","2,088","1,962",0,0,1,06, 4.92,  10.500
27,35145-ECE020,,,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,30,（株）浅賀井製作所,1,安城工場,――,Ｍ,1,第１,1Y,安城第１工場,TP341ﾌﾀﾅｼ,100,  0.78,3,1,4,6.88,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,06, 4.92,  10.500
28,35174-ECB010,, A,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,30,（株）浅賀井製作所,1,安城工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,20,  0.50,3,1,4,6.88,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,02, 1.06,   9.850
29,35174-ECE010,,,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,30,（株）浅賀井製作所,1,安城工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３４１フタナシ,40,  0.78,3,1,4,6.88,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,06, 4.92,   9.600
