,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数,便Ave,仕入先名_アイシン機工（株）,仕入先名_アイシン精機（株）,仕入先名_サトープレス工業（株）,仕入先名_サンコール（株）,仕入先名_マレリ（株）,仕入先名_ミズショー（株）,仕入先名_三共鋼業（株）,仕入先名_住友商事（株）鉄鋼部輸送機材,仕入先名_住友電装（株）,仕入先名_佐藤工業（株）,仕入先名_岡谷鋼機（株）,仕入先名_愛産樹脂工業（株）,仕入先名_新光ゴム工業（株）,仕入先名_日本精工（株）,仕入先名_（株）オンド,仕入先名_（株）ギフ加藤製作所,仕入先名_（株）ジェイテクト,仕入先名_（株）ニフコ,仕入先名_（株）バルカー,仕入先名_（株）旭工業所,仕入先名_（株）槌屋,仕入先名_（株）浅賀井製作所,箱種類_TP341ﾌﾀﾅｼ,箱種類_サンボックス＃２０Ｂフタナシ,箱種類_サンボックス＃９Ｆフタナシ,箱種類_ＴＰ３４１フタナシ,箱種類_ＴＰ３４２フタアリ,箱種類_ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,箱種類_ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,使用工程_1.デフ・大物ギヤ・Brg,使用工程_2.MGケース,使用工程_3.ギヤサブ・共通部品,使用工程_4.TA・カバー・メイン,使用工程_7.ファイナル前半,使用工程_8.ファイナル後半,年＆週番号_2023-36,年＆週番号_2023-37,年＆週番号_2023-38
10,33490ECB010    ,2023,37,39.0,444.0,436.0,84.0,0.15,4.07,4.25,4.9,5.03,1.02,1.0520213475650433,3.0,1.0,6.0,4.92,486.0,3.92,0.17999999999999972,0.6500000000000004,0.1299999999999999,0.96,0.23,0.9411764705882352,0.9125290111478904,4.705598455598455,1.7026405171469268,93.505,462.0,-0.2777777777777778,-0.6595744680851063,-0.054474708171206254,497.0,5.916666666666668,0.8933601609657947,0.981981981981982,1.1146788990825691,0.977867203219316,14.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11,33490ECB010    ,2023,38,46.0,410.0,432.0,96.0,0.15,2.32,2.61,4.93,5.065,1.02,1.0520213475650433,3.0,1.0,6.0,4.92,470.0,2.17,0.29000000000000004,2.32,0.1349999999999998,2.745,0.23,2.6911764705882355,2.609262641250999,4.856418918918919,1.7929236400984951,97.085,450.0,0.17948717948717952,1.859375,-0.03292181069958844,408.0,4.25,1.0049019607843137,1.053658536585366,1.087962962962963,1.1519607843137254,16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,33490ECE010    ,2023,36,98.0,605.0,620.0,133.75,0.32,2.31,2.64,5.115,5.27,1.02,1.042772559066325,3.0,1.0,6.0,4.92,680.0,1.99,0.3300000000000001,2.475,0.15499999999999936,2.9599999999999995,0.23,2.9019607843137254,2.8385863957240267,7.426117706491537,2.6919168930391844,97.81,480.0,0.0,0.0,0.0,651.0,4.867289719626168,0.9293394777265744,1.0247933884297522,1.0967741935483872,1.0445468509984641,22.29166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
13,33490ECE010    ,2023,37,74.5,592.0,588.0,138.25,0.15,4.07,4.38,5.02,5.21,1.02,1.042772559066325,3.0,1.0,6.0,4.92,647.0,3.92,0.3099999999999996,0.6399999999999997,0.1900000000000004,1.1399999999999997,0.23,1.117647058823529,1.093239355109929,5.461609891989638,2.1035822799653037,93.505,462.0,-0.2397959183673469,-0.6148648648648649,-0.04852941176470593,666.0,4.817359855334539,0.8888888888888888,0.9932432432432432,1.1003401360544218,0.9714714714714716,23.04166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14,33490ECE010    ,2023,38,92.0,546.0,574.0,127.75,0.15,2.32,2.59,5.14,5.3,1.02,1.042772559066325,3.0,1.0,6.0,4.92,625.0,2.17,0.27,2.55,0.16000000000000014,2.98,0.23,2.92156862745098,2.857766033532973,7.298884011212777,2.6302209018806737,97.085,450.0,0.2348993288590604,1.6140350877192988,-0.03400309119010814,515.0,4.031311154598826,1.0601941747572816,1.051282051282051,1.088850174216028,1.2135922330097086,21.291666666666668,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15,34989ECB010    ,2023,37,2.0,2.0,2.0,0.342,0.255,3.475,3.87,14.32,17.295,0.88,8.24196319018405,3.0,1.0,6.0,4.92,2.0,3.22,0.3950000000000005,10.45,2.9750000000000014,13.820000000000002,0.0,15.704545454545455,1.6767849699279462,59.26979611190137,0.033701865415589075,93.505,462.0,0.0,0.0,0.0,2.0,5.847953216374267,1.0,1.0,1.0,1.0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
17,34989ECB020    ,2023,36,7.0,6.0,9.0,1.79,0.26,3.475,3.905,8.745000000000001,9.405,0.88,2.543524453809471,3.0,1.0,6.0,4.92,6.0,3.215,0.4300000000000006,4.840000000000002,0.6600000000000001,5.9300000000000015,0.0,6.738636363636365,2.331410649942272,39.634606673712824,0.17490188001450224,97.81,480.0,0.0,0.0,0.0,7.0,3.910614525139665,0.8571428571428571,1.5,0.6666666666666666,0.8571428571428571,0.2983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18,34989ECB020    ,2023,37,6.0,8.0,9.0,1.79,0.26,2.54,2.95,8.91,9.34,0.88,2.543524453809471,3.0,1.0,6.0,4.92,9.0,2.28,0.41000000000000014,5.96,0.4299999999999997,6.8,0.0,7.7272727272727275,2.673455720001256,33.97252000603956,0.17461985739025307,93.505,462.0,-0.1428571428571429,0.14671163575042126,0.5,8.0,4.46927374301676,1.0,1.125,1.0,1.125,0.2983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19,34989ECB020    ,2023,38,6.0,7.0,9.0,1.79,0.27,4.5,4.8,8.71,10.18,0.88,2.543524453809471,3.0,1.0,6.0,4.92,9.0,4.23,0.2999999999999998,3.910000000000001,1.4699999999999989,5.68,0.0,6.454545454545454,2.2331218367069314,33.97252000603956,0.17461985739025307,97.085,450.0,0.0,-0.16470588235294115,0.0,2.0,1.11731843575419,3.5,1.2857142857142858,1.0,4.5,0.2983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
21,34989ECB030    ,2023,37,4.0,4.0,4.0,0.895,0.26,4.5,4.85,11.31,13.0,0.88,4.207048907618941,3.0,1.0,6.0,4.92,3.0,4.24,0.34999999999999964,6.460000000000001,1.6899999999999995,8.5,0.0,9.659090909090908,2.020418632311725,45.29669334138608,0.08793023437786217,93.505,462.0,0.0,0.6129032258064517,0.0,4.0,4.46927374301676,1.0,1.0,0.75,0.75,0.14916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
