,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,,,,変更前）方率
110,G1250ECE010,0,20,26.66666667,0,0,0,0,6.666666667,46.66666667,0,0,2.272727273,2.272727273,13.63636364,11.36363636,15.90909091,6.818181818,47.72727273,0,-20,-24.39393939,2.272727273,13.63636364,11.36363636,15.90909091,0.151515152,1.060606061,"PIPE ASSY, MOTOR COOLING, NO.1",60,（株）バルカー,1,2,6.2,1Y,ＴＰ３３２フタナシ,0.022,1.64,手配,15,44,4.06,2.485,-1.575,1.698514185,2.361485815,1.000689655,1.484310345,41.52933333,45.90766667,40.01333333,44.44666667,,,,
76,9033904A002,0,0,0,0,0,100,0,0,0,0,0,0,0,0,33.33333333,0,66.66666667,0,0,0,0,0,0,-66.66666667,0,66.66666667,0,CAP,1000,サトープレス工業（株）,1,1,1.78,1Y,ＡＷ１３１フタナシ,0.006,0.97,手配,3,3,6.07,4.53,-1.54,4.258674372,1.811325628,1.736730336,2.793269664,5.82125,6.74625,3.88347,4.82887,,,,
50,82824ECB010,0,3.125,6.25,3.125,0,25,9.375,9.375,43.75,0,0,0,7.936507937,9.523809524,9.523809524,25.3968254,20.63492063,26.98412698,0,-3.125,-6.25,4.811507937,9.523809524,-15.47619048,16.0218254,11.25992063,-16.76587302,"CONNECTOR, WIRING HARNESS",32,矢崎総業（株）,1,1,1.79,1Y,ＴＰ３３１フタアリ,0.014,3.18,手配,32,63,2.76,1.27,-1.49,1.262616941,1.497383059,0.651971212,0.618028788,38.589375,51.076875,37.8184375,50.7371875,,,,
91,9036652A003,0,0,5.555555556,0,0,11.11111111,5.555555556,38.88888889,38.88888889,0,0,0,2.272727273,11.36363636,2.272727273,13.63636364,15.90909091,54.54545455,0,0,-5.555555556,2.272727273,11.36363636,-8.838383838,8.080808081,-22.97979798,15.65656566,"RACE, TAPERED ROLLER BEARING, INNER",60,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,11.98,手配,18,44,3.735,2.305,-1.43,1.368514185,2.366485815,0.690689655,1.614310345,28.39433333,37.151,26.27,35.13666667,,,,
58,9011906A065,0,25,0,0,0,25,25,0,25,0,0,0,0,0,23.07692308,15.38461538,23.07692308,38.46153846,0,-25,0,0,0,-1.923076923,-9.615384615,23.07692308,13.46153846,"BOLT, FLANGE W/WASHER",1000,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,11.83,手配,4,14,3.375,2,-1.375,2.026224791,1.348775209,0.905576779,1.094423221,10.35375,10.81625,8.51593,8.98863,,,,
5,2030052002N,0,0,0,25,0,25,25,25,0,0,13.33333333,0,6.666666667,20,13.33333333,20,20,6.666666667,0,13.33333333,0,-18.33333333,20,-11.66666667,-5,-5,6.666666667,"PLUG, W/HEAD STRAIGHT SCREW",300,（株）杉浦製作所,1,2,1.06,1Y,ＴＰ３３１フタナシ,0.012,9.85,手配,6,15,3.315,1.97,-1.345,1.948602312,1.366397688,1.514057302,0.455942698,10.70833333,12.25,10.87833333,12.454,,,,
32,35847ECB010,0,0,6.666666667,0,6.666666667,6.666666667,26.66666667,6.666666667,46.66666667,0,0,3.125,6.25,9.375,6.25,3.125,9.375,62.5,0,0,-3.541666667,6.25,2.708333333,-0.416666667,-23.54166667,2.708333333,15.83333333,"TUBE, TRANSAXLE LUBE APPLY",80,（株）メタルテック,1,1,1.9,1Y,ＴＰ３３２フタナシ,0.022,2.9,手配,15,32,3.85,2.51,-1.34,1.621542351,2.228457649,0.714928031,1.795071969,15.73725,20.73225,14.177125,19.344625,,,,
11,35145ECE020,0,0,0,0,25,0,25,25,25,0,0,3.703703704,14.81481481,7.407407407,7.407407407,14.81481481,7.407407407,44.44444444,0,0,3.703703704,14.81481481,-17.59259259,7.407407407,-10.18518519,-17.59259259,19.44444444,"PLATE, OIL",100,（株）浅賀井製作所,1,4,6.88,1Y,ＴＰ３３１フタナシ,0.012,1.2,手配,4,27,3.35,2.06,-1.29,1.660856974,1.689143026,0.851149425,1.208850575,20.0755,21.389,18.29,19.62,,,,
42,82821CWA030,0,0,0,0,0,0,0,20,80,0,0,0,0,0,4.347826087,8.695652174,13.04347826,73.91304348,0,0,0,0,0,4.347826087,8.695652174,-6.956521739,-6.086956522,"COVER, CONNECTOR",200,石黒ゴム工業（株）,1,2,3.64,1Y,ＴＰ３３２フタナシ,0.022,1.42,手配,5,23,6.04,4.79,-1.25,1.925946452,4.114053548,1.109059783,3.680940217,22.19375,24.50625,20.61705,22.98055,,,,
14,35174ECE020,0,0,20,0,0,0,20,20,40,0,16.66666667,3.333333333,0,0,6.666666667,6.666666667,26.66666667,40,0,16.66666667,-16.66666667,0,0,6.666666667,-13.33333333,6.666666667,0,"PLATE, OIL RESERVOIR LOCK",90,（株）浅賀井製作所,1,4,6.88,1Y,ＴＰ３３１フタナシ,0.012,1.795,手配,5,30,4.07,2.93,-1.14,1.602771277,2.467228723,1.173103448,1.756896552,21.389,22.84844444,21.62,23.09777778,,,,
