,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX
40,82125ECB010,0.0,0.0,0.0,11.11111111111111,11.11111111111111,11.11111111111111,44.44444444444444,11.11111111111111,11.11111111111111,0.0,0.0,9.523809523809524,9.523809523809524,4.761904761904762,4.761904761904762,0.0,9.523809523809524,61.904761904761905,0.0,0.0,9.523809523809524,-1.587301587301587,-6.349206349206349,-6.349206349206349,-44.44444444444444,-1.587301587301587,50.7936507936508,"WIRE, TRANSMISSION",100.0,矢崎総業（株）,1.0,1.0,1.79,1Y,ＴＰ３３２フタアリ,0.024,9.3,手配,9.0,21.0,2.89,3.1499999999999995,0.25999999999999934,1.7569279393173203,1.1330720606826798,0.8361600390339101,2.3138399609660896,14.5884,18.5844,12.9886,17.1226
41,82125ECE010,0.0,0.0,8.333333333333332,0.0,0.0,8.333333333333332,8.333333333333332,33.33333333333333,41.66666666666667,0.0,3.8461538461538463,3.8461538461538463,7.6923076923076925,0.0,7.6923076923076925,3.8461538461538463,26.923076923076923,46.15384615384615,0.0,3.8461538461538463,-4.4871794871794854,7.6923076923076925,0.0,-0.6410256410256396,-4.4871794871794854,-6.410256410256405,4.487179487179482,"WIRE, TRANSMISSION",100.0,矢崎総業（株）,1.0,1.0,1.79,1Y,ＴＰ３３２フタアリ,0.024,5.8,手配,12.0,26.0,4.705,2.285,-2.42,1.6108569744928034,3.0941430255071967,0.7811494252873564,1.5038505747126436,18.2366,23.4906,16.427999999999997,21.747999999999998
42,82821CWA030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,8.695652173913043,13.043478260869565,73.91304347826086,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,8.695652173913043,-6.9565217391304355,-6.08695652173914,"COVER, CONNECTOR",200.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ３３２フタナシ,0.022000000000000002,1.42,手配,5.0,23.0,6.04,4.79,-1.25,1.9259464519752856,4.114053548024715,1.1090597831920155,3.6809402168079846,22.193749999999998,24.506249999999998,20.61705,22.98055
43,82821ECB010,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0,33.33333333333333,58.333333333333336,0.0,0.0,0.0,-25.0,8.333333333333332,0.0,0.0,8.333333333333329,8.333333333333336,"COVER, CONNECTOR",400.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ３３２フタナシ,0.022000000000000002,3.01,手配,4.0,12.0,7.359999999999999,5.25,-2.1099999999999994,2.571469748724908,4.788530251275091,1.3879997853846975,3.8620002146153025,12.596874999999999,13.753124999999999,10.808525,11.990275
44,82821ECB020,0.0,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,14.285714285714285,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,25.0,66.66666666666666,0.0,0.0,-14.285714285714285,0.0,0.0,0.0,-5.9523809523809526,10.714285714285715,9.523809523809518,"COVER, CONNECTOR",200.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ１３１フタナシ,0.006,3.01,手配,7.0,24.0,6.670000000000001,4.85,-1.8200000000000012,1.9257348743624543,4.744265125637547,1.1489998926923493,3.7010001073076504,23.11875,25.43125,21.562450000000002,23.92595
45,82821ECB040,0.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,16.666666666666664,33.33333333333333,0.0,0.0,5.0,5.0,5.0,25.0,10.0,20.0,30.0,0.0,0.0,5.0,5.0,-11.666666666666664,25.0,-23.33333333333333,3.3333333333333357,-3.3333333333333286,"COVER, CONNECTOR",100.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ３４２フタナシ,0.033,3.3,手配,6.0,20.0,4.83,2.3,-2.5300000000000002,2.006927939317321,2.823072060682679,1.1471505245181748,1.152849475481825,19.5834,21.581400000000002,18.156100000000002,20.223100000000002
46,82821ECB050,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,6.382978723404255,36.17021276595745,57.446808510638306,0.0,0.0,0.0,0.0,0.0,0.0,-56.11702127659574,36.17021276595745,19.946808510638306,"COVER, CONNECTOR",100.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ３３２フタナシ,0.022000000000000002,3.1,手配,8.0,47.0,3.09,3.34,0.25,1.6029732259876412,1.4870267740123586,0.9695298915960058,2.3704701084039943,41.387499999999996,46.012499999999996,40.2341,44.9611
47,82821ECE010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.547169811320755,92.45283018867924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.452830188679245,12.452830188679243,"COVER, CONNECTOR",50.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ３３２フタナシ,0.022000000000000002,3.1,手配,10.0,53.0,6.675000000000001,5.8599999999999985,-0.8150000000000022,1.570501852475581,5.10449814752442,1.1705843471596895,4.689415652840309,59.217800000000004,64.4718,57.92400000000001,63.24400000000001
48,82821XAE010,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51063829787234,27.659574468085108,63.829787234042556,0.0,0.0,0.0,0.0,0.0,0.0,-21.48936170212766,17.659574468085108,3.8297872340425556,"COVER, CONNECTOR",100.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ１３１フタナシ,0.006,0.37,手配,11.0,47.0,4.86,3.76,-1.1000000000000005,1.6028674371812268,3.2571325628187733,1.0094999463461738,2.750500053653826,43.2375,47.8625,42.124900000000004,46.8519
49,82821XAE020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,25.0,0.0,-100.0,0.0,25.0,50.0,"COVER, CONNECTOR",400.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,ＴＰ３３２フタナシ,0.022000000000000002,1.42,手配,1.0,4.0,6.079999999999999,6.470000000000001,0.39000000000000146,4.18771175726928,1.8922882427307188,2.0786020980727007,4.3913979019273,7.04595,7.545450000000001,5.185675000000001,5.702425000000001
50,82824ECB010,0.0,3.125,6.25,3.125,0.0,25.0,9.375,9.375,43.75,0.0,0.0,0.0,7.936507936507936,9.523809523809524,9.523809523809524,25.396825396825395,20.634920634920633,26.984126984126984,0.0,-3.125,-6.25,4.811507936507936,9.523809523809524,-15.476190476190476,16.021825396825395,11.259920634920633,-16.765873015873016,"CONNECTOR, WIRING HARNESS",32.0,矢崎総業（株）,1.0,1.0,1.79,1Y,ＴＰ３３１フタアリ,0.013999999999999999,3.18,手配,32.0,63.0,2.76,1.2699999999999996,-1.4900000000000002,1.2626169405815404,1.4973830594184594,0.6519712124908509,0.6180287875091487,38.589375,51.076875,37.818437499999995,50.73718749999999
51,82824ECB020,0.0,0.0,9.375,14.0625,0.0,9.375,26.5625,15.625,25.0,0.0,0.0,0.0,1.694915254237288,9.322033898305085,9.322033898305085,14.40677966101695,29.66101694915254,35.59322033898305,0.0,0.0,-9.375,-12.367584745762713,9.322033898305085,-0.052966101694915224,-12.15572033898305,14.03601694915254,10.593220338983052,"CONNECTOR, WIRING HARNESS",40.0,矢崎総業（株）,1.0,1.0,1.79,1Y,ＴＰ３３１フタアリ,0.013999999999999999,5.7,手配,64.0,118.0,2.005,1.59,-0.4149999999999998,1.159146974872493,0.8458530251275069,0.6250692134349163,0.9649307865650838,70.0625,93.1875,69.5415,93.1765
52,9010506A003,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,80.0,"BOLT, FLANGE",2000.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,12.63,手配,1.0,5.0,7.72,10.47,2.750000000000001,4.584639696586598,3.1353603034134014,1.8008001951695538,8.669199804830447,5.077920000000001,5.211120000000001,3.14968,3.28748
53,9010506A089,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,28.57142857142857,28.57142857142857,14.285714285714285,0.0,0.0,0.0,-19.047619047619044,14.285714285714285,-66.66666666666666,28.57142857142857,28.57142857142857,14.285714285714285,"BOLT, FLANGE",1500.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,10.13,手配,3.0,7.0,4.23,5.44,1.21,3.3715057788592016,0.8584942211407989,3.035143255714132,2.4048567442858686,6.083333333333334,6.28888888888889,6.1513333333333335,6.361422222222222
54,9010508A014,0.0,0.0,0.0,32.407407407407405,43.51851851851852,1.8518518518518516,8.333333333333332,3.7037037037037033,10.185185185185185,0.0,0.0,0.2857142857142857,2.0,8.285714285714285,29.428571428571427,40.285714285714285,2.857142857142857,16.857142857142858,0.0,0.0,0.2857142857142857,-30.407407407407405,-35.232804232804234,27.576719576719576,31.952380952380953,-0.8465608465608461,6.6719576719576725,"BOLT, FLANGE",500.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,8.83,手配,108.0,355.0,1.0799999999999998,0.94,-0.1399999999999999,0.9927308082934988,0.08726919170650105,0.5847106581692807,0.35528934183071925,192.0108,203.67813333333334,196.04460000000003,207.96093333333337
55,9010508A042,0.0,0.0,9.090909090909092,36.36363636363637,9.090909090909092,9.090909090909092,18.181818181818183,18.181818181818183,0.0,0.0,6.0606060606060606,12.121212121212121,30.303030303030305,21.21212121212121,12.121212121212121,9.090909090909092,0.0,9.090909090909092,0.0,6.0606060606060606,3.0303030303030294,-6.060606060606062,12.12121212121212,3.0303030303030294,-9.090909090909092,-18.181818181818183,9.090909090909092,"BOLT, FLANGE",300.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,10.22,手配,11.0,33.0,1.56,0.69,-0.8700000000000001,1.3861567635903922,0.17384323640960786,0.6836960234203461,0.006303976579653869,20.649,21.759,19.2585,20.406833333333335
56,9010512A018,0.0,0.0,24.107142857142858,38.392857142857146,13.392857142857142,4.464285714285714,0.0,2.6785714285714284,16.964285714285715,0.0,0.3125,5.9375,18.4375,31.874999999999996,25.624999999999996,1.875,0.0,15.937499999999998,0.0,0.3125,-18.169642857142858,-19.955357142857146,18.482142857142854,21.16071428571428,1.875,-2.6785714285714284,-1.026785714285717,"BOLT, FLANGE",200.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.85,手配,112.0,324.0,0.935,0.95,0.014999999999999902,0.9968718157733784,-0.0618718157733783,0.7891327676566069,0.16086723234339306,174.4284,185.0104,243.47039999999998,254.30239999999998
57,9011906908,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,-75.0,0.0,0.0,25.0,"BOLT, W/WASHER",2000.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,15.83,手配,2.0,4.0,7.03,4.405000000000001,-2.624999999999999,5.421373489291384,1.608626510708616,5.235185571620212,-0.8301855716202109,4.78821,4.898593333333333,4.83438,4.947613333333334
58,9011906A065,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,15.384615384615385,23.076923076923077,38.46153846153847,0.0,-25.0,0.0,0.0,0.0,-1.9230769230769234,-9.615384615384615,23.076923076923077,13.461538461538467,"BOLT, FLANGE W/WASHER",1000.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,11.83,手配,4.0,14.0,3.375,2.0000000000000004,-1.3749999999999996,2.0262247906040898,1.3487752093959102,0.9055767786243155,1.0944232213756848,10.353750000000002,10.816250000000002,8.51593,8.98863
59,9014908A008,0.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,35.294117647058826,0.0,11.76470588235294,11.76470588235294,17.647058823529413,23.52941176470588,0.0,0.0,-25.0,35.294117647058826,0.0,11.76470588235294,-13.23529411764706,-7.352941176470587,-1.4705882352941195,SCREW,800.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,10.59,手配,4.0,17.0,3.51,1.2500000000000002,-2.26,1.810979832483272,1.6990201675167278,0.8204614228994526,0.42953857710054766,12.01875,12.596875,10.21765,10.808525000000001
60,9015905A007,0.0,0.0,0.0,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,15.384615384615385,30.76923076923077,7.6923076923076925,0.0,38.46153846153847,7.6923076923076925,0.0,0.0,0.0,-17.948717948717942,30.76923076923077,7.6923076923076925,-33.33333333333333,5.128205128205138,7.6923076923076925,"SCREW, W/WASHER",2000.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.43,手配,3.0,14.0,3.09,2.13,-0.96,2.0265774199588096,1.0634225800411903,1.6569722013523671,0.4730277986476328,10.353750000000002,10.816250000000002,10.51593,10.98863
61,9015906A021,0.0,9.090909090909092,0.0,27.27272727272727,9.090909090909092,27.27272727272727,0.0,18.181818181818183,9.090909090909092,0.0,12.903225806451612,16.129032258064516,3.225806451612903,12.903225806451612,25.806451612903224,9.67741935483871,6.451612903225806,12.903225806451612,0.0,3.8123167155425204,16.129032258064516,-24.046920821114366,3.8123167155425204,-1.4662756598240456,9.67741935483871,-11.730205278592377,3.8123167155425204,"SCREW, W/WASHER",1200.0,（株）青山製作所,1.0,6.0,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.71,手配,11.0,32.0,1.8799999999999997,1.28,-0.5999999999999996,1.4089800443458975,0.47101995565410215,1.000708090647812,0.27929190935218795,19.899133333333335,20.982411111111112,20.282633333333333,21.390494444444442
