かんばんシリアル,伝票番号,拠点所番地,品番,品名,収容数,仕入先名,仕入先工場名,ステータス,納入日,納入便,発注日時,印刷日時,検収日時,順立装置入庫日時,順立装置出庫日時,回収日時,発注印刷LT,発注検収LT,発注順立装置入庫LT,発注順立装置出庫LT,発注回収LT,更新日時,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT,平均日量数,基準在庫枚数日数,A,B,C,整備室,箱種,箱サイズ,箱重量,基準在庫日数,基準在庫枚数,手配区分,基準在庫日数（基準在庫枚数込み）,実績在庫日数,在庫状態
1Z23J00009745,XCEY580,30439,33490ECB010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/9/8,1,2023/9/6 0:27,2023/9/6 8:21,2023/9/8 7:56,2023/9/8 11:10,2023/9/9 1:13,2023/9/9 4:29,0.33,2.31,2.45,3.03,3.17,2023/9/12 13:23,1.98,0.14,0.58,0.14,0.86,390.3809524,0.030739205,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.82,3,手配,0.850739205,0.86,異常1
1Z23J00009746,XCEY580,30439,33490ECB010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/9/8,1,2023/9/6 0:27,2023/9/6 8:21,2023/9/8 7:56,2023/9/8 11:10,2023/9/9 4:06,2023/9/9 7:36,0.33,2.31,2.45,3.15,3.3,2023/9/12 13:23,1.98,0.14,0.7,0.15,0.99,390.3809524,0.030739205,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.82,3,手配,0.850739205,0.99,異常1
1Z23J00009747,XCEY580,30439,33490ECB010    ,ｵｲﾙｸｰﾗｰASSY                   ,4,マレリ（株）,澁澤倉庫,回収済,2023/9/8,1,2023/9/6 0:27,2023/9/6 8:21,2023/9/8 7:56,2023/9/8 11:41,2023/9/9 1:13,2023/9/9 4:29,0.33,2.31,2.47,3.03,3.17,2023/9/12 13:23,1.98,0.16,0.56,0.14,0.86,390.3809524,0.030739205,1,2,3.92,1Y,ＴＰ３３１．５フタアリ,0.019,0.019,0.82,3,手配,0.850739205,0.86,異常1
1Z23J00009760,XCEY460,40139,9036659A009    ,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｲﾝﾅｰ     ,36,（株）ジェイテクト,香川工場,回収済,2023/9/8,1,2023/9/6 8:46,2023/9/6 11:06,2023/9/8 9:11,2023/9/8 15:20,2023/9/9 4:34,2023/9/9 7:01,0.1,2.02,2.27,2.83,2.93,2023/9/12 13:23,1.92,0.25,0.56,0.1,0.91,887.5238095,0.040562292,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,9.88,0.59,1,手配,0.630562292,0.91,異常2
1Z23J00009761,XCEY460,40139,9036659A009    ,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｲﾝﾅｰ     ,36,（株）ジェイテクト,香川工場,回収済,2023/9/8,1,2023/9/6 8:46,2023/9/6 11:06,2023/9/8 9:11,2023/9/8 15:16,2023/9/9 0:48,2023/9/9 3:38,0.1,2.02,2.27,2.67,2.79,2023/9/12 13:23,1.92,0.25,0.4,0.12,0.77,887.5238095,0.040562292,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,9.88,0.59,1,手配,0.630562292,0.77,異常1
1Z23J00009778,XCEY480,40427,35771ECE010    ,ｼｬﾌﾄｱｳﾄﾌﾟｯﾄ                   ,6,アイシン機工（株）,吉良工場,回収済,2023/9/6,3,2023/9/5 14:12,2023/9/5 23:40,2023/9/6 18:40,2023/9/6 23:16,2023/9/7 14:34,2023/9/7 17:20,0.39,1.19,1.38,2.01,2.13,2023/9/10 13:22,0.8,0.19,0.63,0.12,0.94,497.1428571,0.024137931,1,6,4.92,1Y,ＴＰ３４１フタナシ,0.017,9.6,0.79,2,手配,0.814137931,0.94,異常1
1Z23J00009781,XCEY480,40427,35771ECE010    ,ｼｬﾌﾄｱｳﾄﾌﾟｯﾄ                   ,6,アイシン機工（株）,吉良工場,回収済,2023/9/6,3,2023/9/5 14:12,2023/9/5 23:40,2023/9/6 18:40,2023/9/6 23:07,2023/9/7 11:45,2023/9/7 16:01,0.39,1.19,1.37,1.9,2.08,2023/9/10 13:22,0.8,0.18,0.53,0.18,0.89,497.1428571,0.024137931,1,6,4.92,1Y,ＴＰ３４１フタナシ,0.017,9.6,0.79,2,手配,0.814137931,0.89,異常1
1Z23J00009797,XCET800,10480,9094906A012    ,ｸﾗﾝﾌﾟﾜｲﾔﾘﾝｸﾞ                  ,500,中庸スプリング（株）,< NULL >,回収済,2023/9/6,2,2023/9/5 12:18,2023/9/5 16:09,2023/9/6 20:44,2023/9/7 1:56,2023/9/7 16:55,2023/9/8 0:24,0.16,1.35,1.57,2.19,2.5,2023/9/11 13:23,1.19,0.22,0.62,0.31,1.15,3052.952381,0.491327677,1,2,2.34,1Y,AW131ﾌﾀﾅｼ,0.006,1.85,0.59,3,手配,1.081327677,1.15,異常1
1Z23J00009804,XCEY070,10252,9020156A002    ,ﾌﾟﾚｰﾄﾜｯｼｬ                     ,100,（株）ムロコーポレーション,< NULL >,回収済,2023/9/6,1,2023/9/6 6:33,2023/9/6 8:32,2023/9/7 2:39,2023/9/7 7:30,2023/9/7 17:39,2023/9/8 4:19,0.08,0.84,1.04,1.46,1.91,2023/9/11 13:23,0.76,0.2,0.42,0.45,1.07,497.1428571,0.201149425,1,1,0.73,1Y,ＴＰ１３１フタナシ,0.006,10.47,0.73,1,手配,0.931149425,1.07,異常1
1Z23J00009810,XCEY630,20490,82824ECB020    ,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,40,矢崎総業（株）,< NULL >,回収済,2023/9/8,1,2023/9/6 10:49,2023/9/6 14:02,2023/9/8 10:23,2023/9/8 15:34,2023/9/9 3:12,2023/9/9 6:02,0.13,1.98,2.2,2.68,2.8,2023/9/12 13:23,1.85,0.22,0.48,0.12,0.82,887.5238095,0.045069213,1,1,1.79,1Y,ＴＰ３３１フタアリ,0.014,5.7,0.58,1,手配,0.625069213,0.82,異常2
