品番,加工図符号,類別,品名,整備室,整備室名,手配区分,工程内外製,工程ｺｰﾄﾞ,仕入先名/工場名,発送場所,発送場所名,受給区分,資材区分,後工程内外製,後工程ｺｰﾄﾞ,後工程仕入先名/工場名,受入場所,受入場所名,中継区分,中継工場,中継場所,中継場所名,納入ｻｲｸﾙ間隔,納入ｻｲｸﾙ回数,納入ｻｲｸﾙ情報,基準在庫日数,基準在庫枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率,かんばん情報.仕入先,かんばん情報.仕入先名,かんばん情報.背番号,かんばん情報.工場置場所,かんばん情報.拠点置場所,かんばん情報.品名略ｺｰﾄﾞ,かんばん情報.品名略名,かんばん情報.通箱ｺｰﾄﾞ,かんばん情報.通箱名,かんばん情報収容数,かんばん情報.ｺﾝﾍﾞｱ区分,かんばん情報.ﾌﾞﾛｯｸ区分,かんばん情報.専用品区分,かんばん情報.不良率,かんばん情報.保証率,かんばん情報.設変符号,かんばん情報.部品大別区分,かんばん情報.部品大別名称,かんばん情報.発注形態区分,かんばん情報.発注形態名称,かんばん情報.PLコード,登録箱種,縦(mm),横(mm),高(mm),容積(m3),総重量(Kg),パレタイズ発注,箱数,設定計画NO,設定日,設定担当部署コード,担当部署名,設定担当者コード,担当者名
1040 043 104R,1040043104R,,"PIN, STRAIGHT",1Y,第１工場,手配,Ｐ,1014,（株）ギフ加藤製作所,1,本社工場（ＡＷ発行拠点）,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.8,0.9,3,1.11,1.11,1.1,0.5,15,（株）ギフ加藤製作所,1,M-3,10127,434,ﾋﾟﾝｽﾄﾚ-ﾄ,51,AW-131 ｾﾝﾖｳ,1000,,,,0,0.5,,8,専用,1,後補充,,AW131ﾌﾀﾅｼ,165,330,100,0.005,13.4,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
1040 052 001Z,1040052001Z,,"PLUG, W/HEAD STRAIGHT SCREW",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,27,R-3-1,10373,722,ﾌﾟﾗｸﾞ ｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-,12,TP-131 ﾊﾝﾖｳ,200,,,,0,0.5,,8,専用,1,後補充,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.27,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
1040 113 002P,1040113002P,,"PLUG, TIGHT",1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.78,0.82,3,1.03,1.03,1.1,0.5,25,サトープレス工業（株）,10,,,525,ﾌﾟﾗｸﾞ ﾀｲﾄ,12,TP-131 ﾊﾝﾖｳ,200,,,,0,0.5,,,,,,,AW131ﾌﾀﾅｼ,165,335,105,0.006,1.4,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
1040 132 124M,1040132124M,,"BEARING, NEEDLE ROLLER",1Y,第１工場,手配,Ｐ,4287,日本精工（株）,2,三河分室,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,8,9,0.76,3,0.97,0.97,1.1,0.5,59,日本精工（株）,7,,,1311,ﾍﾞｱﾘﾝｸﾞ,64,T-10 ｾﾝﾖｳ,1800,,,,0,0.5,,,,,,,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,390,260,145,0.015,5.4,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
1040 183 011P,1040183011P,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,3,I1-11,20369,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,500,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,9.38,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
2030 044 001J,2030044001J,,"SEAL, TYPE T OIL",1Y,第１工場,手配,Ｐ,4241,ＮＯＫ（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.52,0.8,3,1.01,1.01,1.1,0.5,47,ＮＯＫ（株）,1,S-SM-1-1,10412,441,ｼｰﾙﾀｲﾌﾟTｵｲﾙ,12,TP-131 ﾊﾝﾖｳ,400,,,,0,0.5,,8,専用,1,後補充,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.68,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
2030 045 013L,2030045013L,,GASKET,1Y,第１工場,手配,Ｐ,226,伊藤金属工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.96,0.84,3,1.05,1.05,1.1,0.5,2,伊藤金属工業（株）,1,M-ST-1,20442,450,ｶﾞｽｹﾂﾄ,14,TP-331 ﾊﾝﾖｳ,2000,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,4.7,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
2030 052 002N,2030052002N,,"PLUG, W/HEAD STRAIGHT SCREW",1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,1.06,0.77,3,0.98,0.98,1.1,0.5,30,（株）杉浦製作所,1,M-ST-2,20363,521,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-,14,TP-331 ﾊﾝﾖｳ,300,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,9.85,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
3040 052 001B,3040052001B,,"PLUG, W/HEAD STRAIGHT SCREW",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,4,R-6-1,20379,521,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-,14,TP-331 ﾊﾝﾖｳ,500,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,11.97,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
33490-ECA010,33490ECA010,,"COOLER ASSY, OIL",1Y,第１工場,手配,Ｐ,1042,マレリ（株）,4,澁澤倉庫,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.92,1.02,3,1.23,1.23,1.1,0.5,207,マレリ（株）,3,,,9000,ｵｲﾙｸｰﾗｰASSY,56,TP-331-5 ﾊﾝﾖｳ,4,,,,0,0.5,,,,,,,TP331.5ﾌﾀｱﾘ,335,335,149,0.017,0.019,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
