品番,加工図符号,類別,品名,整備室,整備室名,手配区分,工程内外製,工程ｺｰﾄﾞ,仕入先名/工場名,発送場所,発送場所名,受給区分,資材区分,後工程内外製,後工程ｺｰﾄﾞ,後工程仕入先名/工場名,受入場所,受入場所名,中継区分,中継工場,中継場所,中継場所名,納入ｻｲｸﾙ間隔,納入ｻｲｸﾙ回数,納入ｻｲｸﾙ情報,基準在庫日数,基準在庫枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率,かんばん情報.仕入先,かんばん情報.仕入先名,かんばん情報.背番号,かんばん情報.工場置場所,かんばん情報.拠点置場所,かんばん情報.品名略ｺｰﾄﾞ,かんばん情報.品名略名,かんばん情報.通箱ｺｰﾄﾞ,かんばん情報.通箱名,かんばん情報収容数,かんばん情報.ｺﾝﾍﾞｱ区分,かんばん情報.ﾌﾞﾛｯｸ区分,かんばん情報.専用品区分,かんばん情報.不良率,かんばん情報.保証率,かんばん情報.設変符号,かんばん情報.部品大別区分,かんばん情報.部品大別名称,かんばん情報.発注形態区分,かんばん情報.発注形態名称,かんばん情報.PLコード,登録箱種,縦(mm),横(mm),高(mm),容積(m3),総重量(Kg),パレタイズ発注,箱数,設定計画NO,設定日,設定担当部署コード,担当部署名,設定担当者コード,担当者名
90564-47A050,9056447A050,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,27,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A051,9056447A051,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,28,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A052,9056447A052,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,29,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A053,9056447A053,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,30,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A054,9056447A054,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,31,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A055,9056447A055,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,32,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A056,9056447A056,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,33,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A057,9056447A057,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,34,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A058,9056447A058,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,35,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A059,9056447A059,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,36,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A060,9056447A060,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,37,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A061,9056447A061,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,38,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A062,9056447A062,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,39,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A063,9056447A063,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,40,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-47A064,9056447A064,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,41,,,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,1.41,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-50A001,9056450A001,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,102,S-SM-1-52,10147,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-50A002,9056450A002,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,103,S-SM-1-38,10148,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-50A003,9056450A003,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,104,S-SM-1-39,10149,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.6,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-50A004,9056450A004,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,105,S-SM-1-40,10150,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.7,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-50A005,9056450A005,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,106,S-SM-1-41,10151,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-50A006,9056450A006,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,107,S-SM-1-42,10152,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-50A007,9056450A007,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,108,S-SM-1-43,10153,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-50A008,9056450A008,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,109,S-SM-1-53,10154,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-50A009,9056450A009,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,110,S-SM-1-54,10155,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A066,9056451A066,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,111,S-SM-3-28,10156,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A067,9056451A067,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,112,S-SM-3-29,10157,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A068,9056451A068,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,113,S-SM-3-30,10158,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A069,9056451A069,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,114,S-SM-3-31,10159,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A070,9056451A070,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,115,S-SM-3-32,10160,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A071,9056451A071,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,116,S-SM-3-33,10161,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A072,9056451A072,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,117,S-SM-3-34,10162,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A073,9056451A073,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,118,S-SM-3-35,10163,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A074,9056451A074,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,119,S-SM-3-36,10164,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A075,9056451A075,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,120,S-SM-3-37,10165,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A076,9056451A076,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,121,S-SM-3-38,10166,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A077,9056451A077,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,122,S-SM-3-39,10167,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A078,9056451A078,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,123,S-SM-3-40,10168,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A079,9056451A079,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,124,S-SM-3-41,10169,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A080,9056451A080,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,125,S-SM-3-42,10170,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.68,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A081,9056451A081,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,126,S-SM-3-43,10171,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.68,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A082,9056451A082,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,127,S-SM-3-44,10172,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.68,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A083,9056451A083,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,128,S-SM-3-45,10173,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.68,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A084,9056451A084,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,129,S-SM-3-46,10174,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.68,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A085,9056451A085,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,130,S-SM-1-20,10175,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.68,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A086,9056451A086,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,131,S-SM-1-21,10176,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.68,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A087,9056451A087,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,132,S-SM-1-22,10177,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.68,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A088,9056451A088,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,133,S-SM-1-23,10178,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,4.68,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
90564-51A089,9056451A089,,SHIM,1Y,第１工場,手配,Ｐ,6454,（株）ムロコーポレーション,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5,205,（株）ムロコーポレーション,134,S-SM-1-24,10179,370,ｼﾑ,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,6,計画,2,計画・２社,,TP131ﾌﾀﾅｼ,335,168,103,0.006,6.5,しない,,MASTER01,2022/4/19,NE00,１工工務Ｇ,46548,長畑　玲奈
