,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）基準在庫日数,変更後）基準在庫日数,
131,G1250ECB010,0,0,16.66666667,16.66666667,16.66666667,5.555555556,16.66666667,11.11111111,16.66666667,0,0,23.80952381,4.761904762,4.761904762,9.523809524,9.523809524,14.28571429,33.33333333,0,0,7.142857143,-11.9047619,-11.9047619,3.968253968,-7.142857143,3.174603175,16.66666667,"PIPE ASSY, MOTOR COOLING, NO.1",18,21,2.555,1.78,-0.775,1.904921769,0.650078231,1.120497018,0.659502982,19.6025,21.51083333,19.6615,21.8065,60,（株）バルカー,1,2,6.2,1Y,TP332ﾌﾀﾅｼ,0.022,1.94,手配,0.87,0.87,0
71,9010508A042,0,2.941176471,14.70588235,23.52941176,8.823529412,2.941176471,14.70588235,23.52941176,8.823529412,0,6.060606061,12.12121212,30.3030303,21.21212121,12.12121212,9.090909091,0,9.090909091,0,3.11942959,-2.584670232,6.773618538,12.3885918,9.180035651,-5.614973262,-23.52941176,0.267379679,"BOLT, FLANGE",34,33,1.4,0.69,-0.71,1.167876823,0.232123177,0.683696023,0.006303977,21.762,22.942,19.2585,20.40683333,300,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.22,手配,0.53,0.53,0
89,9030119A011,0,10,5,15,5,5,25,15,20,0,0,4.761904762,19.04761905,9.523809524,4.761904762,9.523809524,14.28571429,38.0952381,0,-10,-0.238095238,4.047619048,4.523809524,-0.238095238,-15.47619048,-0.714285714,18.0952381,"RING, O",20,21,2.755,2.07,-0.685,1.513128039,1.241871961,0.796160039,1.273839961,14.4696,16.5936,12.1618,14.2288,200,ＮＯＫ（株）,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.58,手配,0.54,0.54,0
90,9031150A014,0,0,1.785714286,8.928571429,8.928571429,17.85714286,30.35714286,17.85714286,14.28571429,0,0,1.754385965,8.771929825,8.771929825,17.54385965,24.56140351,12.28070175,26.31578947,0,0,-0.031328321,-0.156641604,-0.156641604,-0.313283208,-5.795739348,-5.576441103,12.03007519,"SEAL, TYPE T OIL",56,57,1.755,1.11,-0.645,1.061336853,0.693663147,0.634645348,0.475354652,34.12071429,39.88380952,31.38785714,37.0152381,84,ＮＯＫ（株）,1,2,3.52,1Y,ｻﾝﾎﾞｯｸｽ＃24Bﾌﾀﾅｼ,0.021,5.258,手配,0.54,0.54,0
126,G1163ECB010,0,2.380952381,7.142857143,21.42857143,26.19047619,2.380952381,19.04761905,14.28571429,7.142857143,0,6.666666667,15.55555556,24.44444444,31.11111111,11.11111111,4.444444444,0,6.666666667,0,4.285714286,8.412698413,3.015873016,4.920634921,8.73015873,-14.6031746,-14.28571429,-0.476190476,"BOLT, MOTOR STATOR YOKE",42,46,1.295,0.67,-0.625,1.079965231,0.215034769,0.651332008,0.018667992,26.18625,27.6175,27.06175,28.6705,80,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,7.438,手配,0.54,0.54,0
120,9155180614,0,0,13.33333333,33.33333333,13.33333333,0,26.66666667,0,13.33333333,0,18.75,12.5,12.5,6.25,12.5,6.25,25,6.25,0,18.75,-0.833333333,-20.83333333,-7.083333333,12.5,-20.41666667,25,-7.083333333,"BOLT, FLANGE",15,16,1.76,1.935,0.175,1.69776174,0.06223826,1.579055284,0.355944716,11.50032,12.02503111,11.29512,11.80716444,1500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.13,手配,0.54,0.54,0
26,35195TFG010,0,0,7.142857143,7.142857143,0,0,14.28571429,42.85714286,28.57142857,0,0,0,7.692307692,0,0,7.692307692,7.692307692,76.92307692,0,0,-7.142857143,0.549450549,0,0,-6.593406593,-35.16483516,48.35164835,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",14,13,4.37,3.76,-0.61,1.923771218,2.446228782,1.022298851,2.737701149,11.4227,14.1397,9.246,11.906,400,三共鋼業（株）,1,1,1.74,1Y,TP131ﾌﾀﾅｼ,0.006,3.88,手配,0.62,0.62,0
114,9036659A009,0,0,0,3.125,9.375,16.40625,21.09375,25.78125,24.21875,0,0,1.538461538,6.153846154,15.38461538,15.38461538,11.53846154,16.92307692,33.07692308,0,0,1.538461538,3.028846154,6.009615385,-1.021634615,-9.555288462,-8.858173077,8.858173077,"RACE, TAPERED ROLLER BEARING, INNER",128,130,1.855,1.26,-0.595,0.922001508,0.932998492,0.630562292,0.629437708,83.68333333,110.5777778,78.47027778,104.7313889,36,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,9.88,手配,0.6,0.59,0.01
112,9036658A001,0,0,2.222222222,13.33333333,13.33333333,4.444444444,31.11111111,22.22222222,13.33333333,0,0,2.173913043,8.695652174,17.39130435,8.695652174,21.73913043,8.695652174,32.60869565,0,0,-0.048309179,-4.637681159,4.057971014,4.251207729,-9.371980676,-13.52657005,19.27536232,"RACE, TAPERED ROLLER BEARING, INNER",45,46,1.87,1.28,-0.59,1.130907618,0.739092382,0.685272018,0.594727982,30.376,39.816,27.182,36.36866667,45,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,9.79,手配,0.58,0.57,0.01
42,35595ECB010,0,0,16,6,12,8,20,16,22,0,0,0,15.68627451,11.76470588,3.921568627,21.56862745,9.803921569,37.25490196,0,0,-16,9.68627451,-0.235294118,-4.078431373,1.568627451,-6.196078431,15.25490196,"BRACKET, PARKING LOCK PAWL",50,51,1.905,1.32,-0.585,1.105251216,0.799748784,0.672464016,0.647535984,33.267,43.887,30.45475,40.78975,40,サトープレス工業（株）,1,1,1.78,1Y,TP331ﾌﾀﾅｼ,0.012,2.47,手配,0.57,0.57,0
