品番,品名,整備室,仕入先名/工場名,間口(vlook),間口,通箱名,かんばん情報.収容数,登録箱種,納入ｻｲｸﾙ.間隔,納入ｻｲｸﾙ.回数,納入ｻｲｸﾙ.情報,基準在庫.日数,基準在庫.枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率
9033106A003,"PLUG, TIGHT",1Y,サトープレス工業（株）,A1,A1,AW-131,5000,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
9033106A006,"PLUG, TIGHT",1Y,サトープレス工業（株）,A1,A1,TP-131,500,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
9033128A001,"PLUG, TIGHT",1Y,サトープレス工業（株）,A1,A1,TP-331,500,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
9033904A002,CAP,1Y,サトープレス工業（株）,A1,A1,AW-131,1000,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
9033904A003,CAP,1Y,サトープレス工業（株）,A1,A1,AW-131,2000,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
35145ECA010,"PLATE, OIL",1Y,三共鋼業（株）,A1,A1,AW-131,150,TP131ﾌﾀﾅｼ,1,1,1.74,1.03,3,1.03,1.03,1.1,0.5
35145ECB010,"PLATE, OIL",1Y,三共鋼業（株）,A1,A1,AW-131,100,TP131ﾌﾀﾅｼ,1,1,1.74,1.03,3,1.03,1.03,1.1,0.5
35145ECE010,"PLATE, OIL",1Y,三共鋼業（株）,A1,A1,AW-131,100,TP131ﾌﾀﾅｼ,1,1,1.74,1.03,3,1.03,1.03,1.1,0.5
35195ECE010,"CLAMP, TUBE",1Y,三共鋼業（株）,A1,A1,TP-131,400,TP131ﾌﾀﾅｼ,1,1,1.74,1.03,3,1.03,1.03,1.1,0.5
35195TFG010,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",1Y,三共鋼業（株）,A1,A1,TP-131,400,TP131ﾌﾀﾅｼ,1,1,1.74,1.03,3,1.03,1.03,1.1,0.5
35257ECA010,"PLATE, OIL GUIDE",1Y,三共鋼業（株）,A1,A1,TP-331,100,TP131ﾌﾀﾅｼ,1,1,1.74,1.03,3,1.03,1.03,1.1,0.5
35285ECA010,"CLAMP, SOLENOID",1Y,三共鋼業（株）,A1,A1,TP-131,500,TP131ﾌﾀﾅｼ,1,1,1.74,1.03,3,1.03,1.03,1.1,0.5
9046214A008,CLAMP,1Y,三共鋼業（株）,A1,A1,TP-331,100,TP131ﾌﾀﾅｼ,1,1,1.74,1.03,3,1.03,1.03,1.1,0.5
9046214A009,CLAMP,1Y,三共鋼業（株）,A1,A1,TP-331,100,TP131ﾌﾀﾅｼ,1,1,1.74,1.03,3,1.03,1.03,1.1,0.5
35771ECB010,"SHAFT, OUTPUT",1Y,アイシン機工（株）,B1,B1,TP-341,4,TP341ﾌﾀﾅｼ,1,6,4.92,0.91,3,0.91,0.91,1.1,0.5
35771ECE010,"SHAFT, OUTPUT",1Y,アイシン機工（株）,B1,B1,TP-341,6,TP341ﾌﾀﾅｼ,1,6,4.92,0.91,3,0.91,0.91,1.1,0.5
35141ECA020,"CASE, TRANSAXLE",1Y,（株）アイシン福井,0,0,Aﾊﾟﾚ,6,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,0.83,3,0.83,0.83,1.1,0.5
35141ECB010,"CASE, TRANSAXLE",1Y,（株）アイシン福井,0,0,Aﾊﾟﾚ,16,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,0.83,3,0.83,0.83,1.1,0.5
35141ECE010,"CASE, TRANSAXLE",1Y,（株）アイシン福井,0,0,Aﾊﾟﾚ,20,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,0.84,3,0.84,0.84,1.1,0.5
39171ECA040,"COVER, MOTOR HOUSING",1Y,（株）アイシン福井,0,0,Aﾊﾟﾚ,36,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,0.83,3,0.83,0.83,1.1,0.5
39171ECB010,"COVER, MOTOR HOUSING",1Y,（株）アイシン福井,0,0,Aﾊﾟﾚ,16,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,0.83,3,0.83,0.83,1.1,0.5
