品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(木),2(金),3(土),4(日),5(月),6(火),7(水),8(木),9(金),10(土),11(日),12(月),13(火),14(水),15(木),16(金),17(土),18(日),19(月),20(火),21(水),22(木),23(金),24(土),25(日),26(月),27(火),28(水),29(木),30(金),,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(木),2(金),3(土),4(日),5(月),6(火),7(水),8(木),9(金),10(土),11(日),12(月),13(火),14(水),15(木),16(金),17(土),18(日),19(月),20(火),21(水),22(木),23(金),24(土),25(日),26(月),27(火),28(水),29(木),30(金)
90119-06908,9011906908, A,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.54,3,1,6,5.76,,,,,"30,469",22,"29,801",21,"24,374",18,"29,421",21,"1,315","1,353",0,0,"1,316","1,460","1,310","1,468","1,314",0,0,"1,471","1,330","1,479","1,328","1,359",0,0,"1,332","1,486","1,372","1,483","1,276",0,0,"1,357","1,474","1,356","1,480","1,350",,"30,469","29,801","24,374","29,421","1,315","1,353",0,0,"1,316","1,460","1,310","1,468","1,314",0,0,"1,471","1,330","1,479","1,328","1,359",0,0,"1,332","1,486","1,372","1,483","1,276",0,0,"1,357","1,474","1,356","1,480","1,350"
90119-06A065,9011906A065,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,6,5.76,,,,,"63,642",22,"62,754",21,"50,925",18,"60,618",21,"2,757","2,835",0,0,"2,757","3,084","2,760","3,087","2,754",0,0,"3,081","2,760","3,087","2,757","2,841",0,0,"2,760","3,087","2,838","3,081","2,637",0,0,"2,838","3,087","2,835","3,084","2,835",,"63,642","62,754","50,925","60,618","2,757","2,835",0,0,"2,757","3,084","2,760","3,087","2,754",0,0,"3,081","2,760","3,087","2,757","2,841",0,0,"2,760","3,087","2,838","3,081","2,637",0,0,"2,838","3,087","2,835","3,084","2,835"
90148-60027,9014860027, B,"SCREW, HEX LOBULAR",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.56,3,1,6,5.76,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90149-08A008,9014908A008, B,SCREW,使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,800,0.52,3,1,6,5.76,,,,,"63,642",22,"62,754",21,"50,925",18,"60,618",21,"2,757","2,835",0,0,"2,757","3,084","2,760","3,087","2,754",0,0,"3,081","2,760","3,087","2,757","2,841",0,0,"2,760","3,087","2,838","3,081","2,637",0,0,"2,838","3,087","2,835","3,084","2,835",,"63,642","62,754","50,925","60,618","2,757","2,835",0,0,"2,757","3,084","2,760","3,087","2,754",0,0,"3,081","2,760","3,087","2,757","2,841",0,0,"2,760","3,087","2,838","3,081","2,637",0,0,"2,838","3,087","2,835","3,084","2,835"
90159-05A007,9015905A007,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.53,3,1,6,5.76,,,,,"127,260",22,"125,484",21,"101,826",18,"121,236",21,"5,514","5,670",0,0,"5,514","6,168","5,520","6,174","5,508",0,0,"6,162","5,520","6,168","5,508","5,676",0,0,"5,514","6,174","5,676","6,162","5,274",0,0,"5,676","6,174","5,670","6,168","5,670",,"127,260","125,484","101,826","121,236","5,514","5,670",0,0,"5,514","6,168","5,520","6,174","5,508",0,0,"6,162","5,520","6,168","5,508","5,676",0,0,"5,514","6,174","5,676","6,162","5,274",0,0,"5,676","6,174","5,670","6,168","5,670"
90159-06A021,9015906A021,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,200",0.52,3,1,6,5.76,,,,,"178,933",22,"176,193",21,"143,165",18,"170,863",21,"7,748","7,968",0,0,"7,749","8,656","7,750","8,671","7,740",0,0,"8,660","7,770","8,674","7,752","7,979",0,0,"7,764","8,689","7,994","8,672","7,429",0,0,"7,979","8,677","7,971","8,676","7,965",,"178,933","176,193","143,165","170,863","7,748","7,968",0,0,"7,749","8,656","7,750","8,671","7,740",0,0,"8,660","7,770","8,674","7,752","7,979",0,0,"7,764","8,689","7,994","8,672","7,429",0,0,"7,979","8,677","7,971","8,676","7,965"
90159-06A022,9015906A022,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.51,3,1,6,5.76,,,,,"318,180",22,"313,740",21,"254,595",18,"303,090",21,"13,785","14,175",0,0,"13,785","15,420","13,800","15,435","13,770",0,0,"15,405","13,800","15,435","13,785","14,190",0,0,"13,785","15,435","14,190","15,405","13,185",0,0,"14,190","15,435","14,175","15,420","14,175",,"318,180","313,740","254,595","303,090","13,785","14,175",0,0,"13,785","15,420","13,800","15,435","13,770",0,0,"15,405","13,800","15,435","13,785","14,190",0,0,"13,785","15,435","14,190","15,405","13,185",0,0,"14,190","15,435","14,175","15,420","14,175"
90159-06A023,9015906A023, A,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,300",0.52,3,1,6,5.76,,,,,"63,630",22,"62,742",21,"50,913",18,"60,618",21,"2,757","2,835",0,0,"2,757","3,084","2,760","3,087","2,754",0,0,"3,081","2,760","3,084","2,754","2,838",0,0,"2,757","3,087","2,838","3,081","2,637",0,0,"2,838","3,087","2,835","3,084","2,835",,"63,630","62,742","50,913","60,618","2,757","2,835",0,0,"2,757","3,084","2,760","3,087","2,754",0,0,"3,081","2,760","3,084","2,754","2,838",0,0,"2,757","3,087","2,838","3,081","2,637",0,0,"2,838","3,087","2,835","3,084","2,835"
90341-14A004,9034114A004,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.5,3,1,6,5.76,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
90341-18A024,9034118A024,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,200,0.52,3,1,6,5.76,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
90930-03179,9093003179, A,"PLUG, BREATHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.5,3,1,6,5.76,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
91551-80614,9155180614,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.54,3,1,6,5.76,,,,,"103,366",22,"101,438",21,"82,698",18,"99,254",21,"4,468","4,596",0,0,"4,470","4,976","4,460","4,994","4,464",0,0,"4,996","4,500","5,016","4,494","4,612",0,0,"4,504","5,030","4,636","5,020","4,310",0,0,"4,606","5,006","4,602","5,016","4,590",,"103,366","101,438","82,698","99,254","4,468","4,596",0,0,"4,470","4,976","4,460","4,994","4,464",0,0,"4,996","4,500","5,016","4,494","4,612",0,0,"4,504","5,030","4,636","5,020","4,310",0,0,"4,606","5,006","4,602","5,016","4,590"
91551-80640,9155180640,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.54,3,1,6,5.76,,,,,"42,428",22,"41,836",21,"33,950",18,"40,412",21,"1,838","1,890",0,0,"1,838","2,056","1,840","2,058","1,836",0,0,"2,054","1,840","2,058","1,838","1,894",0,0,"1,840","2,058","1,892","2,054","1,758",0,0,"1,892","2,058","1,890","2,056","1,890",,"42,428","41,836","33,950","40,412","1,838","1,890",0,0,"1,838","2,056","1,840","2,058","1,836",0,0,"2,054","1,840","2,058","1,838","1,894",0,0,"1,840","2,058","1,892","2,054","1,758",0,0,"1,892","2,058","1,890","2,056","1,890"
91611-40614,9161140614,,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,500",0.52,3,1,6,5.76,,,,,"339,424",22,"334,688",21,"271,600",18,"323,296",21,"14,704","15,120",0,0,"14,704","16,448","14,720","16,464","14,688",0,0,"16,432","14,720","16,464","14,704","15,152",0,0,"14,720","16,464","15,136","16,432","14,064",0,0,"15,136","16,464","15,120","16,448","15,120",,"339,424","334,688","271,600","323,296","14,704","15,120",0,0,"14,704","16,448","14,720","16,464","14,688",0,0,"16,432","14,720","16,464","14,704","15,152",0,0,"14,720","16,464","15,136","16,432","14,064",0,0,"15,136","16,464","15,120","16,448","15,120"
91671-80618,9167180618,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,6,5.76,,,,,"63,642",22,"62,754",21,"50,925",18,"60,618",21,"2,757","2,835",0,0,"2,757","3,084","2,760","3,087","2,754",0,0,"3,081","2,760","3,087","2,757","2,841",0,0,"2,760","3,087","2,838","3,081","2,637",0,0,"2,838","3,087","2,835","3,084","2,835",,"63,642","62,754","50,925","60,618","2,757","2,835",0,0,"2,757","3,084","2,760","3,087","2,754",0,0,"3,081","2,760","3,087","2,757","2,841",0,0,"2,760","3,087","2,838","3,081","2,637",0,0,"2,838","3,087","2,835","3,084","2,835"
G1163-ECB010,G1163ECB010,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,80,0.54,3,1,6,5.76,,,,,"15,531",22,"14,382",21,"12,915",18,"17,112",21,666,702,0,0,687,756,666,777,684,0,0,720,672,720,669,657,0,0,696,774,720,774,669,0,0,684,738,693,741,666,,"15,531","14,382","12,915","17,112",666,702,0,0,687,756,666,777,684,0,0,720,672,720,669,657,0,0,696,774,720,774,669,0,0,684,738,693,741,666
G1163-ECE010,G1163ECE010,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,100,0.53,3,1,6,5.76,,,,,"48,111",22,"48,372",21,"38,010",18,"43,506",21,"2,091","2,133",0,0,"2,070","2,328","2,094","2,310","2,070",0,0,"2,361","2,088","2,367","2,088","2,184",0,0,"2,064","2,313","2,118","2,307","1,968",0,0,"2,154","2,349","2,142","2,343","2,169",,"48,111","48,372","38,010","43,506","2,091","2,133",0,0,"2,070","2,328","2,094","2,310","2,070",0,0,"2,361","2,088","2,367","2,088","2,184",0,0,"2,064","2,313","2,118","2,307","1,968",0,0,"2,154","2,349","2,142","2,343","2,169"
35145-ECE020,35145ECE020,,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,30,（株）浅賀井製作所,1,安城工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,100,0.65,3,1,4,6.88,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
35174-ECB010,35174ECB010, A,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,30,（株）浅賀井製作所,1,安城工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,20,0.87,3,1,4,6.88,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
35174-ECE010,35174ECE010,,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,30,（株）浅賀井製作所,1,安城工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,40,0.87,3,1,4,6.88,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
35174-ECE020,35174ECE020,,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,30,（株）浅賀井製作所,1,安城工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,90,0.63,3,1,4,6.88,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
35312-ECB010,35312ECB010,,"COVER, TRANSMISSION, OIL PUMP",使用中,かんばん,1Y,第１工場,手配,Ｐ,38,（株）旭工業所,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,63,0.59,3,1,1,1.9,,,,,"9,255",22,"8,883",21,"7,399",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,255","8,883","7,399","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,412,0,0,412,457,426,456,397,0,0,411,445,411,452,405
01912-ECB040,01912ECB040, A,"CAP, SHIPPING",使用中,かんばん,1Y,第１工場,手配,Ｐ,155,愛産樹脂工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-342 ﾊﾝﾖｳ,50,0.25,3,1,1,2.12,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
01912-8GA010,019128GA010, C,"CAP, SHIPPING",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-342 ﾊﾝﾖｳ,50,1.07,3,1,2,3.64,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
01912-ECB010,01912ECB010, A,"CAP, SHIPPING",使用中,かんばん,1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,300,0.85,3,1,2,3.64,,,,,"42,420",22,"41,828",21,"33,942",18,"40,412",21,"1,838","1,890",0,0,"1,838","2,056","1,840","2,058","1,836",0,0,"2,054","1,840","2,056","1,836","1,892",0,0,"1,838","2,058","1,892","2,054","1,758",0,0,"1,892","2,058","1,890","2,056","1,890",,"42,420","41,828","33,942","40,412","1,838","1,890",0,0,"1,838","2,056","1,840","2,058","1,836",0,0,"2,054","1,840","2,056","1,836","1,892",0,0,"1,838","2,058","1,892","2,054","1,758",0,0,"1,892","2,058","1,890","2,056","1,890"
