,品番,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更後）かんばん数,変更後）社内LT,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更後）基準在庫日数
130,9056463A035,0.0,0.0,0.0,0.0,0.0,33.33333333333333,22.22222222222222,22.22222222222222,"WIRE, TRANSMISSION",6.0,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1.0,5.0,2.75,1Y,TP332ﾌﾀｱﾘ,0.024,4.31,手配,11.0,1.61,0.9299999999999999,0.6800000000000002,0.0,3.0,3.0,0.93
131,9056463A036,0.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,"COVER, CONNECTOR",200.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,1.42,手配,7.0,1.31,0.93,0.38,0.0,3.0,3.0,0.93
132,9093003179,0.0,0.0,7.6923076923076925,15.384615384615385,0.0,15.384615384615385,15.384615384615385,15.384615384615385,"COVER, CONNECTOR",400.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,3.01,手配,13.0,2.17,1.1974997317308722,0.9725002682691277,18638.0,19.638,20.880533333333336,0.5
133,9094906A012,1.1627906976744187,6.976744186046512,11.627906976744185,13.953488372093023,17.441860465116278,16.27906976744186,19.767441860465116,19.767441860465116,"COVER, CONNECTOR",200.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP131ﾌﾀﾅｼ,0.006,3.01,手配,86.0,1.34,1.0813276765660087,0.2586723234339914,64112.0,78.65216,91.47456,0.59
134,9155180614,0.0,16.216216216216218,18.91891891891892,18.91891891891892,8.108108108108109,18.91891891891892,18.91891891891892,18.91891891891892,"COVER, CONNECTOR",100.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP342ﾌﾀﾅｼ,0.033,3.3,手配,38.0,1.5500000000000005,1.5790552843383028,-0.02905528433830229,90948.0,35.74128,37.76234666666667,0.54
135,9155180640,0.0,0.0,54.54545454545454,18.181818181818183,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,"COVER, CONNECTOR",100.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,3.1,手配,12.0,1.5700000000000005,2.230095503809422,-0.6600955038094216,37276.0,23.129040000000003,24.371573333333338,0.54
136,9161140614,0.0,7.954545454545454,21.59090909090909,22.727272727272727,20.454545454545457,14.772727272727273,9.090909090909092,9.090909090909092,"COVER, CONNECTOR",50.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,3.1,手配,89.0,0.9850000000000001,1.0481548449404425,-0.06315484494044243,298208.0,65.027264,69.00337066666667,0.52
137,9167180618,3.4482758620689653,6.896551724137931,10.344827586206897,31.03448275862069,10.344827586206897,6.896551724137931,20.689655172413794,20.689655172413794,"COVER, CONNECTOR",100.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP131ﾌﾀﾅｼ,0.006,0.37,手配,30.0,1.64,1.6567303358729482,-0.016730335872948254,55914.0,32.634420000000006,34.49822,0.53
138,G1144ECB010,0.0,0.0,0.0946969696969697,2.840909090909091,11.268939393939394,14.109848484848486,28.50378787878788,28.50378787878788,"COVER, CONNECTOR",400.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,1.42,手配,1056.0,1.21,0.6607392046840816,0.5492607953159183,8198.0,862.79,1136.0566666666666,0.63
139,G1144ECE010,0.0,0.0,0.20366598778004072,1.2219959266802443,4.378818737270876,7.128309572301425,17.10794297352342,17.10794297352342,"CONNECTOR, WIRING HARNESS",40.0,矢崎総業（株）,1.0,1.0,1.79,1Y,TP331ﾌﾀｱﾘ,0.013999999999999999,5.7,手配,982.0,1.5300000000000002,0.6121839080459616,0.9178160919540387,10440.0,758.9,1019.9,0.58
140,G1163ECB010,0.0,1.9736842105263157,11.842105263157894,26.31578947368421,25.0,15.789473684210526,14.473684210526317,14.473684210526317,"CONNECTOR, WIRING HARNESS",32.0,矢崎総業（株）,1.0,1.0,1.79,1Y,TP331ﾌﾀｱﾘ,0.013999999999999999,3.18,手配,157.0,0.72,0.6513320079522875,0.06866799204771246,15090.0,102.8575,109.145,0.54
141,G1163ECE010,0.0,0.9404388714733543,3.4482758620689653,7.836990595611286,15.360501567398119,23.197492163009404,31.03448275862069,31.03448275862069,"CONNECTOR, WIRING HARNESS",40.0,矢崎総業（株）,1.0,1.0,1.79,1Y,TP331ﾌﾀｱﾘ,0.013999999999999999,5.7,手配,326.0,0.8700000000000001,0.5814403292181093,0.2885596707818908,40824.0,217.36720000000003,230.97520000000003,0.53
142,G117362010,0.0,0.28169014084507044,1.1267605633802817,3.943661971830986,6.338028169014084,9.71830985915493,34.78873239436619,34.78873239436619,"CONNECTOR, WIRING HARNESS",45.0,住友電装（株）,1.0,1.0,1.0,1Y,TP332ﾌﾀｱﾘ,0.024,4.62,手配,710.0,1.6900000000000004,0.8702811460457239,0.8197188539542765,18638.0,881.1277777777776,1088.2166666666665,0.85
143,G1174ECB010,0.0,0.0,1.8518518518518516,5.555555555555555,8.333333333333332,11.11111111111111,43.51851851851852,43.51851851851852,"CONNECTOR, WIRING HARNESS",45.0,住友電装（株）,1.0,1.0,3.25,1Y,TP332,0.024,4.62,手配,108.0,1.6799999999999995,0.9780800195169529,0.7019199804830466,8198.0,140.366,173.15800000000002,0.85
144,G1174ECE010,0.0,0.0,0.0,0.0,0.0,5.0,34.166666666666664,34.166666666666664,"SENSOR, TEMPERATURE",700.0,ＴＤＫ（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,120.0,2.1149999999999998,0.9705747126436789,1.144425287356321,10440.0,182.656,224.416,0.87
