,品番,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更後）かんばん数,変更後）社内LT,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更後）基準在庫日数
0,019128GA010,0.0,0.0,0.0,1.5873015873015872,10.582010582010582,15.343915343915343,25.396825396825395,25.396825396825395,"BOLT, STUD",3000.0,（株）杉浦製作所,1.0,2.0,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,15.4,手配,189.0,2.1300000000000003,1.1397499731730838,0.9902500268269165,18638.0,399.8532,437.1292,1.07
1,01912ECB010,0.0,0.0,0.0,3.1746031746031744,3.1746031746031744,4.761904761904762,12.698412698412698,12.698412698412698,"BOLT, W/WASHER",2000.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,15.83,手配,63.0,2.78,1.0592948373940114,1.7207051626059884,37268.0,106.59266666666667,119.01533333333334,0.85
2,01912ECB040,0.0,0.40816326530612246,0.0,0.40816326530612246,2.4489795918367347,1.2244897959183674,9.387755102040817,9.387755102040817,"SCREW, HEX LOBULAR",2000.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,13.63,手配,245.0,1.5,0.3197499731730883,1.1802500268269118,18638.0,94.19,168.74200000000002,0.25
3,01912ECB060,0.0,0.0,0.0,14.285714285714285,42.857142857142854,42.857142857142854,0.0,0.0,"PIN, STRAIGHT",2000.0,（株）水野鉄工所,1.0,1.0,1.81,1Y,TP131ﾌﾀﾅｼ,0.006,4.345,手配,7.0,2.52,2.048602098072701,0.47139790192729913,8198.0,16.9861,21.0851,0.78
4,1040043104R,0.0,0.0,0.0,14.285714285714285,14.285714285714285,42.857142857142854,28.57142857142857,28.57142857142857,"PIN, SLOTTED SPRING",2000.0,トピー実業（株）,1.0,1.0,1.95,1Y,TP131,0.006,5.8,手配,9.0,3.45,2.4400955038094216,1.0099044961905785,37276.0,30.957,34.6846,0.75
5,1040052001Z,0.0,11.538461538461538,3.8461538461538463,11.538461538461538,15.384615384615385,11.538461538461538,34.61538461538461,34.61538461538461,"PLUG, TIGHT",2000.0,ナミコー（株）,1.0,1.0,3.25,1Y,TP331ﾌﾀﾅｼ,0.012,4.7,手配,26.0,2.4050000000000002,1.7368965517241373,0.668103448275863,10440.0,30.666000000000004,32.406000000000006,0.53
6,1040183011P,0.0,0.0,2.631578947368421,2.631578947368421,52.63157894736842,31.57894736842105,5.263157894736842,5.263157894736842,"PLUG, W/HEAD STRAIGHT SCREW",300.0,住友商事（株）鉄鋼部輸送機材,1.0,1.0,3.0,1Y,TP331ﾌﾀﾅｼ,0.012,13.56,手配,38.0,1.1700000000000002,0.9669854824935952,0.20301451750640498,24591.0,27.558280000000003,29.197680000000002,0.54
7,2030044001J,0.0,10.0,10.0,20.0,30.0,20.0,0.0,0.0,"PLUG, W/HEAD STRAIGHT SCREW",300.0,（株）杉浦製作所,1.0,2.0,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,10.36,手配,10.0,1.7349999999999999,1.5646401561356433,0.17035984386435654,8198.0,12.067300000000001,14.116800000000001,0.54
8,2030045013L,22.22222222222222,11.11111111111111,55.55555555555556,0.0,0.0,11.11111111111111,0.0,0.0,"BEARING, RADIAL BALL",80.0,日本精工（株）,1.0,8.0,9.0,1Y,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,0.015,9.301,手配,9.0,1.69,3.170623690166821,-1.480623690166821,47716.0,15.64474,20.41634,0.53
9,2030052002N,0.0,13.513513513513514,10.81081081081081,24.324324324324326,18.91891891891892,13.513513513513514,16.216216216216218,16.216216216216218,SPACER,400.0,アイコー（株）,1.0,2.0,3.92,1Y,TP131ﾌﾀﾅｼ,0.006,1.7,手配,37.0,1.58,1.514057302285652,0.06594269771434802,18638.0,34.06333333333333,40.275999999999996,0.5
10,3040052001B,0.0,7.017543859649122,27.192982456140353,33.33333333333333,11.403508771929824,7.894736842105263,7.017543859649122,7.017543859649122,"PLUG, BREATHER",500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.18,手配,115.0,0.75,0.8906231174698817,-0.14062311746988165,84992.0,91.39168000000001,97.05781333333334,0.52
11,33490ECB010,0.057273768613974804,3.2073310423825885,3.722794959908362,27.491408934707906,27.262313860252004,25.085910652920962,11.053837342497136,11.053837342497136,"BOLT, FLANGE",1500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.13,手配,1748.0,0.9500000000000002,0.850739204684048,0.09926079531595222,8198.0,1683.59,1888.54,0.82
12,33490ECE010,0.04580852038479157,0.5038937242327073,0.9619789280806231,9.894640403114979,22.354557947778286,30.60009161704077,28.53870819972515,28.53870819972515,"BOLT, FLANGE",1000.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,11.53,手配,2183.0,1.1500000000000004,0.8341379310344986,0.31586206896550173,10440.0,2117.1000000000004,2378.1000000000004,0.81
13,34989ECB020,0.0,0.0,0.0,16.666666666666664,16.666666666666664,33.33333333333333,16.666666666666664,16.666666666666664,"BOLT, W/WASHER",2500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,13.08,手配,6.0,1.9800000000000004,1.5075745868212065,0.47242541317879394,18636.0,31.19032,38.64472,0.81
14,34989ECB030,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333,"BOLT, FLANGE W/WASHER",1000.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.43,手配,3.0,3.56,2.1951491736424127,1.3648508263575874,18636.0,15.9088,19.636,0.8
15,34989ECE020,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,"CAP, SHIPPING",50.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP342ﾌﾀﾅｼ,0.033,2.11,手配,1.0,4.31,3.0535673261008296,1.25643267389917,4701.0,8.709639999999998,10.590039999999998,0.82
16,35141ECB010,3.7735849056603774,11.320754716981133,32.075471698113205,21.69811320754717,8.49056603773585,11.320754716981133,1.8867924528301887,1.8867924528301887,"CAP, SHIPPING",100.0,日進工業（株）,1.0,1.0,0.81,1Y,TP332,0.022000000000000002,1.1,手配,326.0,0.5699999999999998,0.742956818736276,-0.1729568187362761,8198.0,320.6725,324.9422916666667,0.62
17,35141ECE010,0.0,0.0,1.0638297872340425,7.446808510638298,24.46808510638298,36.17021276595745,26.595744680851062,26.595744680851062,"CAP, SHIPPING",300.0,石黒ゴム工業（株）,1.0,2.0,3.64,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,3.21,手配,194.0,1.03,0.7506896551724143,0.27931034482758577,10440.0,331.86,336.21000000000004,0.63
18,35145ECB010,0.0,0.0,16.3265306122449,6.122448979591836,10.204081632653061,18.367346938775512,26.53061224489796,26.53061224489796,"CAP, SHIPPING",50.0,愛産樹脂工業（株）,1.0,1.0,2.12,1Y,TP342ﾌﾀﾅｼ,0.033,3.44,手配,52.0,1.95,1.3884801171017305,0.5615198828982695,8198.0,53.827600000000004,70.2236,0.62
19,35145ECE010,0.0,0.0,0.0,6.0606060606060606,12.121212121212121,9.090909090909092,15.151515151515152,15.151515151515152,"CAP, SHIPPING",400.0,新光ゴム工業（株）,1.0,1.0,3.25,1Y,TP331ﾌﾀﾅｼ,0.012,2.04,手配,70.0,1.8000000000000003,0.8511494252873552,0.9488505747126451,10440.0,68.86,89.74,0.65
20,35145ECE020,0.0,0.0,8.571428571428571,11.428571428571429,7.142857142857142,10.0,30.0,30.0,"PIN, STRAIGHT",1000.0,（株）ギフ加藤製作所,1.0,2.0,3.8,1Y,AW131ﾌﾀﾅｼ,0.005,13.4,手配,71.0,1.5199999999999996,0.851149425287355,0.6688505747126445,10440.0,68.86,74.08,0.65
21,35165ECE010,0.0,0.0,8.333333333333332,16.666666666666664,12.5,8.333333333333332,8.333333333333332,8.333333333333332,"PLUG, W/HEAD STRAIGHT SCREW",200.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP131ﾌﾀﾅｼ,0.006,6.27,手配,24.0,1.6099999999999999,1.0322988505747122,0.5777011494252877,10440.0,33.886,44.326,0.63
22,35174ECB010,0.0,6.109324758842444,19.292604501607716,19.614147909967848,10.932475884244374,11.89710610932476,25.401929260450164,25.401929260450164,"PLUG, TIGHT",200.0,サトープレス工業（株）,1.0,1.0,1.78,1Y,AW131ﾌﾀﾅｼ,0.006,1.4,手配,311.0,1.0599999999999998,0.9212320078067873,0.13876799219321256,8198.0,357.613,378.108,0.87
23,35174ECE010,0.0,0.0,9.036144578313253,21.686746987951807,13.253012048192772,14.457831325301203,16.265060240963855,16.265060240963855,"BEARING, NEEDLE ROLLER",1800.0,日本精工（株）,1.0,8.0,9.0,1Y,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,0.015,5.4,手配,166.0,1.3000000000000003,0.9504597701149442,0.34954022988505606,10440.0,228.07,241.12,0.87
24,35174ECE020,0.0,9.722222222222223,11.11111111111111,8.333333333333332,16.666666666666664,11.11111111111111,22.22222222222222,22.22222222222222,"BOLT, FLANGE",500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.38,手配,72.0,1.5599999999999998,1.1731034482758624,0.3868965517241374,10440.0,76.08,81.88,0.63
25,3519510A010,0.0,0.0,25.0,0.0,25.0,50.0,0.0,0.0,"SEAL, TYPE T OIL",400.0,ＮＯＫ（株）,1.0,2.0,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,1.68,手配,4.0,2.71,2.166960234203464,0.5430397657965358,8198.0,9.6079,10.974233333333334,0.63
26,35195ECE010,0.0,4.3478260869565215,17.391304347826086,8.695652173913043,13.043478260869565,13.043478260869565,21.73913043478261,21.73913043478261,GASKET,2000.0,伊藤金属工業（株）,1.0,1.0,1.96,1Y,TP331ﾌﾀﾅｼ,0.012,4.7,手配,25.0,2.72,1.8268965517241391,0.8931034482758611,20880.0,35.364000000000004,45.804,0.62
27,35195TFG010,0.0,3.571428571428571,7.142857142857142,7.142857142857142,3.571428571428571,3.571428571428571,21.428571428571427,21.428571428571427,"PLUG, W/HEAD STRAIGHT SCREW",300.0,（株）杉浦製作所,1.0,2.0,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,9.85,手配,29.0,2.545,1.022298850574713,1.522701149425287,20880.0,33.364000000000004,43.804,0.62
28,35198ECE010,0.0,0.0,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,22.22222222222222,22.22222222222222,"PLUG, W/HEAD STRAIGHT SCREW",500.0,（株）青山製作所,1.0,6.0,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,11.97,手配,27.0,1.65,0.9822988505747122,0.6677011494252877,10440.0,31.276,41.716,0.58
29,35300ECB010,0.0,0.0,0.0,0.0,0.0,0.0,7.266009852216748,7.266009852216748,"COOLER ASSY, OIL",4.0,マレリ（株）,1.0,2.0,3.92,1Y,TP331.5ﾌﾀｱﾘ,0.017,0.019,手配,812.0,2.225,0.9505622920914124,1.2744377079085876,18638.0,1416.381666666667,1494.0400000000002,0.91
30,35312ECB010,0.0,0.0,10.989010989010989,7.6923076923076925,10.989010989010989,9.89010989010989,32.967032967032964,32.967032967032964,"COOLER ASSY, OIL",4.0,マレリ（株）,1.0,2.0,3.92,1Y,TP331.5ﾌﾀｱﾘ,0.019,0.019,手配,91.0,1.31,0.7513808245913647,0.5586191754086354,8198.0,77.77492063492063,103.80031746031746,0.59
31,35352ECB010,0.0,0.0,50.0,0.0,25.0,0.0,25.0,25.0,"COOLER ASSY, OIL",4.0,マレリ（株）,1.0,2.0,3.92,1Y,TP331.5ﾌﾀｱﾘ,0.019,0.019,手配,4.0,1.6850000000000005,1.9310465967309096,-0.24604659673090912,8198.0,11.41015873015873,14.663333333333334,0.64
32,3539450A010,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,LABEL,500.0,（株）槌屋,1.0,1.0,2.33,1Y,TP131ﾌﾀﾅｼ,0.006,1.0,手配,2.0,2.2600000000000002,4.090191007618843,-1.830191007618843,37276.0,16.23298,19.96058,0.71
33,35409ECB010,0.0,0.0,9.523809523809524,4.761904761904762,14.285714285714285,9.523809523809524,19.047619047619047,19.047619047619047,LABEL,500.0,（株）槌屋,1.0,1.0,2.33,1Y,TP131ﾌﾀﾅｼ,0.006,1.0,手配,21.0,1.95,1.1723200780678211,0.7776799219321788,8198.0,28.053400000000003,36.251400000000004,0.66
34,35441ECB010,0.0,3.4615384615384617,9.230769230769232,9.230769230769232,10.0,7.307692307692308,22.692307692307693,22.692307692307693,LABEL,500.0,（株）槌屋,1.0,1.0,2.33,1Y,TP131ﾌﾀﾅｼ,0.006,1.0,手配,260.0,1.5,0.8322491683657061,0.6677508316342939,18638.0,263.15541666666667,340.81375,0.67
35,35441TFA010,0.0,1.9607843137254901,0.0,5.88235294117647,17.647058823529413,5.88235294117647,29.411764705882355,29.411764705882355,LABEL,1000.0,（株）槌屋,1.0,1.0,2.33,1Y,TP131ﾌﾀﾅｼ,0.006,1.5,手配,51.0,1.59,0.9261600390339103,0.6638399609660898,8198.0,55.92660000000001,72.32260000000001,0.67
36,3548255A010,0.0,0.0,29.411764705882355,5.88235294117647,11.76470588235294,17.647058823529413,23.52941176470588,23.52941176470588,LABEL,500.0,（株）槌屋,1.0,1.0,2.33,1Y,TP131ﾌﾀﾅｼ,0.006,1.0,手配,17.0,1.56,1.1734482758620683,0.3865517241379317,10440.0,20.835999999999995,27.795999999999996,0.57
37,35501ECB010,0.0,0.0,14.545454545454545,10.909090909090908,10.909090909090908,5.454545454545454,21.818181818181817,21.818181818181817,LABEL,500.0,（株）槌屋,1.0,1.0,2.33,1Y,TP131ﾌﾀﾅｼ,0.006,1.0,手配,55.0,1.3999999999999997,0.85616003903391,0.5438399609660897,8198.0,50.188,66.584,0.6
38,35505ECB010,0.37453183520599254,7.490636704119851,10.112359550561797,21.34831460674157,13.48314606741573,19.850187265917604,14.981273408239701,14.981273408239701,LABEL,500.0,（株）槌屋,1.0,1.0,2.33,1Y,TP131ﾌﾀﾅｼ,0.006,1.0,手配,267.0,0.9699999999999998,0.8714784093681375,0.09852159063186228,8198.0,277.6825,311.8408333333333,0.81
39,35556ECB010,0.0,2.0,14.000000000000002,8.0,14.000000000000002,26.0,24.0,24.0,LABEL,500.0,（株）槌屋,1.0,1.0,2.33,1Y,TP131ﾌﾀﾅｼ,0.006,1.0,手配,54.0,1.395,1.0061600390339103,0.38883996096608975,8198.0,62.485,70.68299999999999,0.75
40,35557ECB010,0.0,2.6785714285714284,16.964285714285715,8.928571428571429,13.392857142857142,13.392857142857142,26.785714285714285,26.785714285714285,"TUBE, TRANSMISSION OIL PAN",350.0,（株）ニフコ,1.0,1.0,2.14,1Y,TP331ﾌﾀﾅｼ,0.006,1.5,手配,125.0,1.44,1.0078336179555978,0.43216638204440216,8198.0,159.61347826086956,177.43521739130435,0.89
41,35580ECB011,0.0,0.0,1.566265060240964,5.903614457831325,14.819277108433734,15.542168674698795,37.95180722891566,37.95180722891566,"CASE, TRANSAXLE",6.0,（株）アイシン福井,1.0,24.0,19.68,1Y,Aﾊﾟﾚﾌﾀﾅｼ,0.68,72.0,手配,832.0,1.5749999999999997,0.9461144321093115,0.6288855678906883,8197.0,1232.5500000000002,1300.8583333333336,0.9
42,35595ECB010,0.0,0.0,1.25,14.374999999999998,16.875,9.375,31.874999999999996,31.874999999999996,"CASE, TRANSAXLE",16.0,（株）アイシン福井,1.0,24.0,19.68,1Y,Aﾊﾟﾚﾌﾀﾅｼ,0.68,164.53599999999997,手配,160.0,1.0749999999999997,0.6724640156135664,0.40253598438643334,8198.0,117.82149999999999,158.8115,0.57
43,3559850A010,0.0,0.0,18.96551724137931,24.137931034482758,17.24137931034483,13.793103448275861,13.793103448275861,13.793103448275861,"(CA), TRANSAXLE CASE",20.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,58.0,1.3300000000000003,1.1561600390339117,0.17383996096608856,8198.0,74.78200000000001,82.98000000000002,0.9
44,35771ECB010,0.18094089264173704,18.455971049457176,35.343787696019305,28.166465621230397,9.529553679131483,4.704463208685163,2.4728588661037394,2.4728588661037394,"(CA), TRANSAXLE CASE",20.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,1709.0,0.5900000000000001,0.8207392046840607,-0.23073920468406062,8198.0,1601.6100000000001,1669.9266666666667,0.79
45,35771ECE010,0.23166023166023164,17.915057915057915,25.637065637065636,14.131274131274132,12.895752895752896,6.94980694980695,9.266409266409266,9.266409266409266,"(CA), TRANSAXLE CASE",36.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,1336.0,0.7,0.814137931034476,-0.114137931034476,10440.0,1359.2,1417.2,0.79
46,35847ECB010,0.0,0.0,3.8461538461538463,6.41025641025641,14.102564102564102,11.538461538461538,17.94871794871795,17.94871794871795,"(CA), TRANSAXLE CASE",36.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,90.0,1.3999999999999997,0.7149280312271297,0.68507196877287,8198.0,53.262249999999995,73.75725,0.51
47,35847ECB020,1.2987012987012987,1.2987012987012987,6.493506493506493,7.792207792207792,9.090909090909092,15.584415584415584,19.480519480519483,19.480519480519483,"(CA), TRANSAXLE CASE",15.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.462,178.0,直送,89.0,1.1900000000000004,0.6793120273237386,0.5106879726762618,8198.0,59.55714285714286,82.98,0.5
48,35847ECE010,0.0,0.0,3.048780487804878,1.2195121951219512,7.317073170731707,8.536585365853659,10.975609756097562,10.975609756097562,"CASE, TRANSAXLE",20.0,（株）アイシン福井,1.0,24.0,19.68,1Y,Aﾊﾟﾚﾌﾀﾅｼ,0.68,165.78,手配,190.0,1.67,0.580459770114942,1.089540229885058,10440.0,131.5,183.7,0.5
49,35847ECE020,0.0,0.0,2.941176470588235,0.9803921568627451,4.901960784313726,10.784313725490197,13.725490196078432,13.725490196078432,"PLATE, OIL",150.0,三共鋼業（株）,1.0,1.0,1.74,1Y,TP131ﾌﾀﾅｼ,0.006,1.7,手配,120.0,1.7399999999999998,0.6106896551724145,1.1293103448275854,10440.0,86.26,121.06,0.49
50,35882ECB010,0.0,0.8,6.4,1.6,12.0,8.799999999999999,20.0,20.0,"PLATE, OIL",100.0,サトープレス工業（株）,1.0,1.0,1.78,1Y,AW131ﾌﾀﾅｼ,0.006,4.63,手配,144.0,1.29,0.6280800195169565,0.6619199804830436,8198.0,82.98,115.772,0.5
51,36108ECB010,0.0,6.451612903225806,3.225806451612903,12.903225806451612,16.129032258064516,19.35483870967742,19.35483870967742,19.35483870967742,"PLATE, OIL",100.0,三共鋼業（株）,1.0,1.0,1.74,1Y,TP131ﾌﾀﾅｼ,0.006,4.63,手配,31.0,1.41,1.024240058550866,0.38575994144913395,8198.0,35.97813333333334,46.90880000000001,0.64
52,39171ECB010,1.8867924528301887,14.150943396226415,28.30188679245283,25.471698113207548,10.377358490566039,11.320754716981133,1.8867924528301887,1.8867924528301887,"PLATE, OIL",100.0,三共鋼業（株）,1.0,1.0,1.74,1Y,TP131ﾌﾀﾅｼ,0.006,3.61,手配,320.0,0.57,0.742956818736276,-0.172956818736276,8198.0,320.6725,324.9422916666667,0.62
53,39171ECE010,0.0,0.0,3.1578947368421053,5.263157894736842,34.73684210526316,30.526315789473685,20.0,20.0,"PLATE, OIL",100.0,（株）浅賀井製作所,1.0,4.0,6.88,1Y,TP331ﾌﾀﾅｼ,0.012,1.2,手配,192.0,0.97,0.7506896551724143,0.2193103448275857,10440.0,331.86,336.21000000000004,0.63
54,41310ECB010,0.0,3.403863845446182,12.84881938055811,22.75375651640601,30.818767249310024,15.302054584483288,10.9475620975161,10.9475620975161,"PLATE, TRANSMISSION CASE",200.0,（株）松尾製作所,1.0,1.0,1.21,1Y,TP131ﾌﾀﾅｼ,0.006,1.53,手配,3372.0,0.77,0.700246401561345,0.06975359843865503,8198.0,2830.31,3035.2599999999998,0.69
55,41310ECE010,0.0,0.9806520010601644,2.862443678770209,6.8380598992843895,17.2806785051683,17.360190829578585,35.32997614630268,35.32997614630268,"PLATE, OIL RESERVOIR LOCK",30.0,（株）浅賀井製作所,1.0,4.0,6.88,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,2.3,手配,3908.0,1.1,0.7120689655172496,0.38793103448275046,10440.0,3656.9999999999995,3917.9999999999995,0.7
56,5040056001E,0.0,2.0618556701030926,8.24742268041237,14.432989690721648,13.402061855670103,8.24742268041237,36.08247422680412,36.08247422680412,"PLATE, OIL RESERVOIR LOCK",20.0,（株）浅賀井製作所,1.0,4.0,6.88,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,3.52,手配,97.0,1.6099999999999994,1.0410880702610397,0.5689119297389598,40990.0,82.24733333333333,109.574,0.58
57,82125ECB010,0.0,0.0,3.4482758620689653,13.793103448275861,8.620689655172415,12.068965517241379,27.586206896551722,27.586206896551722,"PLATE, OIL RESERVOIR LOCK",40.0,（株）浅賀井製作所,1.0,4.0,6.88,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,4.85,手配,58.0,1.545,0.8361600390339112,0.7088399609660887,8198.0,48.5484,64.9444,0.58
58,82125ECE010,0.0,1.4285714285714286,4.285714285714286,12.857142857142856,8.571428571428571,8.571428571428571,18.571428571428573,18.571428571428573,"PLATE, OIL RESERVOIR LOCK",90.0,（株）浅賀井製作所,1.0,4.0,6.88,1Y,TP331ﾌﾀﾅｼ,0.012,1.795,手配,70.0,1.4249999999999998,0.781149425287355,0.6438505747126448,10440.0,61.552,82.432,0.58
59,82821CWA030,0.0,0.0,2.272727272727273,4.545454545454546,2.272727272727273,2.272727272727273,18.181818181818183,18.181818181818183,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",600.0,中庸スプリング（株）,1.0,2.0,2.34,1Y,AW131ﾌﾀﾅｼ,0.006,3.7,手配,44.0,2.73,1.1090597831920157,1.6209402168079843,18634.0,78.33109999999999,87.6481,0.83
60,82821ECB010,0.0,0.0,0.0,5.555555555555555,16.666666666666664,22.22222222222222,22.22222222222222,22.22222222222222,"CLAMP, TUBE",400.0,三共鋼業（株）,1.0,1.0,1.74,1Y,TP131ﾌﾀﾅｼ,0.006,3.44,手配,18.0,2.375,1.3879997853846975,0.9870002146153025,18638.0,39.673849999999995,44.333349999999996,0.83
61,82821ECB020,0.0,0.0,2.4390243902439024,0.0,0.0,2.4390243902439024,26.82926829268293,26.82926829268293,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",400.0,三共鋼業（株）,1.0,1.0,1.74,1Y,TP131ﾌﾀﾅｼ,0.006,3.88,手配,41.0,2.7700000000000005,1.1489998926923497,1.6210001073076508,18638.0,82.0753,91.3943,0.87
62,82821ECB040,0.0,0.0,5.660377358490567,11.320754716981133,7.547169811320755,32.075471698113205,28.30188679245283,28.30188679245283,"BRACKET, WIRE HARNESS CLAMP",200.0,サトープレス工業（株）,1.0,1.0,1.78,1Y,TP331ﾌﾀﾅｼ,0.012,5.28,手配,53.0,1.66,1.1471505245181748,0.5128494754818251,8198.0,69.0434,77.2414,0.83
63,82821ECB050,0.0,0.0,1.0,3.0,2.0,3.0,10.0,10.0,"PLATE, OIL GUIDE",100.0,三共鋼業（株）,1.0,1.0,1.74,1Y,TP131ﾌﾀﾅｼ,0.012,3.6,手配,100.0,2.565,0.9695298915960073,1.5954701084039926,18634.0,155.66219999999998,174.2962,0.83
64,82821ECE010,0.0,0.0,1.639344262295082,0.0,0.0,0.0,0.0,0.0,"CLAMP, SOLENOID",500.0,三共鋼業（株）,1.0,1.0,1.74,1Y,TP131ﾌﾀﾅｼ,0.006,2.5,手配,61.0,3.75,1.1705843471596895,2.5794156528403107,10439.0,224.39460000000003,245.2726,1.07
65,82821XAE010,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,6.315789473684211,6.315789473684211,"DAMPER, RUBBER",120.0,日昌（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,95.0,2.6700000000000004,1.0094999463461722,1.6605000536538281,18638.0,163.1506,181.7886,0.87
66,82821XAE020,0.0,0.0,0.0,22.22222222222222,33.33333333333333,44.44444444444444,0.0,0.0,"DAMPER, RUBBER",120.0,日昌（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,9.0,2.2500000000000004,2.0786020980727007,0.17139790192729976,8198.0,17.60095,19.65045,0.81
67,82824ECB010,0.0,0.975609756097561,1.951219512195122,13.658536585365855,14.146341463414632,10.24390243902439,36.09756097560975,36.09756097560975,"DAMPER, RUBBER",30.0,日昌（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,205.0,1.05,0.6519712124908501,0.39802878750914994,8198.0,147.026875,198.26437499999997,0.57
68,82824ECB020,0.0,0.0,1.1142061281337048,5.8495821727019495,10.30640668523677,11.977715877437326,21.16991643454039,21.16991643454039,"DAMPER, RUBBER",30.0,日昌（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,359.0,1.2400000000000002,0.6250692134349203,0.6149307865650799,18638.0,271.251,364.441,0.58
69,82824ECE010,0.0,0.5555555555555556,3.3333333333333335,7.777777777777778,6.111111111111111,6.111111111111111,12.777777777777777,12.777777777777777,"PUMP ASSY, OIL W/MOTOR",12.0,アイシン精機（株）,1.0,4.0,8.04,1Y,TP341ﾌﾀﾅｼ,0.017,6.97,手配,180.0,1.06,0.45051724137931076,0.6094827586206892,10440.0,84.52,130.92,0.36
70,9010506A003,0.0,0.0,0.0,25.0,0.0,50.0,25.0,25.0,"COVER, TRANSMISSION, OIL PUMP",63.0,（株）旭工業所,1.0,1.0,1.9,1Y,TP331ﾌﾀｱﾘ,0.013999999999999999,4.718,手配,5.0,2.4400000000000004,1.8008001951695536,0.6391998048304468,32792.0,9.525920000000001,10.072453333333334,0.52
71,9010506A089,0.0,0.0,28.57142857142857,42.857142857142854,28.57142857142857,0.0,0.0,0.0,"(CA), TRANSMISSION OIL PUMP COVER",200.0,ダイキャスト東和産業（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,8.0,2.9200000000000004,3.035143255714132,-0.11514325571413142,37276.0,15.425333333333333,16.253688888888888,0.5
72,9010508A014,0.0,0.0,0.09208103130755065,1.841620626151013,10.865561694290976,27.992633517495396,47.974217311233886,47.974217311233886,"(CA), TRANSMISSION OIL PUMP COVER",200.0,ダイキャスト東和産業（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,1110.0,0.92,0.5847106581692723,0.3352893418307278,704530.0,763.8924000000001,810.8610666666667,0.54
73,9010508A042,0.0,4.761904761904762,9.523809523809524,30.476190476190478,19.047619047619047,20.0,10.476190476190476,10.476190476190476,"ROTOR, TRANSMISSION OIL PUMP DRIVE",704.0,五興商事（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,108.0,0.72,0.6836960234203469,0.03630397657965312,40990.0,73.41566666666667,77.97011111111111,0.53
