,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）日量数平均,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更前）基準在庫日数,変更後）基準在庫日数,変更前）便Ave,変更後）便Ave
57,82821ECE010,0,0,0,0,0,0,0,62.5,37.5,0,0,0,0,0,0,0,26.66666667,73.33333333,0,0,0,0,0,0,0,-35.83333333,35.83333333,"COVER, CONNECTOR",50,石黒ゴム工業（株）,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.1,手配,16,15,3.92,3.86,-0.06,1.345965881,2.574034119,1.170584347,2.689415653,543.4,61.1438,66.5778,532,57.924,63.244,1.07,1.07,5.434,5.32
58,82821XAE010,0,0,0,0,0,0,31.81818182,68.18181818,0,0,0,0,0,0,0,16.66666667,54.16666667,29.16666667,0,0,0,0,0,0,-15.15151515,-14.01515152,29.16666667,"COVER, CONNECTOR",100,石黒ゴム工業（株）,1,2,3.64,1Y,TP131ﾌﾀﾅｼ,0.006,0.37,手配,22,24,3.07,2.58,-0.49,1.381115301,1.688884699,1.009499946,1.570500054,968.2,45.1167,49.9577,945.4,42.1249,46.8519,1.07,0.87,4.841,4.727
59,82821XAE020,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COVER, CONNECTOR",400,石黒ゴム工業（株）,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,1.42,手配,1,1,3.75,1.89,-1.86,3.922512156,-0.172512156,2.078602098,-0.188602098,424.8,7.3011,7.8321,413.4,5.185675,5.702425,1.07,0.81,0.531,0.51675
60,82824ECB010,0,0,2.040816327,18.36734694,14.28571429,12.24489796,32.65306122,18.36734694,2.040816327,0,0,0,10.41666667,12.5,12.5,33.33333333,27.08333333,4.166666667,0,0,-2.040816327,-7.950680272,-1.785714286,0.255102041,0.680272109,8.715986395,2.12585034,"CONNECTOR, WIRING HARNESS",32,矢崎総業（株）,1,1,1.79,1Y,TP331ﾌﾀｱﾘ,0.014,3.18,手配,49,48,1.62,1.17,-0.45,1.048200972,0.571799028,0.651971212,0.518028788,424.8,40.83375,54.10875,413.4,37.8184375,50.7371875,0.82,0.57,13.275,12.91875
61,82824ECB020,0,0,2.222222222,15.55555556,25.55555556,13.33333333,27.77777778,15.55555556,0,0,0,0,2.247191011,12.35955056,12.35955056,19.1011236,39.3258427,14.60674157,0,0,-2.222222222,-13.30836454,-13.19600499,-0.973782772,-8.676654182,23.77028714,14.60674157,"CONNECTOR, WIRING HARNESS",40,矢崎総業（株）,1,1,1.79,1Y,TP331ﾌﾀｱﾘ,0.014,5.7,手配,90,89,1.28,1.3,0.02,0.94444612,0.33555388,0.625069213,0.674930787,968.2,73.1945,97.3995,945.4,69.5415,93.1765,0.82,0.58,24.205,23.635
62,82824ECE010,0,20,22.85714286,20,14.28571429,17.14285714,5.714285714,0,0,0,0,5.128205128,12.82051282,7.692307692,10.25641026,12.82051282,15.38461538,35.8974359,0,-20,-17.72893773,-7.179487179,-6.593406593,-6.886446886,7.106227106,15.38461538,35.8974359,"CONNECTOR, WIRING HARNESS",45,住友電装（株）,1,1,3.25,1Y,TP332,0.024,4.62,手配,35,39,0.83,0.94,0.11,1.028348524,-0.198348524,0.450517241,0.489482759,543.4,24.736,36.81155556,532,22.28,34.10222222,0.78,0.36,12.07555556,11.82222222
63,9010506A003,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,100,0,0,"BOLT, FLANGE",2000,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,12.63,手配,1,1,2.21,3.16,0.95,4.305640194,-2.095640194,1.800800195,1.359199805,1699.2,5.20896,5.35056,1653.6,3.14968,3.28748,0.74,0.52,0.1416,0.1378
64,9010506A089,0,0,0,0,100,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,50,-50,0,0,0,0,"BOLT, FLANGE",1500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.13,手配,1,2,3.31,3.13,-0.18,3.073364759,0.236635241,3.035143256,0.094856744,1936.4,6.227333333,6.442488889,1890.8,6.151333333,6.361422222,0.74,0.5,0.215155556,0.210088889
65,9010508A014,0,0,1.133144476,7.365439093,24.64589235,28.3286119,24.36260623,14.16430595,0,0,0,0.340136054,2.380952381,9.863945578,35.03401361,47.95918367,3.401360544,1.020408163,0,0,-0.793008421,-4.984486713,-14.78194677,6.705401707,23.59657744,-10.7629454,1.020408163,"BOLT, FLANGE",500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,8.83,手配,353,294,1.1,0.89,-0.21,0.781132515,0.318867485,0.584710658,0.305289342,36604,200.6616,212.8629333,35749,196.0446,207.9609333,0.74,0.54,12.20133333,11.91633333
66,9010508A042,0,4,20,32,12,4,20,8,0,0,6.666666667,13.33333333,33.33333333,23.33333333,13.33333333,10,0,0,0,2.666666667,-6.666666667,1.333333333,11.33333333,9.333333333,-10,-8,0,"BOLT, FLANGE",300,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.22,手配,25,30,1.07,0.675,-0.395,1.167876823,-0.097876823,0.683696023,-0.008696023,2124,21.762,22.942,2067,19.2585,20.40683333,0.74,0.53,1.18,1.148333333
67,9010512A018,0,4,12.36363636,30.18181818,22.18181818,26.54545455,4.727272727,0,0,0,0.371747212,7.063197026,21.9330855,37.91821561,30.48327138,2.230483271,0,0,0,-3.628252788,-5.300439338,-8.24873268,15.73639743,3.93781683,-2.496789456,0,0,"BOLT, FLANGE",200,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.85,手配,282,269,0.81,0.91,0.1,0.785269353,0.024730647,0.789132768,0.120867232,13317.6,182.7876,193.8856,12998.4,243.4704,254.3024,0.74,0.74,11.098,10.832
68,9011906908,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0,"BOLT, W/WASHER",2000,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,15.83,手配,1,2,3.59,1.73,-1.86,5.072272145,-1.482272145,5.235185572,-3.505185572,1393,4.88055,4.996633333,1358.8,4.83438,4.947613333,0.74,0.54,0.116083333,0.113233333
