,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）日量数平均,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更前）基準在庫日数,変更後）基準在庫日数,変更前）便Ave,変更後）便Ave
116,G1144ECB010,0,0,10,12.33333333,16.33333333,11.33333333,39,11,0,0,0,0,1.556420233,9.727626459,12.45136187,24.51361868,49.80544747,1.945525292,0,0,-10,-10.7769131,-6.605706874,1.118028534,-14.48638132,38.80544747,1.945525292,"TERMINAL, MOTOR CABLE",6,住友電気工業（株）,1,1,2.28,1Y,TP331ﾌﾀﾅｼ,0.012,2.288,手配,300,257,1.365,1.41,0.045,0.912787682,0.452212318,0.660739205,0.749260795,424.8,226.02,296.82,413.4,219.035,287.935,0.87,0.63,70.8,68.9
117,G1144ECE010,0,0,0,4.979253112,4.564315353,6.639004149,24.89626556,52.28215768,6.639004149,0,0,0,0.826446281,3.719008264,6.611570248,14.46280992,53.30578512,21.07438017,0,0,0,-4.152806831,-0.845307088,-0.027433901,-10.43345564,1.023627448,14.43537602,"TERMINAL, MOTOR CABLE",8,矢崎総業（株）,1,1,1.79,1Y,TP331ﾌﾀｱﾘ,0.014,4.71,手配,242,242,1.82,1.59,-0.23,0.864150849,0.955849151,0.612183908,0.977816092,543.4,199.9825,267.9075,532,194.85,261.35,0.82,0.58,67.925,66.5
118,G1163ECB010,0,3.03030303,9.090909091,27.27272727,33.33333333,3.03030303,24.24242424,0,0,0,7.142857143,16.66666667,26.19047619,33.33333333,11.9047619,4.761904762,0,0,0,4.112554113,7.575757576,-1.082251082,0,8.874458874,-19.48051948,0,0,"BOLT, MOTOR STATOR YOKE",80,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,7.438,手配,33,42,1.16,0.66,-0.5,1.079965231,0.080034769,0.651332008,0.008667992,687,26.18625,27.6175,772.2,27.06175,28.6705,0.74,0.54,1.43125,1.60875
119,G1163ECE010,0,1.176470588,5.882352941,22.35294118,14.11764706,14.11764706,25.88235294,16.47058824,0,0,2.298850575,4.597701149,14.94252874,19.54022989,21.83908046,28.73563218,8.045977011,0,0,1.122379986,-1.284651792,-7.410412441,5.422582826,7.721433401,2.853279243,-8.424611224,0,"BOLT, MOTOR STATOR YOKE",100,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,7.77,手配,85,87,1.17,0.78,-0.39,0.877182765,0.292817235,0.581440329,0.198559671,2217.6,61.7664,65.4624,2064,55.696,59.136,0.74,0.53,3.696,3.44
120,G117362010,0,0,0,3.351955307,4.469273743,11.17318436,44.69273743,36.31284916,0,0,0,0,0.595238095,1.785714286,7.142857143,32.73809524,45.23809524,12.5,0,0,0,-2.756717212,-2.683559457,-4.030327215,-11.95464219,8.925246076,12.5,"SENSOR, MOTOR REVOLUTION",18,多摩川精機販売（株）,1,1,3.05,1Y,TP331.5ﾌﾀﾅｼ,0.017,4.11,手配,179,168,1.84,1.93,0.09,1.006000754,0.833999246,0.870281146,1.059718854,968.2,231.6027778,285.3916667,945.4,224.2194444,276.7416667,0.95,0.85,53.78888889,52.52222222
121,G1174ECB010,0,0,3.571428571,3.571428571,10.71428571,17.85714286,35.71428571,28.57142857,0,0,0,4.166666667,4.166666667,12.5,8.333333333,50,16.66666667,4.166666667,0,0,0.595238095,0.595238095,1.785714286,-9.523809524,14.28571429,-11.9047619,4.166666667,"WIRE, MOTOR REVOLUTION SENSOR",50,住友電装（株）,1,1,2.28,1Y,TP362ﾌﾀﾅｼ,0.044,6.25,手配,28,24,2.035,1.57,-0.465,1.226564019,0.808435981,0.97808002,0.59191998,424.8,39.108,47.604,413.4,36.139,44.407,0.87,0.85,8.496,8.268
122,G1174ECE010,0,0,0,3.333333333,0,3.333333333,36.66666667,56.66666667,0,0,0,0,0,0,3.571428571,39.28571429,42.85714286,14.28571429,0,0,0,-3.333333333,0,0.238095238,2.619047619,-13.80952381,14.28571429,"WIRE, MOTOR REVOLUTION SENSOR",50,住友電装（株）,1,1,2.28,1Y,TP362ﾌﾀﾅｼ,0.044,5.9,手配,30,28,2.5,2.055,-0.445,1.145942805,1.354057195,0.970574713,1.084425287,543.4,50.2758,61.1438,532,47.284,57.924,0.87,0.87,10.868,10.64
123,G1250ECB010,0,0,27.27272727,27.27272727,27.27272727,9.090909091,9.090909091,0,0,0,0,38.46153846,7.692307692,7.692307692,15.38461538,15.38461538,15.38461538,0,0,0,11.18881119,-19.58041958,-19.58041958,6.293706294,6.293706294,15.38461538,0,"PIPE ASSY, MOTOR COOLING, NO.1",60,（株）バルカー,1,2,6.2,1Y,TP332ﾌﾀﾅｼ,0.022,1.94,手配,11,13,1.84,1.27,-0.57,1.904921769,-0.064921769,1.120497018,0.149502982,229,19.6025,21.51083333,257.4,19.6615,21.8065,1.14,0.87,1.908333333,2.145
124,G1250ECC010,0,22.22222222,11.11111111,33.33333333,11.11111111,11.11111111,0,11.11111111,0,0,0,0,16.66666667,0,0,33.33333333,33.33333333,16.66666667,0,-22.22222222,-11.11111111,-16.66666667,-11.11111111,-11.11111111,33.33333333,22.22222222,16.66666667,"PIPE ASSY, MOTOR COOLING, NO.1",60,（株）バルカー,1,2,6.2,1Y,TP332ﾌﾀﾅｼ,0.022,2.036,手配,9,6,1.79,2.545,0.755,2.111064247,-0.321064247,1.267727273,1.277272727,195.8,17.1955,18.82716667,156,12.31,13.61,1.14,0.87,1.631666667,1.3
125,G1250ECE010,0,12.90322581,58.06451613,19.35483871,6.451612903,3.225806452,0,0,0,0,0,3.703703704,3.703703704,22.22222222,18.51851852,25.92592593,11.11111111,14.81481481,0,-12.90322581,-54.36081243,-15.65113501,15.77060932,15.29271207,25.92592593,11.11111111,14.81481481,"PIPE ASSY, MOTOR COOLING, NO.1",60,（株）バルカー,1,2,6.2,1Y,TP332ﾌﾀﾅｼ,0.022,1.64,手配,31,27,0.92,1.51,0.59,1.471131365,-0.551131365,1.000689655,0.509310345,543.4,42.84933333,47.37766667,532,40.01333333,44.44666667,1.14,0.88,4.528333333,4.433333333
126,G9201ECB030,0,0,3.111111111,15.11111111,32.88888889,25.33333333,23.55555556,0,0,0,0,1.744186047,6.395348837,13.95348837,2.906976744,11.04651163,35.46511628,28.48837209,0,0,-1.366925065,-8.715762274,-18.93540052,-22.42635659,-12.50904393,35.46511628,28.48837209,"COVER SUB-ASSY, INVERTER",8,佐藤工業（株）,1,2,1.82,1Y,T-20-3ﾌﾀﾅｼ,0.027,7.806,手配,227,172,0.98,1.84,0.86,0.797056408,0.182943592,0.820990606,1.019009394,424.6,156.9175,183.455,413.4,203.5325,229.37,0.74,0.78,26.5375,25.8375
127,G9201ECE010,0,0,0.8,9.6,6.8,6.4,21.2,48.8,6.4,0,0,2.659574468,13.29787234,4.787234043,10.63829787,27.12765957,32.9787234,8.510638298,0,0,1.859574468,3.69787234,-2.012765957,4.238297872,5.927659574,-15.8212766,2.110638298,"COVER SUB-ASSY, INVERTER",8,佐藤工業（株）,1,2,1.82,1Y,ｻﾝﾎﾞｯｸｽ＃20Bﾌﾀﾅｼ,0.027,7.806,手配,250,188,1.67,1.725,0.055,0.784154541,0.885845459,0.892186991,0.832813009,543.4,227.1525,261.115,532,287.95,321.2,0.74,0.86,33.9625,33.25
