品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(水),2(木),3(金),4(土),5(日),6(月),7(火),8(水),9(木),10(金),11(土),12(日),13(月),14(火),15(水),16(木),17(金),18(土),19(日),20(月),21(火),22(水),23(木),24(金),25(土),26(日),27(月),28(火),29(水),30(木),31(金),当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(水),2(木),3(金),4(土),5(日),6(月),7(火),8(水),9(木),10(金),11(土),12(日),13(月),14(火),15(水),16(木),17(金),18(土),19(日),20(月),21(火),22(水),23(木),24(金),25(土),26(日),27(月),28(火),29(水),30(木),31(金)
90930-03179,, A,"PLUG, BREATHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.5,3,1,06,5.76,,,,,"21,371",23.0,"17,626",20.0,"18,637",18.0,"23,130",22.0,934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866,"21,371","17,626","18,637","23,130",934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866
91551-80614,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.54,3,1,06,5.76,,,,,"104,468",23.0,"84,644",20.0,"90,420",18.0,"113,700",22.0,"4,538","4,544","4,548",0,0,"4,708","4,690","4,702","4,696","4,708",0,0,"4,480","4,492","4,492","4,516","4,492",0,0,"4,494","4,470","4,494","4,786","4,482",0,0,"4,410","4,410","4,434","4,734","4,148","104,468","84,644","90,420","113,700","4,538","4,544","4,548",0,0,"4,708","4,690","4,702","4,696","4,708",0,0,"4,480","4,492","4,492","4,516","4,492",0,0,"4,494","4,470","4,494","4,786","4,482",0,0,"4,410","4,410","4,434","4,734","4,148"
91551-80640,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.54,3,1,06,5.76,,,,,"42,742",23.0,"35,252",20.0,"37,274",18.0,"46,260",22.0,"1,868","1,866","1,862",0,0,"1,854","1,852","1,852","1,850","1,850",0,0,"1,850","1,850","1,850","1,850","1,850",0,0,"1,850","1,850","1,850","1,978","1,850",0,0,"1,850","1,850","1,850","1,978","1,732","42,742","35,252","37,274","46,260","1,868","1,866","1,862",0,0,"1,854","1,852","1,852","1,850","1,850",0,0,"1,850","1,850","1,850","1,850","1,850",0,0,"1,850","1,850","1,850","1,978","1,850",0,0,"1,850","1,850","1,850","1,978","1,732"
91611-40614,,,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,500",0.52,3,1,06,5.76,,,,,"341,936",23.0,"282,016",20.0,"298,192",18.0,"370,080",22.0,"14,944","14,928","14,896",0,0,"14,832","14,816","14,816","14,800","14,800",0,0,"14,800","14,800","14,800","14,800","14,800",0,0,"14,800","14,800","14,800","15,824","14,800",0,0,"14,800","14,800","14,800","15,824","13,856","341,936","282,016","298,192","370,080","14,944","14,928","14,896",0,0,"14,832","14,816","14,816","14,800","14,800",0,0,"14,800","14,800","14,800","14,800","14,800",0,0,"14,800","14,800","14,800","15,824","14,800",0,0,"14,800","14,800","14,800","15,824","13,856"
91671-80618,,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,06,5.76,,,,,"64,113",23.0,"52,878",20.0,"55,911",18.0,"69,390",22.0,"2,802","2,799","2,793",0,0,"2,781","2,778","2,778","2,775","2,775",0,0,"2,775","2,775","2,775","2,775","2,775",0,0,"2,775","2,775","2,775","2,967","2,775",0,0,"2,775","2,775","2,775","2,967","2,598","64,113","52,878","55,911","69,390","2,802","2,799","2,793",0,0,"2,781","2,778","2,778","2,775","2,775",0,0,"2,775","2,775","2,775","2,775","2,775",0,0,"2,775","2,775","2,775","2,967","2,775",0,0,"2,775","2,775","2,775","2,967","2,598"
G1163-ECB010,,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,80,0.54,3,1,06,5.76,,,,,"18,309",23.0,"11,553",20.0,"12,126",18.0,"18,168",22.0,783,783,801,0,0,993,993,993,990,"1,008",0,0,756,756,756,792,774,0,0,741,723,759,777,759,0,0,687,669,687,717,612,"18,309","11,553","12,126","18,168",783,783,801,0,0,993,993,993,990,"1,008",0,0,756,756,756,792,774,0,0,741,723,759,777,759,0,0,687,669,687,717,612
G1163-ECE010,,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,100,0.53,3,1,06,5.76,,,,,"45,804",23.0,"41,325",20.0,"43,785",18.0,"51,222",22.0,"2,019","2,016","1,992",0,0,"1,788","1,785","1,785","1,785","1,767",0,0,"2,019","2,019","2,019","1,983","2,001",0,0,"2,034","2,052","2,016","2,190","2,016",0,0,"2,088","2,106","2,088","2,250","1,986","45,804","41,325","43,785","51,222","2,019","2,016","1,992",0,0,"1,788","1,785","1,785","1,785","1,767",0,0,"2,019","2,019","2,019","1,983","2,001",0,0,"2,034","2,052","2,016","2,190","2,016",0,0,"2,088","2,106","2,088","2,250","1,986"
35145-ECE020,,,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,0030,（株）浅賀井製作所,01,安城工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,100,0.65,3,1,04,6.88,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
35174-ECB010,, A,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,0030,（株）浅賀井製作所,01,安城工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,20,0.87,3,1,04,6.88,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
35174-ECE010,,,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,0030,（株）浅賀井製作所,01,安城工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,40,0.87,3,1,04,6.88,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
