品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土)
90341-14A004,9034114A004,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.5,1,1,6,5.76,,,0.848,424,"8,198",21,"7,413",22,"9,349",22,0,20,393,0,0,411,411,417,411,417,0,0,383,423,383,424,384,0,0,384,384,379,378,360,0,0,384,384,355,379,354,0,,"8,198","7,413","9,349",0,393,0,0,411,411,417,411,417,0,0,383,423,383,424,384,0,0,384,384,379,378,360,0,0,384,384,355,379,354,0
90341-18A024,9034118A024,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,200,0.52,3,1,6,5.76,,,2.675,535,"10,440",21,"11,129",22,"11,729",22,0,20,487,0,0,535,534,529,534,528,0,0,462,522,463,523,462,0,0,494,493,500,499,455,0,0,493,493,467,499,468,0,,"10,440","11,129","11,729",0,487,0,0,535,534,529,534,528,0,0,462,522,463,523,462,0,0,494,493,500,499,455,0,0,493,493,467,499,468,0
90930-03179,9093003179, A,"PLUG, BREATHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.5,1,1,6,5.76,,,1.894,947,"18,638",26,"19,186",22,"21,722",22,0,20,880,0,0,946,945,946,945,945,0,0,845,945,846,947,846,0,0,878,877,879,877,815,0,0,877,877,822,878,822,0,,"18,638","19,186","21,722",0,880,0,0,946,945,946,945,945,0,0,845,945,846,947,846,0,0,878,877,879,877,815,0,0,877,877,822,878,822,0
91551-80614,9155180614,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.54,3,1,6,5.76,,,3.090666667,4636,"90,948",21,"88,994",22,"103,430",22,0,20,"4,306",0,0,"4,606","4,602","4,618","4,602","4,614",0,0,"4,146","4,626","4,150","4,636","4,152",0,0,"4,280","4,276","4,274","4,264","3,980",0,0,"4,276","4,276","3,998","4,270","3,996",0,,"90,948","88,994","103,430",0,"4,306",0,0,"4,606","4,602","4,618","4,602","4,614",0,0,"4,146","4,626","4,150","4,636","4,152",0,0,"4,280","4,276","4,274","4,264","3,980",0,0,"4,276","4,276","3,998","4,270","3,996",0
91551-80640,9155180640,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.54,3,1,6,5.76,,,1.894,1894,"37,276",21,"37,084",22,"42,240",22,0,20,"1,760",0,0,"1,892","1,890","1,892","1,890","1,890",0,0,"1,690","1,890","1,692","1,894","1,692",0,0,"1,756","1,754","1,758","1,754","1,630",0,0,"1,754","1,754","1,644","1,756","1,644",0,,"37,276","37,084","42,240",0,"1,760",0,0,"1,892","1,890","1,892","1,890","1,890",0,0,"1,690","1,890","1,692","1,894","1,692",0,0,"1,756","1,754","1,758","1,754","1,630",0,0,"1,754","1,754","1,644","1,756","1,644",0
91611-40614,9161140614,,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,500",0.52,3,1,6,5.76,,,6.0608,15152,"298,208",21,"296,672",22,"336,576",22,0,20,"14,080",0,0,"15,136","15,120","15,136","15,120","15,120",0,0,"13,520","15,120","13,536","15,152","13,536",0,0,"14,048","14,032","14,064","14,032","13,040",0,0,"14,032","14,032","13,152","14,048","13,152",0,,"298,208","296,672","336,576",0,"14,080",0,0,"15,136","15,120","15,136","15,120","15,120",0,0,"13,520","15,120","13,536","15,152","13,536",0,0,"14,048","14,032","14,064","14,032","13,040",0,0,"14,032","14,032","13,152","14,048","13,152",0
91671-80618,9167180618,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,6,5.76,,,2.841,2841,"55,914",21,"55,626",22,"63,234",22,0,20,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,631","2,466","2,634","2,466",0,,"55,914","55,626","63,234",0,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,631","2,466","2,634","2,466",0
G1163-ECA010,G1163ECA010, A,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,70,0.53,3,1,6,5.76,,,0,0,0,21,0,22,126,22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1163-ECB010,G1163ECB010,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,80,0.54,1,1,6,5.76,,,9.7875,783,"15,090",21,"15,675",22,"13,719",22,0,20,726,0,0,765,765,783,765,783,0,0,672,756,672,756,693,0,0,702,702,702,702,648,0,0,720,720,669,723,666,0,,"15,090","15,675","13,719",0,726,0,0,765,765,783,765,783,0,0,672,756,672,756,693,0,0,702,702,702,702,648,0,0,720,720,669,723,666,0
G1163-ECE010,G1163ECE010,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,100,0.53,1,1,6,5.76,,,20.85,2085,"40,824",21,"39,951",22,"49,389",22,0,20,"1,914",0,0,"2,073","2,070","2,055","2,070","2,052",0,0,"1,863","2,079","1,866","2,085","1,845",0,0,"1,932","1,929","1,935","1,929","1,797",0,0,"1,911","1,911","1,797","1,911","1,800",0,,"40,824","39,951","49,389",0,"1,914",0,0,"2,073","2,070","2,055","2,070","2,052",0,0,"1,863","2,079","1,866","2,085","1,845",0,0,"1,932","1,929","1,935","1,929","1,797",0,0,"1,911","1,911","1,797","1,911","1,800",0
