部品品番,合計最小値,合計最大値,外れ値超過有無
9010508A014,0.0,63.0,False
EC15(01)D002,0.0,36.0,False
35312ECB010,0.0,36.0,False
35312ECF010,0.0,36.0,False
9025006A007,0.0,36.0,False
B2351030T,0.0,36.0,False
36108ECB010,0.0,36.0,False
35351ECB010,0.0,36.0,False
35371ECB010,0.0,36.0,False
35352ECB010,0.0,36.0,False
9010506A003,0.0,36.0,False
EC15(01)J002,0.0,36.0,False
35070ECB010,0.0,36.0,False
35782ECB010,0.0,36.0,False
9036324A003,0.0,36.0,False
9036324A004,0.0,63.0,False
9020150A003,0.0,36.0,False
9056450A001,0.0,36.0,False
9056450A002,0.0,36.0,False
9056450A003,0.0,36.0,False
9056450A004,0.0,36.0,False
9056450A005,0.0,36.0,False
9056450A006,0.0,36.0,False
9056450A007,0.0,36.0,False
9056450A008,0.0,36.0,False
9056450A009,0.0,36.0,False
EC15(01)U002,0.0,36.0,False
41206ECB010,0.0,36.0,False
35080ECB010,0.0,36.0,False
35783ECB010,0.0,36.0,False
35783ECF010,0.0,36.0,False
41211ECB011,0.0,36.0,False
9036628A005,0.0,36.0,False
9036630A018,0.0,63.0,False
9056451A066,0.0,36.0,False
9056451A067,0.0,36.0,False
9056451A068,0.0,36.0,False
9056451A069,0.0,36.0,False
9056451A070,0.0,36.0,False
9056451A071,0.0,36.0,False
9056451A072,0.0,36.0,False
9056451A073,0.0,36.0,False
9056451A074,0.0,36.0,False
9056451A075,0.0,36.0,False
9056451A076,0.0,36.0,False
9056451A077,0.0,36.0,False
9056451A078,0.0,36.0,False
9056451A079,0.0,36.0,False
9056451A080,0.0,36.0,False
9056451A081,0.0,36.0,False
9056451A082,0.0,36.0,False
9056451A083,0.0,36.0,False
9056451A084,0.0,36.0,False
9056451A085,0.0,36.0,False
9056451A086,0.0,36.0,False
9056451A087,0.0,36.0,False
9056451A088,0.0,36.0,False
9056451A089,0.0,36.0,False
9056451A090,0.0,36.0,False
9056451A091,0.0,36.0,False
9056451A092,0.0,36.0,False
9056451A093,0.0,36.0,False
9056451A094,0.0,36.0,False
9056451A095,0.0,36.0,False
9056451A096,0.0,36.0,False
9056451A097,0.0,36.0,False
9056451A098,0.0,36.0,False
9056451A099,0.0,36.0,False
9056451A100,0.0,36.0,False
9056451A101,0.0,36.0,False
9056451A102,0.0,36.0,False
9056451A103,0.0,36.0,False
9056451A104,0.0,36.0,False
9056451A105,0.0,36.0,False
9056451A106,0.0,36.0,False
9056451A107,0.0,36.0,False
9056451A108,0.0,36.0,False
9056451A109,0.0,36.0,False
9056451A110,0.0,36.0,False
9056451A111,0.0,36.0,False
9056451A112,0.0,36.0,False
EC15(01)M008,0.0,36.0,False
41300ECB010,0.0,36.0,False
41310ECB010,0.0,36.0,False
41311ECB010,0.0,36.0,False
41331ECB010,0.0,36.0,False
41331ECB020,0.0,36.0,False
41341ECB010,0.0,36.0,False
41342ECB010,0.0,36.0,False
41351ECB010,0.0,36.0,False
41361ECB010,0.0,63.0,False
41361ECB020,0.0,63.0,False
41361ECB030,0.0,63.0,False
41361ECB040,0.0,63.0,False
41361ECB050,0.0,63.0,False
9020843A001,0.0,63.0,False
9025005A005,0.0,63.0,False
41221ECB010,0.0,36.0,False
41221ECF020,0.0,36.0,False
9010512A018,0.0,63.0,False
9036658A001,0.0,36.0,False
9036659A009,0.0,63.0,False
9056455A018,0.0,36.0,False
9056455A019,0.0,36.0,False
9056455A020,0.0,36.0,False
9056455A021,0.0,36.0,False
9056455A022,0.0,36.0,False
9056455A023,0.0,36.0,False
9056455A024,0.0,36.0,False
9056455A025,0.0,36.0,False
9056455A026,0.0,36.0,False
9056455A027,0.0,36.0,False
9056455A028,0.0,36.0,False
9056455A029,0.0,36.0,False
9056455A030,0.0,36.0,False
9056455A031,0.0,36.0,False
9056455A032,0.0,36.0,False
9056455A033,0.0,36.0,False
9056455A034,0.0,36.0,False
9056455A035,0.0,36.0,False
9056455A036,0.0,36.0,False
9056455A037,0.0,36.0,False
9056455A038,0.0,36.0,False
9056455A039,0.0,36.0,False
9056455A040,0.0,36.0,False
9056455A041,0.0,36.0,False
9056455A042,0.0,36.0,False
9056455A043,0.0,36.0,False
9056455A044,0.0,36.0,False
9056455A045,0.0,36.0,False
9056455A046,0.0,36.0,False
9056455A047,0.0,36.0,False
9056455A048,0.0,36.0,False
9056455A049,0.0,36.0,False
9056455A050,0.0,36.0,False
9056455A051,0.0,36.0,False
9056455A052,0.0,36.0,False
9056455A053,0.0,36.0,False
9056455A054,0.0,36.0,False
9056455A055,0.0,36.0,False
9056455A056,0.0,36.0,False
9056455A057,0.0,36.0,False
9056455A058,0.0,36.0,False
9056455A059,0.0,36.0,False
9056455A060,0.0,36.0,False
9056455A061,0.0,36.0,False
9056455A062,0.0,36.0,False
9056455A063,0.0,36.0,False
9056455A064,0.0,36.0,False
9056455A065,0.0,36.0,False
9056455A066,0.0,36.0,False
35771ECB010,0.0,36.0,False
35771ECF010,0.0,36.0,False
9031150A017,0.0,63.0,False
9031150A018,0.0,63.0,False
EC15(01)E002,0.0,36.0,False
35556ECB010,0.0,36.0,False
35557ECB010,0.0,36.0,False
9050827A011,0.0,36.0,False
35501ECB010,0.0,36.0,False
35581ECB011,0.0,36.0,False
35585ECB010,0.0,36.0,False
9038707A004,0.0,36.0,False
9050113A083,0.0,36.0,False
3559850A010,0.0,36.0,False
3559150A010,0.0,36.0,False
9025005A001,0.0,36.0,False
9036111A002,0.0,36.0,False
9038705A002,0.0,36.0,False
35409ECB010,0.0,36.0,False
35559ECB010,0.0,36.0,False
1040131001W,0.0,36.0,False
1040132124M,0.0,36.0,False
9014860027,0.0,36.0,False
35505ECB010,0.0,36.0,False
35551ECB010,0.0,36.0,False
35561ECB010,0.0,36.0,False
B2011555T,0.0,36.0,False
35595ECB010,0.0,36.0,False
9052409A003,0.0,36.0,False
EC15(01)X001,0.0,36.0,False
35300ECB010,0.0,63.0,False
9155180640,0.0,63.0,False
82824ECB020,0.0,63.0,False
9030125A006,0.0,63.0,False
82125ECB010,0.0,36.0,False
90980ECB010,0.0,63.0,False
EC15(01)F004,0.0,36.0,False
35104ECB010,0.0,36.0,False
35141ECB010,0.0,36.0,False
35141ECD020,0.0,36.0,False
9036628A006,0.0,36.0,False
9036658A002,0.0,36.0,False
2030044001J,0.0,36.0,False
9034118090,0.0,63.0,False
EC15(01)K006,0.0,36.0,False
35174ECB010,0.0,36.0,False
A0033147T,0.0,36.0,False
3539450A010,0.0,63.0,False
35441ECB010,0.0,63.0,False
35847ECB020,0.0,36.0,False
35145ECB010,0.0,36.0,False
3519510A010,0.0,36.0,False
35882ECB010,0.0,36.0,False
9010508A042,0.0,36.0,False
9093003179,0.0,63.0,False
9093003180,0.0,63.0,False
