,仕入先名,発送場所名,受入,1便_早着,1便_定刻,1便_遅着,2便_早着,2便_定刻,2便_遅着,3便_早着,3便_定刻,3便_遅着,4便_早着,4便_定刻,4便_遅着,5便_早着,5便_定刻,5便_遅着,6便_早着,6便_定刻,6便_遅着,7便_早着,7便_定刻,7便_遅着,8便_早着,8便_定刻,8便_遅着,9便_早着,9便_定刻,9便_遅着,10便_早着,10便_定刻,10便_遅着,11便_早着,11便_定刻,11便_遅着,12便_早着,12便_定刻,12便_遅着
64,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所,1Y,06:15:00,08:15:00,10:15:00,12:20:00,14:20:00,16:20:00,18:55:00,20:55:00,22:55:00,00:35:00,02:35:00,04:35:00,01:50:00,03:50:00,05:50:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
66,ナミコー（株）,< NULL >,1Y,11:30:00,13:30:00,15:30:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
68,ＮＯＫ（株）,< NULL >,1Y,07:10:00,09:10:00,11:10:00,18:00:00,20:00:00,22:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
70,（株）バルカー,豊田営業所,1Y,06:00:00,08:00:00,10:00:00,12:30:00,14:30:00,16:30:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
72,日本精工（株）,三河分室,1Y,06:30:00,08:30:00,10:30:00,08:30:00,10:30:00,12:30:00,11:30:00,13:30:00,15:30:00,13:30:00,15:30:00,17:30:00,20:00:00,22:00:00,00:00:00,22:00:00,00:00:00,02:00:00,01:00:00,03:00:00,05:00:00,03:00:00,05:00:00,07:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
74,（株）松尾製作所,< NULL >,1Y,11:30:00,13:30:00,15:30:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
76,ミズショー（株）,三河支店,1Y,12:05:00,14:05:00,16:05:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
78,（株）水野鉄工所,< NULL >,1Y,07:50:00,09:50:00,11:50:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
80,（株）ムロコーポレーション,< NULL >,1Y,00:00:00,02:00:00,04:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
82,矢崎総業（株）,< NULL >,1Y,07:00:00,09:00:00,11:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
84,（株）メタルテック,< NULL >,1Y,04:00:00,06:00:00,08:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
86,（株）ニフコ,名古屋事業所,1Y,13:20:00,15:20:00,17:20:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
88,サンコール（株）,豊田,1Y,14:20:00,16:20:00,18:20:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
