,“úŽž,‰×–ðŽžŠÔ_•Ö_01,‰×–ðŽžŠÔ_•Ö_02,‰×–ðŽžŠÔ_•Ö_03,‰×–ðŽžŠÔ_•Ö_04,‰×–ðŽžŠÔ_•Ö_05,‰×–ðŽžŠÔ_•Ö_06,‰×–ðŽžŠÔ_•Ö_0K,‰×–ðŽžŠÔ,‰×–ðŽžŠÔ(t-1),‰×–ðŽžŠÔ(t-2),‰×–ðŽžŠÔ(t-3),‰×–ðŽžŠÔ(t-4),‰×–ðŽžŠÔ(t-5),‰×–ðŽžŠÔ(t-6),‰×–ðŽžŠÔ(t-7)
44,2023-10-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7548833333333335,0.0,0.0,0.0,47.665
45,2023-10-02 21:00:00,0.0,0.0,0.0,269.93828333333335,0.0,0.0,0.0,269.93828333333335,0.0,0.0,0.0,0.7548833333333335,0.0,0.0,0.0
46,2023-10-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.93828333333335,0.0,0.0,0.0,0.7548833333333335,0.0,0.0
47,2023-10-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.93828333333335,0.0,0.0,0.0,0.7548833333333335,0.0
48,2023-10-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.93828333333335,0.0,0.0,0.0,0.7548833333333335
49,2023-10-03 01:00:00,0.0,0.0,0.0,0.0,199.71311666666668,0.0,0.0,199.71311666666668,0.0,0.0,0.0,269.93828333333335,0.0,0.0,0.0
50,2023-10-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.71311666666668,0.0,0.0,0.0,269.93828333333335,0.0,0.0
51,2023-10-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.71311666666668,0.0,0.0,0.0,269.93828333333335,0.0
52,2023-10-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.71311666666668,0.0,0.0,0.0,269.93828333333335
53,2023-10-03 05:00:00,0.0,0.0,0.0,0.0,0.0,36.9685,0.0,36.9685,0.0,0.0,0.0,199.71311666666668,0.0,0.0,0.0
54,2023-10-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9685,0.0,0.0,0.0,199.71311666666668,0.0,0.0
55,2023-10-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9685,0.0,0.0,0.0,199.71311666666668,0.0
56,2023-10-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9685,0.0,0.0,0.0,199.71311666666668
57,2023-10-03 09:00:00,36.123000000000005,0.0,0.0,0.0,0.0,0.0,0.0,36.123000000000005,0.0,0.0,0.0,36.9685,0.0,0.0,0.0
58,2023-10-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.123000000000005,0.0,0.0,0.0,36.9685,0.0,0.0
59,2023-10-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.123000000000005,0.0,0.0,0.0,36.9685,0.0
60,2023-10-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.123000000000005,0.0,0.0,0.0,36.9685
61,2023-10-03 13:00:00,0.0,47.507600000000004,0.0,0.0,0.0,0.0,0.0,47.507600000000004,0.0,0.0,0.0,36.123000000000005,0.0,0.0,0.0
62,2023-10-03 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.507600000000004,0.0,0.0,0.0,36.123000000000005,0.0,0.0
63,2023-10-03 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.507600000000004,0.0,0.0,0.0,36.123000000000005,0.0
64,2023-10-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.507600000000004,0.0,0.0,0.0,36.123000000000005
65,2023-10-03 17:00:00,0.0,0.0,40.40176666666667,0.0,0.0,0.0,0.0,40.40176666666667,0.0,0.0,0.0,47.507600000000004,0.0,0.0,0.0
66,2023-10-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.40176666666667,0.0,0.0,0.0,47.507600000000004,0.0,0.0
67,2023-10-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.40176666666667,0.0,0.0,0.0,47.507600000000004,0.0
68,2023-10-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.40176666666667,0.0,0.0,0.0,47.507600000000004
69,2023-10-03 21:00:00,0.0,0.0,0.0,21.461933333333334,0.0,0.0,0.0,21.461933333333334,0.0,0.0,0.0,40.40176666666667,0.0,0.0,0.0
70,2023-10-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.461933333333334,0.0,0.0,0.0,40.40176666666667,0.0,0.0
71,2023-10-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.461933333333334,0.0,0.0,0.0,40.40176666666667,0.0
72,2023-10-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.461933333333334,0.0,0.0,0.0,40.40176666666667
73,2023-10-04 01:00:00,0.0,0.0,0.0,0.0,30.842833333333335,0.0,0.0,30.842833333333335,0.0,0.0,0.0,21.461933333333334,0.0,0.0,0.0
74,2023-10-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.842833333333335,0.0,0.0,0.0,21.461933333333334,0.0,0.0
75,2023-10-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.842833333333335,0.0,0.0,0.0,21.461933333333334,0.0
76,2023-10-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.842833333333335,0.0,0.0,0.0,21.461933333333334
77,2023-10-04 05:00:00,0.0,0.0,0.0,0.0,0.0,34.75466666666667,0.0,34.75466666666667,0.0,0.0,0.0,30.842833333333335,0.0,0.0,0.0
78,2023-10-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75466666666667,0.0,0.0,0.0,30.842833333333335,0.0,0.0
79,2023-10-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75466666666667,0.0,0.0,0.0,30.842833333333335,0.0
80,2023-10-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75466666666667,0.0,0.0,0.0,30.842833333333335
81,2023-10-04 09:00:00,33.4515,0.0,0.0,0.0,0.0,0.0,0.0,33.4515,0.0,0.0,0.0,34.75466666666667,0.0,0.0,0.0
82,2023-10-04 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4515,0.0,0.0,0.0,34.75466666666667,0.0,0.0
83,2023-10-04 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4515,0.0,0.0,0.0,34.75466666666667,0.0
84,2023-10-04 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4515,0.0,0.0,0.0,34.75466666666667
