,品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数
42,2030045013L    ,2023,38,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,5.34,0.9122,伊藤金属工業（株）,5
43,2030045013L    ,2023,39,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,4.442,0.7098,伊藤金属工業（株）,6
44,2030052002N    ,2023,35,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,2.0,3.275,3.1516666666666664,（株）杉浦製作所,2
45,2030052002N    ,2023,36,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.5,2.6718749999999996,2.6950000000000003,（株）杉浦製作所,16
46,2030052002N    ,2023,37,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.4444444444444444,2.976111111111111,2.628148148148148,（株）杉浦製作所,18
47,2030052002N    ,2023,38,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.4615384615384615,2.924615384615384,2.6976923076923076,（株）杉浦製作所,13
48,2030052002N    ,2023,39,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.5789473684210527,3.94,1.753333333333333,（株）杉浦製作所,19
49,3040052001B    ,2023,35,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.2857142857142856,2.9599999999999995,5.753666666666667,（株）青山製作所,7
50,3040052001B    ,2023,36,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.3255813953488373,2.6478571428571427,7.821333333333327,（株）青山製作所,43
51,3040052001B    ,2023,37,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.1875,1.3820689655172411,7.713517241379306,（株）青山製作所,32
52,3040052001B    ,2023,38,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.025,2.1079999999999997,7.325500000000005,（株）青山製作所,40
53,3040052001B    ,2023,39,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.130434782608696,1.7786363636363638,4.853909090909091,（株）青山製作所,46
54,33490ECB010    ,2023,35,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4375,2.7363541666666635,78.1328125,マレリ（株）,96
55,33490ECB010    ,2023,36,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4765784114052953,1.2151428571428589,92.23877551020408,マレリ（株）,491
56,33490ECB010    ,2023,37,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.503968253968254,1.1830616302186885,88.22067594433399,マレリ（株）,504
57,33490ECB010    ,2023,38,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.5129310344827587,1.1859482758620703,86.70474137931035,マレリ（株）,464
58,33490ECB010    ,2023,39,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.3346456692913387,1.3371456692913386,81.10285433070867,マレリ（株）,508
59,33490ECE010    ,2023,35,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4846153846153847,3.0479999999999983,114.11346153846154,マレリ（株）,130
60,33490ECE010    ,2023,36,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.4717557251908397,1.4501834862385377,118.91093272171254,マレリ（株）,655
61,33490ECE010    ,2023,37,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.501497005988024,1.483193403298353,115.29010494752623,マレリ（株）,668
62,33490ECE010    ,2023,38,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.5065573770491802,1.504967213114755,113.13770491803278,マレリ（株）,610
63,33490ECE010    ,2023,39,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.34585289514867,1.6233228840125369,96.4819749216301,マレリ（株）,639
64,34989ECB010    ,2023,36,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,15.04,0.468,（株）槌屋,1
65,34989ECB010    ,2023,37,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,8.055,0.234,（株）槌屋,2
66,34989ECB010    ,2023,38,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.23,0.486,（株）槌屋,2
67,34989ECB010    ,2023,39,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,6.41,0.255,（株）槌屋,3
68,34989ECB020    ,2023,35,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.954999999999999,1.89,（株）槌屋,2
69,34989ECB020    ,2023,36,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,5.421250000000001,1.8162500000000001,（株）槌屋,8
70,34989ECB020    ,2023,37,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,6.7829999999999995,1.5614,（株）槌屋,10
71,34989ECB020    ,2023,38,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,5.581999999999999,1.6280000000000001,（株）槌屋,10
72,34989ECB020    ,2023,39,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,5.945,1.1214,（株）槌屋,10
73,34989ECB030    ,2023,35,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,11.48,0.846,（株）槌屋,1
74,34989ECB030    ,2023,36,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,12.1275,0.45575,（株）槌屋,4
75,34989ECB030    ,2023,37,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,7.286,0.7078,（株）槌屋,5
76,34989ECB030    ,2023,38,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,5.4425,0.8787499999999999,（株）槌屋,4
77,34989ECB030    ,2023,39,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,7.515000000000001,0.473,（株）槌屋,5
78,34989ECC010    ,2023,36,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,22.700000000000003,0.3,（株）槌屋,1
79,34989ECC010    ,2023,37,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,16.28,0.0,（株）槌屋,1
80,34989ECC010    ,2023,38,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,17.23,0.312,（株）槌屋,1
81,34989ECC010    ,2023,39,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,,,（株）槌屋,1
82,34989ECE010    ,2023,35,0.72,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,18.419999999999998,0.3,（株）槌屋,1
83,34989ECE010    ,2023,37,0.72,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,22.86,0.338,（株）槌屋,1
84,34989ECE010    ,2023,38,0.72,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,,,（株）槌屋,2
85,34989ECE010    ,2023,39,0.72,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,,,（株）槌屋,1
86,34989ECE020    ,2023,36,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,9.4,0.494,（株）槌屋,1
87,34989ECE020    ,2023,37,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,9.323333333333332,0.3,（株）槌屋,3
88,34989ECE020    ,2023,38,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,11.135000000000002,0.46299999999999997,（株）槌屋,2
89,34989ECE020    ,2023,39,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.3,0.0,（株）槌屋,3
90,34989ECE030    ,2023,36,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,23.630000000000003,0.252,（株）槌屋,1
91,34989ECE030    ,2023,37,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,,,（株）槌屋,1
92,34989ECE030    ,2023,38,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,16.84,0.264,（株）槌屋,2
93,34989ECE030    ,2023,39,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,,,（株）槌屋,1
94,35141ECB010    ,2023,35,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,12.23076923076923,,,（株）アイシン福井,13
95,35141ECB010    ,2023,36,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,13.902439024390244,,,（株）アイシン福井,82
96,35141ECB010    ,2023,37,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,13.307692307692308,,,（株）アイシン福井,78
97,35141ECB010    ,2023,38,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,13.40625,3.074,26.25,（株）アイシン福井,96
98,35141ECB010    ,2023,39,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,11.430769230769231,1.0187692307692298,18.254326923076924,（株）アイシン福井,130
99,35141ECE010    ,2023,35,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,9.461538461538462,,,（株）アイシン福井,13
100,35141ECE010    ,2023,36,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,10.794117647058824,,,（株）アイシン福井,34
101,35141ECE010    ,2023,37,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,11.612244897959183,,,（株）アイシン福井,49
102,35141ECE010    ,2023,38,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,9.819672131147541,3.257058823529412,25.69705882352942,（株）アイシン福井,61
103,35141ECE010    ,2023,39,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,11.643939393939394,1.6765909090909088,16.83522727272725,（株）アイシン福井,132
104,35145ECB010    ,2023,35,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,4.7075,4.125,三共鋼業（株）,4
105,35145ECB010    ,2023,36,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.7305555555555556,3.6066666666666674,三共鋼業（株）,18
