品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,B,日量数（箱数）,収容数,納入便,社内LT（検収〜回収LT）,仕入先名,かんばん数
1040043104R    ,2023,35,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.89,1000,1.0,5.73,（株）ギフ加藤製作所,1
1040043104R    ,2023,36,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.69,1000,1.0,6.14,（株）ギフ加藤製作所,1
1040043104R    ,2023,36,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.692,1000,2.0,7.049999999999999,（株）ギフ加藤製作所,1
1040043104R    ,2023,36,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.89,1000,1.75,3.83,（株）ギフ加藤製作所,4
1040043104R    ,2023,36,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.894,1000,1.0,7.059999999999999,（株）ギフ加藤製作所,1
1040043104R    ,2023,37,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,0.0,1000,1.0,3.6999999999999993,（株）ギフ加藤製作所,1
1040043104R    ,2023,37,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.692,1000,1.0,3.46,（株）ギフ加藤製作所,1
1040043104R    ,2023,37,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.754,1000,1.5,6.195,（株）ギフ加藤製作所,2
1040043104R    ,2023,37,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.758,1000,1.3333333333333333,5.8566666666666665,（株）ギフ加藤製作所,3
1040043104R    ,2023,38,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.63,1000,2.0,2.7100000000000004,（株）ギフ加藤製作所,1
1040043104R    ,2023,38,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.754,1000,1.5,5.9399999999999995,（株）ギフ加藤製作所,2
1040043104R    ,2023,38,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.756,1000,1.0,5.93,（株）ギフ加藤製作所,1
1040043104R    ,2023,38,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.874,1000,1.5,5.775,（株）ギフ加藤製作所,2
1040043104R    ,2023,38,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.876,1000,1.0,7.469999999999999,（株）ギフ加藤製作所,1
1040043104R    ,2023,39,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,0.0,1000,1.4,5.717999999999999,（株）ギフ加藤製作所,5
1040043104R    ,2023,39,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.876,1000,1.0,3.45,（株）ギフ加藤製作所,1
1040043104R    ,2023,39,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.89,1000,2.0,6.28,（株）ギフ加藤製作所,1
1040043104R    ,2023,39,0.75,3.0,AW131ﾌﾀﾅｼ,2.0,1.892,1000,2.0,6.420000000000001,（株）ギフ加藤製作所,1
1040052001Z    ,2023,35,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.645,200,4.0,5.13,（株）青山製作所,1
1040052001Z    ,2023,35,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.67,200,2.0,3.96,（株）青山製作所,2
1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,6.0,0.0,200,4.0,1.2,（株）青山製作所,1
1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.37,200,5.5,4.0,（株）青山製作所,2
1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.375,200,3.0,4.635,（株）青山製作所,2
1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.64,200,3.6666666666666665,2.5566666666666666,（株）青山製作所,3
1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.645,200,2.5,1.2850000000000001,（株）青山製作所,2
1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,6.0,2.67,200,4.0,3.205,（株）青山製作所,2
